Block,Time,L_NR_2012_04,L_NR_2012_07,L_NR_2020_02,LT-05,L_NR_2019_11,SH-07,LT-35,LT-36,L_NR_2012_02,SH-06,LT-31,L_NR_2012_01,LT-59,L_NR_2018_61,L_NR_2023_04,L_NR_2019_05,L_NR_2020_06,L_NR_2019_19,L_NR_2021_16,L_NR_2022_10,L_NR_2021_12,L_NR_2021_15,L_NR_2023_07,L_NR_2019_07,L_NR_2020_07,L_NR_2019_06,L_NR_2021_17,L_NR_2021_13,L_NR_2023_10,L_NR_2022_08,L_NR_2021_14,L_NR_2022_09,L_NR_2020_05
1,00:00-00:15,269.920000,73.590000,6.280000,115.160000,7.480000,30.710000,0.000000,0.000000,221.690000,30.710000,0.000000,74.660000,7.560000,7.4,29.450000,0,37.87,0,0,17.99,0,0,0,0,37.86,0,0,0,0,21.88,0,17.99,113.61

2,00:15-00:30,269.920000,73.590000,6.280000,115.160000,7.480000,30.710000,0.000000,0.000000,221.690000,30.710000,0.000000,74.660000,7.560000,7.4,29.450000,0,31.61,0,0,18.89,0,0,0,0,31.61,0,0,0,0,35.22,0,18.89,94.82

3,00:30-00:45,269.920000,73.590000,6.280000,115.160000,7.480000,29.750000,0.000000,0.000000,221.690000,0.000000,0.000000,74.660000,7.560000,7.4,29.450000,0,30.94,0,0,21.23,0,0,0,0,30.95,0,0,0,0,34.88,0,21.23,92.82

4,00:45-01:00,269.920000,73.590000,6.280000,115.160000,7.480000,29.750000,0.000000,0.000000,221.690000,0.000000,0.000000,74.660000,7.560000,7.4,29.450000,0,30.77,0,0,23.79,0,0,0,0,30.79,0,0,0,0,34.11,0,23.79,92.32

5,01:00-01:15,269.920000,73.590000,6.090000,115.160000,7.330000,30.710000,0.000000,0.000000,221.690000,18.610000,0.000000,74.660000,7.410000,7.4,29.450000,0,30.27,0,0,26.89,0,0,0,0,30.29,0,0,0,0,33.77,0,26.89,90.82

6,01:15-01:30,269.920000,73.590000,6.090000,115.160000,7.330000,30.710000,0.000000,0.000000,221.690000,18.610000,0.000000,74.660000,7.410000,7.4,29.450000,0,29.11,0,0,31.16,0,0,0,0,29.11,0,0,0,0,33.44,0,31.16,87.32

7,01:30-01:45,269.920000,73.590000,6.090000,115.160000,7.330000,19.870000,0.000000,0.000000,221.690000,19.870000,0.000000,74.660000,7.410000,7.4,29.450000,0,28.61,0,0,35.05,0,0,0,0,28.61,0,0,0,0,32.88,0,35.05,85.82

8,01:45-02:00,269.920000,73.590000,6.090000,115.160000,7.330000,19.870000,0.000000,0.000000,221.690000,19.870000,0.000000,74.660000,7.410000,7.4,29.450000,0,27.61,0,0,39.73,0,0,0,0,27.61,0,0,0,0,31.88,0,39.73,82.82

9,02:00-02:15,269.920000,73.590000,5.900000,115.160000,7.180000,23.300000,0.000000,0.000000,221.690000,23.300000,0.000000,74.660000,7.260000,7.4,30.460000,0,21.28,0,0,41.91,0,0,0,0,21.29,0,0,0,0,34.7,0,41.91,63.85

10,02:15-02:30,269.920000,73.590000,5.900000,115.160000,7.180000,23.300000,0.000000,0.000000,221.690000,23.300000,0.000000,74.660000,7.260000,7.4,30.460000,0,20.95,0,0,44.23,0,0,0,0,20.96,0,0,0,0,33.4,0,44.23,62.85

11,02:30-02:45,269.920000,73.590000,5.900000,115.160000,7.180000,23.300000,0.000000,0.000000,221.690000,23.300000,0.000000,74.660000,7.260000,7.4,30.460000,0,20.78,0,0,45.95,0,0,0,0,20.79,0,0,0,0,32.9,0,45.95,62.35

12,02:45-03:00,269.920000,73.590000,5.900000,115.160000,7.180000,23.300000,0.000000,0.000000,221.690000,23.300000,0.000000,74.660000,7.260000,7.4,30.460000,0,32.01,0,0,47.54,0,0,0,0,32,0,0,0,0,32.3,0,47.54,96.02

13,03:00-03:15,269.920000,73.590000,5.720000,115.160000,6.870000,23.300000,0.000000,0.000000,221.690000,23.300000,0.000000,74.660000,7.100000,7.4,30.520000,0,32.78,0,0,68.55,0,0,0,0,32.77,0,0,0,0,40,0,68.55,98.32

14,03:15-03:30,269.920000,73.590000,5.720000,115.160000,6.870000,23.300000,0.000000,0.000000,221.690000,23.300000,0.000000,74.660000,7.100000,7.2,30.520000,0,32.86,0,0,68.88,0,0,0,0,32.87,0,0,0,0,40,0,68.88,98.58

15,03:30-03:45,269.920000,73.590000,5.720000,115.160000,6.870000,23.300000,0.000000,0.000000,221.690000,23.300000,0.000000,74.660000,7.100000,7.2,30.520000,0,33.18,0,0,69.88,0,0,0,0,33.19,0,0,0,0,40,0,69.88,99.56

16,03:45-04:00,269.920000,73.590000,5.720000,115.160000,6.870000,23.300000,0.000000,0.000000,221.690000,23.300000,0.000000,74.660000,7.100000,7.2,30.520000,0,33.33,0,0,70.11,0,0,0,0,33.34,0,0,0,0,40,0,70.11,100

17,04:00-04:15,269.920000,73.590000,5.440000,115.160000,6.870000,23.300000,0.000000,0.000000,221.690000,23.300000,0.000000,74.660000,6.950000,7.2,29.500000,0,33.33,0,0,71.88,0,0,0,0,33.34,0,0,0,0,40,0,71.88,100

18,04:15-04:30,269.920000,73.590000,5.440000,115.160000,6.870000,23.300000,0.000000,0.000000,221.690000,23.300000,0.000000,74.660000,6.950000,7.2,29.500000,0,33.33,0,0,71.88,0,0,0,0,33.34,0,0,0,0,40,0,71.88,100

