Column1,Block,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,NR/2024/23890/C,NR/2024/23891/C,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5428,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5444,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9061,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5474,NR/2024/23889/C,NR/2024/23769/A/42664,WR/2024/24788/A/42792,NR/2024/23845/A/42685,NR/2024/23420/A/42659,NR/2024/23809/A/42663,Total
,,NDMC,NDMC,SJVNL,SJVNL,BAWANA_GAS,NDMC,DELHI,NDMC,MANIKARAN,PTC,NDMC,PUNJAB,NDMC,APPCPL,PTC,NVVNL,IEXL,APPCPL,DIAPL,ITCLH,IEXL,
,,NA,NA,NA,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,KARNATAKA_STATE,DELHI_UT,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,
,,JITPL,TRN_ENERGY,RSRPL_BKN,TPSL_BKN2,BAWANA_GAS,RKM_POWER,CHANJUII,SKS_Raigarh,BRPL,BYPL,RKM_POWER,BAWANA_GAS,JPL2,BYPL,BRPL,SOLAPUR_SOLAR,NSLSUGAR,BRPL,GBHHPL,ITCWIND,NSLSTUNGBHDRA,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,MSEB_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,NDMC,HARYANA,NDMC,TPDDL,NDMC,AEML,HP,NDMC,PUNJAB,NDMC,AEML,HP,MES_Delhi,MES_Delhi,GOA_Beneficiary,DIAPL,ITCLH,MES_Delhi,
,,East-North,West-North,North-North,North-North,North-North,West-North,North-North,West-North,North-West,North-North,West-North,North-North,West-North,North-West,North-North,West-North,South-West-North,North-West,North-North,South-West-North,South-West-North,
1,00:00-00:15,17.27,8.64,0,0,26.91,25.91,3.48,8.64,0,87.2,25.91,26.91,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,531.35

2,00:15-00:30,17.27,8.64,0,0,26.91,25.91,3.48,8.64,0,87.2,25.91,26.91,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,531.35

3,00:30-00:45,17.27,8.64,0,0,26.91,25.91,3.48,8.64,0,87.2,25.91,26.91,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,531.35

4,00:45-01:00,17.27,8.64,0,0,26.91,25.91,3.48,8.64,0,87.2,25.91,26.91,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,531.35

5,01:00-01:15,17.27,8.64,0,0,26.91,25.91,3.48,8.64,0,87.2,25.91,26.91,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,531.35

6,01:15-01:30,17.27,8.64,0,0,26.91,25.91,3.48,8.64,0,87.2,25.91,26.91,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,531.35

7,01:30-01:45,17.27,8.64,0,0,24.08,25.91,3.48,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,525.6899999999999

8,01:45-02:00,17.27,8.64,0,0,24.08,25.91,3.48,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,525.6899999999999

9,02:00-02:15,17.27,8.64,0,0,24.08,25.91,3.48,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,525.6899999999999

10,02:15-02:30,17.27,8.64,0,0,24.08,25.91,3.48,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,525.6899999999999

11,02:30-02:45,17.27,8.64,0,0,24.08,25.91,3.48,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,525.6899999999999

12,02:45-03:00,17.27,8.64,0,0,24.08,25.91,3.48,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.48,4.8,525.6899999999999

13,03:00-03:15,17.27,8.64,0,0,24.08,25.91,3.39,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,525.5499999999998

14,03:15-03:30,17.27,8.64,0,0,24.08,25.91,3.39,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,525.5499999999998

15,03:30-03:45,17.27,8.64,0,0,24.08,25.91,3.39,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,525.5499999999998

16,03:45-04:00,17.27,8.64,0,0,24.08,25.91,3.39,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,525.5499999999998

17,04:00-04:15,17.27,8.64,0,0,24.08,25.91,3.39,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,525.5499999999998

18,04:15-04:30,17.27,8.64,0,0,24.08,25.91,3.39,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,525.5499999999998

19,04:30-04:45,17.27,8.64,0,0,24.08,25.91,3.39,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,525.5499999999998

20,04:45-05:00,17.27,8.64,0,0,24.08,25.91,3.39,8.64,0,87.2,25.91,24.08,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,525.5499999999998

21,05:00-05:15,17.27,8.64,0,0,26.91,25.91,3.39,8.64,0,87.2,25.91,26.91,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,531.2099999999998

22,05:15-05:30,17.27,8.64,0,0,26.91,25.91,3.39,8.64,0,87.2,25.91,26.91,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,531.2099999999998

23,05:30-05:45,17.27,8.64,0,0,26.91,25.91,3.39,8.64,0,87.2,25.91,26.91,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,531.2099999999998

24,05:45-06:00,17.27,8.64,0,0,26.91,25.91,3.39,8.64,0,87.2,25.91,26.91,25.91,0,261.61,0,5.76,0,1.92,0.43,4.8,531.2099999999998

