Time,Block,NR/2023/16437/F,NR/2023/13242/A,NR/2023/15770/A,NR/2023/13383/A,NR/2023/13385/A,NR/2023/13254/A,NR/2023/16844/D,NR/2023/13148/A,NR/2023/13636/A,NR/2023/13253/A,NR/2023/13908/A,NR/2023/16073/A,NR/2023/16893/D,NR/2023/16520/F,NR/2023/13165/A,NR/2023/16905/C,NR/2023/16843/D,NR/2023/16908/C,NR/2023/13519/A,NR/2023/16724/F,NR/2023/13376/A,NR/2023/13150/A,NR/2023/16291/F,NR/2023/16291/F/II,NR/2023/16185/A,NR/2023/16077/A,NR/2023/16191/A,NR/2023/13387/A,NR/2023/16892/D,NR/2023/16890/D,ER/2023/10705/C,Total
,,NVVNL,APPCPL,NVVNL,APPCPL,NVVNL,APPCPL,IEXL,KEIPL,NVVNL,APPCPL,TPTCL,APPCPL,KEIPL,IEXL,GMRETL,GBHHPL,IEXL,TPDDL,STATKRAFT,IEXL,APPCPL,KEIPL,ITCLH,ITCLH,MANIKARAN,APPCPL,MANIKARAN,NVVNL,KEIPL,NVVNL,IEXL,Total

,,NA,SIKKIM,NA,HIMACHAL PRADESH,MP,MEGHALAYA,TAMIL NADU,MEGHALAYA,NA,UTTARAKHAND,NA,GOA,ODISHA,UTTAR PRADESH,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,MEGHALAYA,ANDHRA PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,UTTAR PRADESH,NA,DELHI,
,,KAMENG,SIKKIM,SKS Raigarh,HP,JP BINA,Meghalaya_Ben,OPGPGUNIT1TN,Meghalaya_Ben,KAMENG,UTTARAKHAND,JPL,GOA_Beneficiary,MAITHAN_ISPAT,PPGCL,Meghalaya_Ben,GBHHPL,OPGPGPLU4TN,CHANJUII,HP,Teesta_III,Meghalaya_Ben,Meghalaya_Ben,ITCWIND,ITCWIND,HP,HP,HP,JPNIGRIE_JNSTPP,LAPL-UP,SOLAPUR_SOLAR,EDWPCL12,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,
,,TPDDL,BYPL,NDMC,BYPL,BRPL,BYPL,BRPL,BYPL,BRPL,BYPL,BRPL,BRPL,BYPL,BRPL,BYPL,DIAPL,BRPL,TPDDL,BYPL,BRPL,BYPL,BYPL,ITCLH,ITCLH,BRPL,BRPL,BRPL,BRPL,BYPL,MES (Delhi),VLSEZ,
,,North East-East-North,East-North,West-North,North-North,West-North,North East-East-North,South-East-North,North East-East-North,North East-East-North,North-North,West-North,West-North,East-North,North-North,North East-East-North,North-North,South-East-North,North-North,North-North,East-North,North East-East-North,North East-East-North,South-East-North,South-West-North,North-North,North-North,North-North,West-North,North-North,West-North,North-East,
1,00:00-00:15,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.870000,58.430000,0.000000,20.300000,63.030000,0.000000,0.870000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1288.5

2,00:15-00:30,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.870000,58.430000,0.000000,20.300000,63.030000,0.000000,0.870000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1288.5

3,00:30-00:45,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.870000,58.430000,0.000000,20.300000,63.030000,0.000000,0.870000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1288.5

4,00:45-01:00,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.870000,58.430000,0.000000,20.300000,63.030000,0.000000,0.870000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1288.5

5,01:00-01:15,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.780000,58.430000,0.000000,20.300000,63.030000,0.130000,0.500000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1288.17

6,01:15-01:30,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.780000,58.430000,0.000000,20.300000,63.030000,0.130000,0.500000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1288.17

7,01:30-01:45,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.780000,58.430000,0.000000,20.300000,63.030000,0.130000,0.500000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1288.17

