Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7205,GNA/NR/2025/09/01/2909,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/4314,GNA/NR/2025/09/01/6485,NR/30092023/26122029/SH-06,GNA/NR/2025/09/01/7215,GNA/NR/2025/09/01/7452,GNA/NR/2025/09/01/2039,GNA/NR/2025/09/01/4602,GNA/NR/2025/09/01/9239,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/9418,NR/2025/34682/A/102391,NR/2025/34712/A/102144,NR/2025/34681/A/102396,NR/2025/34683/A/102386,NR/2025/34713/A/102142,NR/2025/34681/A/102399,NR/2025/34683/A/102387,NR/2025/34682/A/102390,NR/2025/34710/A/102145,NR/2025/34615/A/102118,GNARE/NR/2024/12/20/3668,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/6755,NR/2025/29992/A/102343,NR/2025/34527/A/102442,NR/2025/34853/A/102131,NR/2025/33476/A/102432,NR/2025/33479/A/102433,NR/2025/34822/A/102094,NR/2025/29440/A/101971,NR/2025/34323/A/102565,NR/2025/34528/A/102439,NR/2025/34529/A/102443,NR/2025/34545/A/102544,NR/2025/33226/A/102466,NR/2025/34676/A/102463,NR/2025/34324/A/102564,NR/2025/34325/A/102550,NR/2025/34499/A/102134,NR/2025/29910/A/102573,Total
,,BAWANA_GAS,PTC,NDMC,APPCPL,PTC,PTC,MANIKARAN,PUNJAB,PowerPulse,APPCPL,MANIKARAN,PTC,NDMC,PTC,APPCPL,OIDLWM2_AEROCITY,GMRETL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,GMRETL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,GMRETL,BRPL,SECI_Trader,DELHI,NDMC,NVVNL,BYPL,PTC,IEXL,PowerPulse,PowerPulse,DIAPL,ITCLH,APPCPL,PTC,PTC,MANIKARAN,NVVNL,NVVNL,APPCPL,APPCPL,INSTINCT,APPCPL,
,,DELHI_UT,TELANGANA_State,NA,NA,NA,GoHP_NJPC_STATE,MP_State,DELHI_UT,NA,GOA_State,NA,GoHP_Koldam_STATE,NA,GoHP_Rampur_STATE,GOA_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,KERALA_State,NA,ODISHA_STATE,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,GoHP_Koldam_STATE,GoHP_NJPC_STATE,NA,NA,MP_State,NA,NA,NA,KERALA_State,
,,BAWANA_GAS,NAVABHARATVL,SKS_Raigarh,ACBIL,KWHEP,GoHP_NJPC,BLAPOWER_MP,BAWANA_GAS,APL_Raipur_TPP,GOA_Beneficiary,MCCPL,GoHP_Koldam,JIPL,GoHP_Rampur,GOA_Beneficiary,TCSPL_BKN2,JNEPL_BKN2,TESPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JNEPL_BKN2,TS1PL_BKN,APSEPL_FTG,CHANJUII,TRN_ENERGY,JHABUA_IPP,KSEB,KWHEP,ORSISL,APL_Raipur_TPP,APL_Raipur_TPP,GBHHPL,ITCWIND,JPL2,GoHP_Koldam,GoHP_NJPC,DBPL,JPNIGRIE_JNSTPP,JP_BINA,RKM_POWER,RKM_POWER,JPL2,KSEB,
,,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,OIDLWM2_AEROCITY,DTCP,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,MAX_HPTL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,BLKMH,BRPL,TPDDL,TPDDL,NDMC,BRPL,BYPL,BRPL,MES_Delhi,TPDDL,TPDDL,DIAPL,ITCLH,NDMC,BRPL,BRPL,BRPL,TPDDL,TPDDL,NDMC,NDMC,BRPL,BYPL,
,,North-North,South-East-West-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,East-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,South-West-North,North-North,East-North,West-North,West-North,North-North,South-West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,
1,00:00-00:15,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.87,24.09,40.96,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.92

2,00:15-00:30,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.87,24.09,40.96,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.92

