Column1,Time,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8954,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8456,GNA/NR/2025/05/01/8068,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/3877,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/9252,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/2474,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/6957,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8964,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,L_NR_2019_19
1,00:00-00:15,38.02,65.33,0,26.5,0,65.33,0,0,0,0,0,0,0,0,0,79.5,26.5,24,0,15.54,28.98,5.8,30,31.29,30,10.46,10.63,6.56,87.14,7.79,15.07,115.53,261.43,100.65,28.98,273.16,13.53,0,17.56,8.94,0,67.63,0,0,0,14.49,82.12,164.24,0,7.26,0,20.53,14.49,0

2,00:15-00:30,38.42,65.33,0,26.67,0,65.33,0,0,0,0,0,0,0,0,0,79.99,26.67,25.67,0,15.54,28.98,5.8,30,31.29,30,10.46,10.63,6.56,87.14,7.79,15.07,115.53,261.43,100.65,28.98,273.16,13.53,0,17.56,8.94,0,67.63,0,0,0,14.49,82.12,164.24,0,7.26,0,20.53,14.49,0

3,00:30-00:45,38.62,65.67,0,27,0,65.67,0,0,0,0,0,0,0,0,0,81,27,26,0,15.54,28.98,5.8,30,31.29,30,10.46,10.63,6.56,87.14,7.79,15.07,115.53,261.43,100.65,28.98,273.16,13.53,0,17.56,8.94,0,67.63,0,0,0,14.49,82.12,164.24,0,7.26,0,20.53,14.49,0

4,00:45-01:00,39.02,66,0,27.17,0,66,0,0,0,0,0,0,0,0,0,81.49,27.17,25.67,0,15.54,28.98,5.8,30,31.29,30,10.46,10.63,6.56,87.14,7.79,15.07,115.53,261.43,100.65,28.98,273.16,13.53,0,17.56,8.94,0,67.63,0,0,0,14.49,82.12,164.24,0,7.26,0,20.53,14.49,0

5,01:00-01:15,39.22,66,0,30,0,66,0,0,0,0,0,0,0,0,0,90,30,28.33,0,15.54,28.98,5.8,30,31.29,23.64,10.46,10.63,6.56,87.14,7.4,13.09,115.53,261.43,100.65,28.98,273.16,13.53,0,17.56,8.47,0,67.63,0,0,0,14.49,82.12,164.24,0,7.26,0,20.53,14.49,0

