Column1,Block,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/27356/A/81053,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/80654,NR/2025/26860/A/81085,NR/2025/26861/A/81188,NR/2025/27167/A/80826,NR/2025/27725/A/81243,NR/2025/27728/A/81241,NR/2025/27726/A/81242,NR/2025/27187/A/81246,NR/2025/27185/A/81247,NR/2025/26777/A/80703,NR/2025/28849/A/81048,NR/2025/28993/C,NR/2025/29159/C,NR/2025/27506/A/80658,NR/2025/26571/A/81190,NR/2025/27168/A/80828,NR/2025/26975/A/81249,NR/2025/26952/A/80632,NR/2025/26785/A/80602,NR/2025/28851/A/81050,NR/2025/27500/A/80659,NR/2025/27088/A/81123,NR/2025/27100/A/81097,NR/2025/26889/A/81116,NR/2025/27162/A/81248,NR/2025/27499/A/81115,NR/2025/26562/A/81194,NR/2025/27281/A/81226,NR/2025/27727/A/81240,NR/2025/27157/A/80728,NR/2025/27242/A/81080,NR/2025/28719/A/80753,NR/2025/29116/C,NR/2025/26565/A/81193,NR/2025/27782/A/81239,NR/2025/26566/A/81192,NR/2025/26085/A/80613,NR/2025/26445/A/81131,NR/2025/26572/A/81189,NR/2025/29137/C,NR/2025/29133/C,NR/2025/29067/C,NR/2025/29135/C,NR/2025/29126/C,NR/2025/29100/C,NR/2025/29134/C,NR/2025/29101/C,NR/2025/29127/C,NR/2025/29102/C,NR/2025/29128/C,NR/2025/29143/C,NR/2025/29066/C,NR/2025/29132/C,NR/2025/29106/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,NR/2025/29125/C,GNA/NR/2025/06/01/7782,NR/2025/29124/C,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/5280,NR/2025/29009/C,GNA/NR/2025/06/16/8791,Total
,,APPCPL,MANIKARAN,PowerPulse,APPCPL,PTC,SIMHAPURI,BAWANA_GAS,PUNJAB,NDMC,DELHI,BRPL,SECI_Trader,IEXL,BRPL,PowerPulse,PTC,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,INSTINCT,BRPL,MANIKARAN,DIAPL,IEXL,PowerPulse,PTC,APPCPL,PXIL,IEXL,BRPL,IEXL,NVVNL,IVPL_Trader,HPXL,APPCPL,HPXL,PowerPulse,MANIKARAN,APPCPL,KEIPL,GMRETL,DIAPL,INSTINCT,PowerPulse,APPCPL,PowerPulse,ITCLH,NVVNL,PowerPulse,NVVNL,APPCPL,BRPL,APPCPL,APPCPL,PowerPulse,NVVNL,PowerPulse,APPCPL,PowerPulse,APPCPL,APPCPL,PXIL,NVVNL,TPDDL,INSTINCT,NVVNL,APPCPL,APPCPL,APPCPL,PTC,KEIPL,IEXL,APPCPL,
,,NA,MP_State,NA,GOA_State,ODISHA_STATE,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,GoHP_Chamera1_STATE,NA,NA,NA,KERALA_State,KERALA_State,NA,NA,CSEB_State,HIMACHAL_STATE,HIMACHAL_STATE,NA,GoHP_Rampur_STATE,Manipur_State,NA,NA,NA,MSEB_State,NA,MSEB_State,MSEB_State,CSEB_State,JK_and_LADAKH_UT,NA,CSEB_State,NA,CSEB_State,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,Manipur_State,NA,CSEB_State,NA,NA,NA,NA,NA,NA,NA,KERALA_State,NA,NA,NA,NA,NA,NA,CSEB_State,NA,TELANGANA_State,CSEB_State,NA,GOA_State,
,,DBPL,BLAPOWER_MP,COASTGEN,GOA_Beneficiary,NBVL_OTCL,SIMHAPURI,BAWANA_GAS,BAWANA_GAS,JIPL,CHANJUII,TS1PL_BKN,APSEPL_FTG,TPSL_BKN2,JPL2,COASTGEN,GoHP_Chamera1,SKS_Raigarh,RKM_POWER,RKM_POWER,KSEB,KSEB,JPL2,DADRT2,CSEB_Beneficiary,GBHHPL,NHCPL_HP,APL_Raigarh_TPP,GoHP_Rampur,Manipur_Ben,MBMP,MBMP,RIHAND3,A_A_Energy_MH_Bio,ILFS,TPC_MSEB,GRETAENERGY,CSEB_Beneficiary,O2Z,APL_Raipur_TPP,CSEB_Beneficiary,JPL2,CSEB_Beneficiary,GBHHPL,GBHHPL,JPL2,MAHAN_ENERGEN,TRN_ENERGY,MAHAN_ENERGEN,ITCWIND,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,ILFS,Manipur_Ben,JPL2,CSEB_Beneficiary,JPL2,APL_Raigarh_TPP,Kameng,MAHAN_ENERGEN,TRN_ENERGY,APL_Raipur_TPP,RKM_POWER,KSEB,MBMP,SORANG_HEP,JHAJJAR,SIMHAPURI,JHABUA_IPP,RKM_POWER,CSPDCL,SKS_Raigarh,NAVABHARAT,CSPDCL,MBMP,GOA_Beneficiary,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,PUNJAB,NDMC,TPDDL,BRPL,TPDDL,MES_Delhi,BRPL,BRPL,BRPL,NDMC,NDMC,NDMC,BYPL,BYPL,BRPL,BRPL,BYPL,DIAPL,MES_Delhi,TPDDL,BRPL,BYPL,BRPL,NDMC,BRPL,MES_Delhi,BRPL,BYPL,BYPL,BYPL,BYPL,TPDDL,BYPL,NDMC,BYPL,BRPL,DIAPL,BRPL,TPDDL,NDMC,TPDDL,ITCLH,TPDDL,TPDDL,BRPL,BYPL,BRPL,BYPL,NDMC,TPDDL,TPDDL,TPDDL,NDMC,TPDDL,NDMC,BYPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,BRPL,NDMC,BRPL,BRPL,NDMC,BRPL,
,,West-North,West-North,South-West-North,West-North,East-West-North,South-East-North,North-North,North-North,East-North,North-North,North-North,North-North,North-North,West-North,South-West-North,North-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,North-North,West-North,North-North,North-North,West-North,North-North,North East-East-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,North East-East-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,North-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,
1,00:00-00:15,48.37,24.18,0,19.35,24.18,48.37,16.76,29.5,29.2,16.48,0,0,0,106.41,193.48,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.68,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2786.6799999999994

2,00:15-00:30,48.37,24.18,0,19.35,24.18,48.37,16.76,29.5,29.2,16.48,0,0,0,106.41,193.48,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.68,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2786.6799999999994

3,00:30-00:45,48.37,24.18,0,19.35,24.18,48.37,23.13,23.13,29.2,16.48,0,0,0,106.41,193.48,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.68,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2786.6799999999994

4,00:45-01:00,48.37,24.18,0,19.35,24.18,48.37,23.13,23.13,29.2,16.48,0,0,0,106.41,193.48,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.68,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2786.6799999999994

5,01:00-01:15,48.37,24.18,0,19.35,24.18,48.37,23.13,23.13,29.2,16.39,0,0,0,106.41,193.48,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.68,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2786.5899999999992

6,01:15-01:30,48.37,24.18,0,19.35,24.18,48.37,23.13,23.13,29.2,16.39,0,0,0,106.41,193.48,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.68,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2786.5899999999992

7,01:30-01:45,48.37,24.18,0,19.35,24.18,48.37,23.13,23.13,29.2,16.39,0,0,0,106.41,193.48,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.68,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2786.5899999999992

8,01:45-02:00,48.37,24.18,0,19.35,24.18,48.37,23.13,23.13,29.2,16.39,0,0,0,106.41,193.48,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.68,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2786.5899999999992

9,02:00-02:15,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.29,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.63,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2753.9399999999996

10,02:15-02:30,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.29,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.63,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2753.9399999999996

11,02:30-02:45,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.48,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.63,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2754.129999999999

12,02:45-03:00,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.48,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,27.09,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.63,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2754.129999999999

