Block,Time,DADRI_GF,KOLDAM,CHAMERA3,RIHAND2,RIHAND3,UNCHAHAR1,AURY_CRF,SALAL,RAPPC,ANTA_CRF,SEWA2,AURY_RF,KOTESHWR,RIHAND1,URI,SINGRAULI_HYDRO,ANTA_LF,DHAULIGNGA,AURY_GF,TANAKPUR,ANTA_RF,NAPP,CHAMERA2,ANTA_GF,RAPPB,DADRI_CRF,KISHANGANGA,JHAJJAR,TANDA2,TEHRI,CHAMERA1,DADRT2,UNCHAHAR3,DADRI_RF,UNCHAHAR4,KHSTPP-II,UNCHAHAR2,RAMPUR,DULHASTI,BRBCL,AURY_LF,PARBATI3,KHSTPP-I,DADRI_LF,SASAN,NJPC,TALA,SINGRAULI,BSIUL,URI2,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,11.162605,59.851752,125.670288,21.779112,0.000000,12.301397,66.403822,0.000000,18.093714,0.000000,9.985206,93.406640,37.187136,0.729511,0.000000,0.000000,0.000000,0.000000,0.000000,49.919694,15.558745,0.000000,0.000000,0.000000,2.643572,649.444679,5.156625,12.653073,0.000000,662.531507,26.599755,0.000000,2.973816,142.627680,43.218136,0.000000,18.983470,19.247984,0.000000,0.000000,43.601087,0.000000,403.024248,0.000000,0.000000,144.348931,12.551236,36.465835,20.017920,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,11.162605,59.851752,125.670288,21.779112,0.000000,12.301397,66.403822,0.000000,18.093714,0.000000,9.985206,93.406640,37.187136,0.729511,0.000000,0.000000,0.000000,0.000000,0.000000,49.919694,15.558745,0.000000,0.000000,0.000000,2.643572,649.444679,5.156625,12.653073,0.000000,662.531507,26.599755,0.000000,2.973816,142.627680,43.218136,0.000000,18.983470,17.082795,0.000000,0.000000,44.654475,0.000000,403.024248,0.000000,0.000000,144.349365,12.551236,36.465835,20.017920,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,11.162605,59.851752,125.670288,21.779112,0.000000,24.602794,66.403822,0.000000,12.086893,0.000000,9.985206,93.406640,32.937178,0.729511,0.000000,0.000000,0.000000,0.000000,0.000000,49.919694,15.558745,0.000000,0.000000,0.000000,2.643572,649.444679,5.156625,12.653073,0.000000,662.531507,26.599755,0.000000,2.973816,142.627680,43.218136,0.000000,18.983470,16.576039,0.000000,0.000000,44.654475,0.000000,403.024248,0.000000,0.000000,144.349365,12.551236,36.465835,20.017920,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,11.162605,59.851752,125.670288,21.779112,0.000000,76.391674,66.403822,0.000000,9.156737,0.000000,9.985206,93.406640,32.937178,0.729511,0.000000,0.000000,0.000000,0.000000,0.000000,49.919694,15.558745,0.000000,0.000000,0.000000,2.643572,649.444679,5.156625,12.653073,0.000000,662.531507,26.599755,0.000000,2.973816,142.627680,43.218136,0.000000,18.983470,17.134732,0.000000,0.000000,44.654475,0.000000,403.024248,0.000000,0.000000,144.349365,12.551236,36.465835,20.017920,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,11.162605,59.851752,125.670288,21.779112,0.000000,76.391674,66.403822,0.000000,9.156737,0.000000,9.985206,93.406640,32.937178,0.729511,0.000000,0.000000,0.000000,0.000000,0.000000,49.919694,15.558745,0.000000,0.000000,0.000000,2.643572,649.444679,5.156625,12.653073,0.000000,662.531507,26.599755,0.000000,2.973816,142.627680,43.218136,0.000000,18.983470,13.677995,0.000000,0.000000,44.654475,0.000000,403.024248,0.000000,0.000000,144.349365,12.551236,36.465835,20.017920,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,11.162605,59.851752,125.670288,21.779112,0.000000,76.391674,66.403822,0.000000,9.156737,0.000000,19.970412,93.406640,32.937178,0.729511,0.000000,0.000000,0.000000,0.000000,0.000000,49.919694,15.558745,0.000000,0.000000,0.000000,2.643572,649.444679,5.156625,12.653073,0.000000,662.531507,26.599755,0.000000,2.973816,142.627680,43.218136,0.000000,18.983470,14.684147,0.000000,0.000000,44.654475,0.000000,403.024248,0.000000,0.000000,144.349365,12.551236,36.465835,20.017920,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,11.162605,59.851752,125.670288,21.779112,0.000000,76.391674,66.403822,0.000000,9.156737,0.000000,19.970412,93.406640,37.187136,0.729511,0.000000,0.000000,0.000000,0.000000,0.000000,49.919694,15.558745,0.000000,0.000000,0.000000,2.643572,649.444679,5.156625,25.306146,0.000000,662.531507,26.599755,0.000000,2.973816,142.627680,43.218136,0.000000,18.983470,14.867487,0.000000,0.000000,44.654475,0.000000,403.024248,0.000000,0.000000,144.349365,12.551236,36.465835,20.017920,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,11.162605,59.851752,125.670288,21.779112,0.000000,27.957720,66.403822,0.000000,9.156737,0.000000,19.970412,93.406640,37.187136,0.729511,0.000000,0.000000,0.000000,0.000000,0.000000,49.919694,15.558745,0.000000,0.000000,0.000000,2.643572,649.444679,5.156625,25.306146,0.000000,662.531507,26.599755,0.000000,2.973816,142.627680,43.218136,0.000000,18.983470,14.388564,0.000000,0.000000,44.654475,0.000000,403.024248,0.000000,0.000000,144.349365,12.551236,36.465835,20.017920,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,11.162605,59.851752,125.670288,21.779112,0.000000,24.602794,66.403822,0.000000,9.156737,0.000000,19.970412,93.406640,32.937178,0.729511,0.000000,0.000000,0.000000,0.000000,0.000000,49.919694,15.558745,0.000000,0.000000,0.000000,2.643572,649.444679,5.156625,25.306146,0.000000,662.531507,26.599755,0.000000,2.973816,142.627680,43.218136,0.000000,18.983470,15.326947,0.000000,0.000000,44.654475,0.000000,403.024248,0.000000,0.000000,144.349365,12.551236,36.465835,20.017920,0,0,0,0,0

