Time,Block,NR/2024/18265/C,WR/2023/20914/A/2727,WR/2023/20937/A/2730,NR/2024/18269/C,NR/2023/18074/A/2597,NR/2023/18204/A/2608,NR/2023/18183/A/2731,Total
,,NVVNL,APPCPL,MANIKARAN,SJVNL,ITCLH,IEXL,MANIKARAN,Total

,,NA,DELHI,DELHI,UTTAR PRADESH,ANDHRA PRADESH,ANDHRA PRADESH,DELHI,
,,SOLAPUR_SOLAR,BRPL,BRPL,BCMLB001,ITCWIND,SNJSUGARLTDAP,BRPL,
,,DELHI,GOA,GOA,DELHI,DELHI,DELHI,HIMACHAL PRADESH,
,,MES (Delhi),GOA_Beneficiary,GOA_Beneficiary,NDMC,ITCLH,MES (Delhi),HP,
,,West-North,North-West,North-West,North-North,South-West-North,South-East-North,North-North,
1,00:00-00:15,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

2,00:15-00:30,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

3,00:30-00:45,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

4,00:45-01:00,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

5,01:00-01:15,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

6,01:15-01:30,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

7,01:30-01:45,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

8,01:45-02:00,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

9,02:00-02:15,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

10,02:15-02:30,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

11,02:30-02:45,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

12,02:45-03:00,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

13,03:00-03:15,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

14,03:15-03:30,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

15,03:30-03:45,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

16,03:45-04:00,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

17,04:00-04:15,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

18,04:15-04:30,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

19,04:30-04:45,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

20,04:45-05:00,0,0.000000,0.000000,0.000000,0.380000,5.760000,0.000000,6.14

21,05:00-05:15,0,0.000000,0.000000,0.000000,0.430000,5.760000,0.000000,6.19

22,05:15-05:30,0,0.000000,0.000000,0.000000,0.430000,5.760000,0.000000,6.19

23,05:30-05:45,0,0.000000,0.000000,0.000000,0.430000,5.760000,0.000000,6.19

24,05:45-06:00,0,0.000000,0.000000,0.000000,0.430000,5.760000,0.000000,6.19

25,06:00-06:15,0,0.000000,0.000000,0.000000,0.380000,5.760000,158.480000,164.62

26,06:15-06:30,0,0.000000,0.000000,0.000000,0.380000,5.760000,158.480000,164.62

27,06:30-06:45,0,0.000000,0.000000,0.000000,0.380000,5.760000,158.480000,164.62

28,06:45-07:00,0,0.000000,0.000000,0.000000,0.380000,5.760000,158.480000,164.62

29,07:00-07:15,0,0.000000,0.000000,0.000000,0.530000,5.760000,158.480000,164.77

30,07:15-07:30,0.16,0.000000,0.000000,0.000000,0.530000,5.760000,158.480000,164.93

31,07:30-07:45,0.37,0.000000,0.000000,0.000000,0.530000,5.760000,158.480000,165.14

32,07:45:08:00,0.62,0.000000,0.000000,0.000000,0.530000,5.760000,158.480000,165.39

33,08:00-08:15,1.01,0.000000,0.000000,0.000000,0.860000,5.760000,158.480000,166.11

34,08:15-08:30,1.46,0.000000,0.000000,0.000000,0.860000,5.760000,158.480000,166.56

35,08:30-08:45,1.78,0.000000,0.000000,0.000000,0.860000,5.760000,158.480000,166.88

36,08:45:09:00,2.08,0.000000,0.000000,0.000000,0.860000,5.760000,158.480000,167.18

37,09:00:09:15,2.29,0.000000,0.000000,0.000000,0.860000,5.760000,0.000000,8.91

38,09:15-09:30,2.83,0.000000,0.000000,0.000000,0.860000,5.760000,0.000000,9.45

39,09:30-09:45,3.2,0.000000,0.000000,0.000000,0.860000,5.760000,0.000000,9.82

40,09:45-10:00,2.95,0.000000,0.000000,0.000000,0.860000,5.760000,0.000000,9.57

41,10:00-10:15,3.8,0.000000,0.000000,0.000000,0.860000,5.760000,0.000000,10.42

42,10:15-10:30,4.55,0.000000,0.000000,0.000000,0.860000,5.760000,0.000000,11.17

43,10:30-10:45,4.92,0.000000,0.000000,0.000000,0.860000,5.760000,0.000000,11.54

44,10:45-11:00,5.24,0.000000,0.000000,0.000000,0.860000,5.760000,0.000000,11.86

45,11:00-11:15,5.42,0.000000,0.000000,0.000000,0.860000,5.760000,0.000000,12.04

46,11:15-11:30,5.56,0.000000,0.000000,0.000000,0.860000,5.760000,0.000000,12.18

47,11:30-11:45,5.74,0.000000,0.000000,4.320000,0.860000,5.760000,0.000000,16.68

48,11:45-12:00,5.82,0.000000,0.000000,4.320000,0.860000,5.760000,0.000000,16.76

49,12:00-12:15,5.86,0.000000,0.000000,4.320000,0.860000,5.760000,0.000000,16.8

50,12:15-12:30,5.84,0.000000,0.000000,4.320000,0.860000,5.760000,0.000000,16.78

51,12:30-12:45,5.99,0.000000,0.000000,4.320000,0.860000,5.760000,0.000000,16.93

52,12:45-13:00,6.06,0.000000,0.000000,4.320000,0.860000,5.760000,0.000000,17

53,13:00-13:15,6.01,0.000000,0.000000,4.320000,0.770000,5.760000,0.000000,16.86

54,13:15-13:30,5.87,0.000000,0.000000,4.320000,0.770000,5.760000,0.000000,16.72

55,13:30-13:45,5.73,0.000000,0.000000,4.320000,0.770000,5.760000,0.000000,16.58

56,13:45-14:00,5.58,0.000000,0.000000,4.320000,0.770000,5.760000,0.000000,16.43

57,14:00-14:15,5.33,0.000000,0.000000,4.320000,0.770000,5.760000,0.000000,16.18

58,14:15-14:30,5.08,0.000000,0.000000,4.320000,0.770000,5.760000,0.000000,15.93

59,14:30-14:45,4.78,0.000000,0.000000,4.320000,0.770000,5.760000,0.000000,15.63

60,14:45-15:00,4.45,0.000000,0.000000,4.320000,0.770000,5.760000,0.000000,15.3

61,15:00-15:15,4.06,0.000000,0.000000,4.320000,0.670000,5.760000,0.000000,14.81

62,15:15-15:30,3.66,0.000000,0.000000,4.320000,0.670000,5.760000,0.000000,14.41

63,15:30-15:45,2.33,0.000000,0.000000,4.320000,0.670000,5.760000,0.000000,13.08

64,15:45-16:00,2.96,0.000000,0.000000,4.320000,0.670000,5.760000,0.000000,13.71

65,16:00-16:15,2.36,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,8.6

66,16:15-16:30,1.93,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,8.17

67,16:30-16:45,1.49,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,7.73

68,16:45-17:00,0.93,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,7.17

69,17:00-17:15,0.78,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,7.02

70,17:15-17:30,0.45,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,6.69

71,17:30-17:45,0.26,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,6.5

72,17:45-18:00,0,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,6.24

73,18:00-18:15,0,55.000000,25.000000,0.000000,0.480000,5.760000,0.000000,86.24

74,18:15-18:30,0,55.000000,25.000000,0.000000,0.480000,5.760000,0.000000,86.24

75,18:30-18:45,0,55.000000,25.000000,0.000000,0.480000,5.760000,0.000000,86.24

76,18:45-19:00,0,55.000000,25.000000,0.000000,0.480000,5.760000,0.000000,86.24

77,19:00-19:15,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

