Block,Time Block,NLCIIST1,NJPC,NLCIIST2,NAPP,NLCEXP,KHSTPP-I,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KUDGI,KISHANGANGA,KGSU1AND2,KGSU3AND4,FSTPP I & II,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_CRF,ANTA_CRF,AURY_RF,DADRI_GF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,ANTA_GF,DHAULIGNGA,DULHASTI,DADRT2,VALLURNTECL,JHAJJAR,UNCHAHAR2,UNCHAHAR4,TALST2,TEHRI,TANAKPUR,UNCHAHAR1,TANDA2,TALA,UNCHAHAR3,TelanganaSTPP,URI2,URI,BSIUL,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,RAPPB,RAMPUR,RAPPC,NTPL,PARBATI3,SIMHST2,RIHAND1,SINGRAULI_HYDRO,SALAL,SEWA2,SINGRAULI,RSTPSU1TO6,RSTPSU7,RIHAND3,SASAN,RIHAND2,SIMHST1,NLCTS2EXP,NNTPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,509.15,0,306.89,40.69,0,0,0,2.46,20.02,0,0,25.34,0,31.77,34.97,6.26,0,0,18.89,0,0,0,24.61,0,0,0,88.32,0.72,66.93,0,134.1,0,0,59.67,377.73,114.01,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,509.15,0,297.29,40.69,0,0,0,2.46,20.02,0,0,25.34,0,31.77,34.97,6.26,0,0,18.86,0,0,0,24.61,0,0,0,88.32,0.72,66.93,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,461.15,0,297.29,40.69,0,0,0,7.5,20.02,0,0,25.34,0,31.77,34.97,6.26,0,0,18.54,0,0,0,24.61,0,0,0,88.32,0.72,66.93,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,461.15,0,297.29,40.69,0,0,0,7.5,20.02,0,0,25.34,0,31.77,34.97,6.26,0,0,18.39,0,0,0,24.61,0,0,0,88.32,0.72,66.93,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,461.15,0,297.29,40.69,0,0,0,7.5,20.02,0,0,25.34,0,31.77,34.97,12.52,0,0,16.03,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,461.15,0,297.29,40.69,0,0,0,7.5,20.02,0,0,25.34,0,31.77,34.97,12.52,0,0,13.82,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,413.15,0,297.29,40.69,0,0,0,7.5,20.02,0,0,25.34,0,31.77,34.97,12.52,0,0,15.11,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,365.15,0,297.29,40.69,0,0,0,7.5,20.02,0,0,25.34,0,31.77,34.97,12.52,0,0,13.08,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,365.15,0,287.69,40.69,0,0,0,1.97,20.02,0,0,25.34,0,31.77,34.97,12.52,0,0,12.69,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,365.15,0,287.69,40.69,0,0,0,1.97,20.02,0,0,25.34,0,31.77,34.97,12.52,0,0,14.28,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,365.15,0,287.69,40.69,0,0,0,1.97,20.02,0,0,25.34,0,31.77,34.97,12.52,0,0,14.4,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,365.15,0,287.69,40.69,0,0,0,1.97,20.02,0,0,25.34,0,31.77,34.97,12.52,0,0,17,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,316.19,0,268.1,37.08,0,0,0,2.22,18.64,0,0,23.12,0,28.42,34.44,12.52,0,0,15.9,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,316.19,0,268.1,37.23,0,0,0,2.22,18.64,0,0,23.12,0,28.42,34.44,12.52,0,0,17.29,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

15,03:30-03:45,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,316.19,0,268.1,37.23,0,0,0,2.22,18.64,0,0,23.12,0,28.42,34.44,12.52,0,0,19.2,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

16,03:45-04:00,0,0,0,19.48,0,43.71,0,8.52,142.37,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,316.19,0,268.1,37.23,0,0,0,2.22,18.64,0,0,23.12,0,28.42,34.44,12.52,0,0,19.2,0,0,0,24.61,0,0,0,88.32,0.72,25.66,0,134.1,0,0,59.67,378,114.01,0,0,0,0,0,0,0,0

