Block,Time,TEHRI,TANDA2,SEWA2,AURY_CRF,RIHAND1,ANTA_LF,KISHANGANGA,UNCHAHAR4,ANTA_GF,URI2,DADRI_CRF,RAPPC,DHAULIGNGA,UNCHAHAR1,DADRI_LF,AURY_LF,CHAMERA3,NAPP,SINGRAULI,CHAMERA1,URI,DADRI_GF,TANAKPUR,SALAL,ANTA_RF,DADRT2,RAPPB,DADRI_RF,AURY_RF,AURY_GF,KOLDAM,UNCHAHAR3,PARBATI3,RIHAND2,CHAMERA2,SINGRAULI_HYDRO,JHAJJAR,NJPC,ANTA_CRF,RIHAND3,BSIUL,DULHASTI,UNCHAHAR2,KOTESHWR,RAMPUR,BRBCL,FSTPP I & II,KHSTPP-II,SASAN,KUDGI,KHSTPP-I,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,88.734000,0.000000,0.000000,0.000000,0.000000,23.872995,0.000000,52.140291,0.000000,7.716000,0.000000,0.000000,0.000000,0.000000,132.015938,0.000000,6.388848,0.000000,3.088811,76.558364,0.000000,285.182781,0.000000,0.000000,0.000000,0.000000,0.000000,10.829076,0.000000,113.931562,0.000000,0.553527,116.704500,0.000000,0.000000,119.275495,0.000000,15.893853,14.136127,8.558973,0.000000,19.290037,10.965862,45.951866,403.903665,56.91,34.091699,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,86.058091,0.000000,0.000000,0.000000,0.000000,23.872995,0.000000,52.140291,0.000000,7.716000,0.000000,0.000000,0.000000,0.000000,132.015938,0.000000,6.388848,0.000000,3.088811,76.558364,0.000000,255.883549,0.000000,0.000000,0.000000,0.000000,0.000000,9.645000,0.000000,113.931562,0.000000,0.553527,116.704500,0.000000,0.000000,119.275495,0.000000,15.893853,13.503000,8.558973,0.000000,19.290037,10.710387,45.951866,403.903665,56.91,34.091699,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,86.058091,0.000000,0.000000,0.000000,0.000000,23.872995,0.000000,52.140291,0.000000,7.716000,0.000000,0.000000,0.000000,0.000000,132.015938,0.000000,6.388848,0.000000,3.088811,76.558364,0.000000,209.951781,0.000000,0.000000,0.000000,0.000000,0.000000,9.645000,0.000000,113.931562,0.000000,0.553527,116.704500,0.000000,0.000000,119.275495,0.000000,15.893853,13.503000,8.558973,0.000000,17.757867,10.710387,44.022866,403.903665,54.98,28.800549,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,86.058091,0.000000,0.000000,0.000000,0.000000,23.872995,0.000000,52.140291,0.000000,7.716000,0.000000,0.000000,0.000000,0.000000,132.015938,0.000000,6.388848,0.000000,3.088811,76.558364,0.000000,190.661781,0.000000,0.000000,0.000000,0.000000,0.000000,9.645000,0.000000,113.931562,0.000000,0.553527,116.704500,0.000000,0.000000,119.275495,0.000000,15.893853,13.503000,8.558973,0.000000,14.937879,10.710387,44.022866,403.903665,53.05,28.800549,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,86.058091,0.000000,0.000000,0.000000,0.000000,9.730840,0.000000,52.140291,0.000000,7.716000,0.000000,0.000000,0.000000,0.000000,132.015938,0.000000,6.388848,0.000000,3.088811,24.656478,0.000000,181.016781,0.000000,0.000000,0.000000,0.000000,0.000000,9.645000,0.000000,113.931562,0.000000,0.553527,116.704500,0.000000,0.000000,119.275495,0.000000,15.893853,13.503000,8.558973,0.000000,13.863857,10.710387,44.022866,403.903665,53.05,28.800549,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,86.058091,0.000000,0.000000,0.000000,0.000000,9.082118,0.000000,52.140291,0.000000,7.716000,0.000000,0.000000,0.000000,0.000000,132.015938,0.000000,6.388848,0.000000,3.088811,12.328239,0.000000,181.016781,0.000000,0.000000,0.000000,0.000000,0.000000,9.645000,0.000000,113.931562,0.000000,0.553527,116.704500,0.000000,0.000000,119.275495,0.000000,15.893853,13.503000,8.558973,0.000000,13.411558,10.710387,44.022866,403.903665,51.12,28.800549,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,0.000000,88.707101,0.000000,0.000000,0.000000,0.000000,9.730840,0.000000,52.140291,0.000000,7.716000,0.000000,0.000000,0.000000,0.000000,132.015938,0.000000,47.916360,0.000000,11.499027,12.328239,0.000000,181.016781,0.000000,0.000000,0.000000,0.000000,0.000000,9.645000,0.000000,113.931562,0.000000,0.553527,116.704500,0.000000,0.000000,119.275495,0.000000,15.893853,13.503000,8.558973,0.000000,12.583703,10.710387,44.022866,403.903665,51.12,28.800549,0.000000,0,0,0,0,0

