Time,Block,NER/2023/1773/C,NR/2023/18074/A/2079,NR/2023/18182/C,WR/2023/20577/A/2142,NR/2023/18105/A/2035,WR/2023/19446/A,WR/2023/20256/A/2157,NR/2023/17525/A,NR/2023/18062/A/2036,NR/2023/17270/A,Total
,,PXIL,ITCLH,NVVNL,APPCPL,IEXL,MANIKARAN,MANIKARAN,APPCPL,IEXL,GMRETL,Total

,,DELHI,ANDHRA PRADESH,NA,DELHI,HIMACHAL PRADESH,DELHI,DELHI,DELHI,ANDHRA PRADESH,DELHI,
,,BYPL,ITCWIND,SOLAPUR_SOLAR,BRPL,BSHP,BYPL,BRPL,BYPL,SNJSUGARLTDAP,BYPL,
,,ARUNACHAL PRADESH,DELHI,DELHI,GOA,DELHI,MAHARASHTRA,GOA,HIMACHAL PRADESH,DELHI,RAJASTHAN,
,,Arunachal_Ben,ITCLH,MES (Delhi),GOA_Beneficiary,MES (Delhi),AEML,GOA_Beneficiary,HP,MES (Delhi),RUVNL,
,,North-East-North East,South-West-North,West-North,North-West,North-North,North-West,North-West,North-North,South-East-North,North-North,
1,00:00-00:15,40.000000,0.430000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.3

2,00:15-00:30,40.000000,0.430000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.3

3,00:30-00:45,40.000000,0.430000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.3

4,00:45-01:00,40.000000,0.430000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.3

5,01:00-01:15,40.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.25

6,01:15-01:30,40.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.25

7,01:30-01:45,40.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.25

8,01:45-02:00,40.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.25

9,02:00-02:15,40.000000,0.340000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.21

10,02:15-02:30,40.000000,0.340000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.21

11,02:30-02:45,40.000000,0.340000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.21

12,02:45-03:00,40.000000,0.340000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.21

13,03:00-03:15,40.000000,0.340000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.21

14,03:15-03:30,40.000000,0.340000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.21

15,03:30-03:45,40.000000,0.340000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.21

