Block,Time Block,NLCIIST2,NLCIIST1,NLCEXP,NJPC,KKNPPU2,KOLDAM,KHSTPP-II,KISHANGANGA,KKNP,MAPS,KOTESHWR,NAPP,KUDGI,KHSTPP-I,DADRI_LF,DADRI_RF,DADRI_GF,BSIUL,BRBCL,CHAMERA2,CHAMERA1,DULHASTI,DADRT2,DHAULIGNGA,JHAJJAR,KGSU3AND4,FSTPP I & II,KGSU1AND2,ANTA_RF,ANTA_LF,AURY_LF,AURY_GF,AURY_RF,ANTA_CRF,ANTA_GF,DADRI_CRF,AURY_CRF,VALLURNTECL,URI2,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,UNCHAHAR2,URI,TEHRI,TANAKPUR,SINGRAULI_HYDRO,TANDA2,SIMHST2,TelanganaSTPP,TALA,SINGRAULI,TALST2,CHAMERA3,RAPPB,RIHAND2,SASAN,RIHAND1,SIMHST1,RAMPUR,RSTPSU1TO6,NLCTS2EXP,RAPPC,RSTPSU7,NNTPP,SALAL,SEWA2,NTPL,RIHAND3,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,161.84,0,3.88,95.76,1.39,0,0,37.42,43.68,0,44.94,0,0,0,0,17.18,42.83,40.82,52.1,556.89,39.13,121.86,0,13.85,0,0,0,0,0,0,0,0,0,0,0,35.2,14.93,0,18.97,30.62,47.58,68.64,12.59,0,0,0,0,9.97,105.62,0,31.07,0,117.88,333.41,45.84,0,3.43,0,0,58.33,0,0,81.03,16.82,0,123.58,3.4,0,0,0,0,0

2,00:15-00:30,0,0,0,161.84,0,3.88,95.76,1.39,0,0,37.42,43.68,0,44.94,0,0,0,0,16.65,42.83,40.82,52.1,512.6,39.13,111.47,0,13.85,0,0,0,0,0,0,0,0,0,0,0,35.2,14.56,0,18.97,30.62,47.58,68.64,12.59,0,0,0,0,9.97,105.62,0,31.07,0,117.88,333.41,45.84,0,3.43,0,0,58.33,0,0,81.03,16.82,0,123.58,3.4,0,0,0,0,0

3,00:30-00:45,0,0,0,161.84,0,3.88,95.76,1.39,0,0,37.42,43.68,0,44.94,0,0,0,0,15.51,42.83,40.82,52.1,450.35,39.13,111.47,0,12.76,0,0,0,0,0,0,0,0,0,0,0,35.2,14.56,0,18.97,30.62,42.77,68.64,12.59,0,0,0,0,10.11,105.62,0,20.7,0,117.88,333.41,44.84,0,3.43,0,0,58.33,0,0,81.03,16.82,0,123.58,3.4,0,0,0,0,0

4,00:45-01:00,0,0,0,161.84,0,3.88,95.76,1.39,0,0,37.42,43.68,0,44.94,0,0,0,0,13.86,42.83,40.82,52.1,411.61,39.13,111.47,0,12.76,0,0,0,0,0,0,0,0,0,0,0,35.2,14.56,0,18.97,30.62,42.77,68.64,12.59,0,0,0,0,10.11,105.62,0,20.7,0,117.88,333.41,44.84,0,3.43,0,0,58.33,0,0,81.03,16.82,0,123.58,17.01,0,0,0,0,0

5,01:00-01:15,0,0,0,161.84,0,3.88,95.76,1.39,0,0,37.42,43.68,0,43.51,0,0,0,0,11.24,42.83,40.82,52.1,365.45,39.13,111.47,0,11.53,0,0,0,0,0,0,0,0,0,0,0,35.2,14.56,0,18.97,30.62,42.77,68.64,12.59,0,0,0,0,10.11,105.62,0,20.7,0,117.88,333.41,44.84,0,3.43,0,0,58.33,0,0,81.03,11.22,0,123.58,17.01,0,0,0,0,0

6,01:15-01:30,0,0,0,161.84,0,3.88,95.76,1.39,0,0,37.42,43.68,0,43.51,0,0,0,0,10.55,28.55,40.82,52.1,365.45,39.13,111.47,0,11.53,0,0,0,0,0,0,0,0,0,0,0,35.2,14.56,0,18.97,30.62,42.77,68.64,12.59,0,0,0,0,10.11,105.62,0,20.7,0,117.88,333.41,44.84,0,3.43,0,0,58.33,0,0,81.03,11.22,0,123.58,17.01,0,0,0,0,0

7,01:30-01:45,0,0,0,161.84,0,3.88,95.76,1.39,0,0,37.42,43.68,0,43.51,0,0,0,0,11.28,28.55,40.82,52.1,365.45,39.13,111.47,0,11.53,0,0,0,0,0,0,0,0,0,0,0,35.2,11.85,0,14.53,23.28,47.58,68.64,12.59,0,0,0,0,10.11,105.62,0,20.7,0,117.88,333.41,44.84,0,3.43,0,0,58.33,0,0,81.03,11.22,0,123.58,17.01,0,0,0,0,0

8,01:45-02:00,0,0,0,161.84,0,3.88,95.76,1.39,0,0,37.42,43.68,0,43.51,0,0,0,0,10.96,28.55,40.82,52.1,365.45,39.13,111.47,0,11.53,0,0,0,0,0,0,0,0,0,0,0,35.2,11.85,0,14.53,23.28,47.58,68.64,12.59,0,0,0,0,10.11,105.62,0,20.7,0,117.88,333.41,44.84,0,3.43,0,0,58.33,0,0,81.03,11.22,0,123.58,3.4,0,0,0,0,0

9,02:00-02:15,0,0,0,161.84,0,3.88,95.76,1.39,0,0,37.42,43.68,0,43.51,0,0,0,0,12.02,28.55,40.82,52.1,365.45,39.13,111.47,0,9.33,0,0,0,0,0,0,0,0,0,0,0,35.2,11.85,0,14.53,23.28,47.58,68.64,12.59,0,0,0,0,10.11,105.62,0,20.7,0,117.88,333.41,44.84,0,3.43,0,0,58.33,0,0,81.03,11.22,0,123.58,3.4,0,0,0,0,0

10,02:15-02:30,0,0,0,161.84,0,3.88,95.76,1.39,0,0,37.42,43.68,0,43.51,0,0,0,0,11.08,28.55,40.82,52.1,365.45,39.13,111.47,0,9.33,0,0,0,0,0,0,0,0,0,0,0,35.2,11.85,0,14.53,23.28,42.77,68.64,12.59,0,0,0,0,10.11,105.62,0,20.7,0,117.88,333.41,44.84,0,3.43,0,0,58.33,0,0,81.03,5.61,0,123.58,3.4,0,0,0,0,0

11,02:30-02:45,0,0,0,161.84,0,3.88,76.95,1.39,0,0,37.42,43.68,0,34.89,0,0,0,0,12.13,28.55,40.82,52.1,365.45,39.13,111.47,0,9.33,0,0,0,0,0,0,0,0,0,0,0,35.2,11.85,0,14.53,23.28,42.77,68.64,12.59,0,0,0,0,10.11,105.62,0,20.7,0,117.88,333.41,44.84,0,3.43,0,0,58.33,0,0,81.03,0,0,123.58,3.4,0,0,0,0,0

