Block,Time,RIHAND3,SEWA2,JHAJJAR,AURY_LF,RAMPUR,URI2,RIHAND1,AURY_CRF,KOTESHWR,AURY_RF,BSIUL,DADRI_GF,SINGRAULI,ANTA_RF,UNCHAHAR2,RIHAND2,TEHRI,KISHANGANGA,DADRI_CRF,URI,TANAKPUR,TANDA2,UNCHAHAR1,PARBATI3,DULHASTI,RAPPB,KOLDAM,ANTA_LF,CHAMERA1,GANDHAR-NAPM,MOUDA_II,KSTPS I&II,KAPS,SIPAT II,DADRI_RF,MOUDA,SASAN,KHSTPP-I,VSTPS III,VSTPS IV,KSTPS7,SOLAPUR,DADRT2,ANTA_GF,KAWAS-ComGas,ANTA_CRF,UNCHAHAR4,GANDHAR-RLNG,KAWAS-RLNG,SIPAT I,VSTPS II,RAPPC,CHAMERA2,TALA,KHSTPP-II,CHAMERA3,UNCHAHAR3,KAWAS-zLIQ,DADRI_LF,NJPC,VSTPS I,KAWAS-NAPM,GADARWARA-I,LARA-I,GANDHAR-ComGas,NAPP,SALAL,SINGRAULI_HYDRO,GANDHAR-APM,AURY_GF,FSTPP I & II,KHARGONE-I,KAWAS-APM,DHAULIGNGA,BRBCL,VSTPS V,TAPS-II,SIMHST2,NLCTS2EXP,KGSU1AND2,RSTPSU7,NLCIIST2,NTPL,TALST2,NNTPP,RSTPSU1TO6,NLCEXP,KGSU3AND4,KUDGI,MAPS,VALLURNTECL,NLCIIST1,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,121.902020,16.552026,432.349566,0.000000,0.381296,34.351375,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.617122,2.351036,21.380065,0.000000,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.259574,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,19.728169,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.749710,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.69,2.10,0.00,0.23,0.00,0.71,1.55,0,0,0,0,0

2,00:15-00:30,121.902020,16.552026,432.349566,0.000000,0.000000,34.351375,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.617122,2.351036,21.380065,0.000000,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.354270,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.749710,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.72,2.10,0.00,0.23,0.00,0.71,1.55,0,0,0,0,0

3,00:30-00:45,121.902020,16.552026,432.349566,0.000000,0.000000,34.351375,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,5.800944,2.351036,21.380065,0.000000,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.646693,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.749710,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.72,2.10,1.21,0.23,0.00,0.71,1.55,0,0,0,0,0

4,00:45-01:00,121.902020,16.552026,432.349566,0.000000,0.000000,34.351375,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,51.057792,5.800944,2.351036,21.380065,0.000000,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.646693,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.749710,3.413168,0.000000,0.000000,9.988876,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.72,2.10,1.21,0.23,0.00,0.71,1.55,0,0,0,0,0

5,01:00-01:15,121.902020,16.552026,437.686598,0.000000,0.000000,33.382780,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,51.057792,5.800944,2.351036,21.380065,0.000000,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.646693,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.749710,3.413168,0.000000,0.000000,9.526406,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.67,2.10,2.04,0.23,0.00,0.82,1.55,0,0,0,0,0

6,01:15-01:30,121.902020,16.552026,437.686598,0.000000,0.000000,33.382780,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,0.000000,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.646693,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.749710,3.413168,0.000000,0.000000,8.785511,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.67,2.10,2.04,0.23,0.00,0.86,1.55,0,0,0,0,0

7,01:30-01:45,121.902020,16.552026,437.686598,0.000000,0.000000,33.382780,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,0.000000,51.937806,0.000000,0.000000,0.000000,27.073117,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.646693,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,7.633837,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.64,2.10,2.04,0.23,0.00,0.86,1.55,0,0,0,0,0

8,01:45-02:00,121.902020,16.552026,437.686598,0.000000,0.000000,33.382780,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,0.000000,51.937806,0.000000,0.000000,0.000000,13.536558,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.646693,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.64,2.10,2.04,0.23,0.00,0.86,1.55,0,0,0,0,0

9,02:00-02:15,121.902020,16.552026,437.686598,0.000000,0.000000,33.382780,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,3.345696,51.937806,0.000000,0.000000,0.000000,0.000000,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.646693,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.64,2.10,2.04,0.23,0.00,0.86,1.55,0,0,0,0,0

10,02:15-02:30,121.902020,16.552026,437.686598,0.000000,0.000000,33.382780,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,3.345696,51.937806,0.000000,0.000000,0.000000,0.000000,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.646693,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.64,2.10,2.04,0.23,0.00,0.86,1.55,0,0,0,0,0

11,02:30-02:45,121.902020,16.552026,437.686598,0.000000,0.000000,33.382780,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,3.345696,51.937806,0.000000,0.000000,0.000000,0.000000,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.932758,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,9.749964,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.64,2.10,2.54,0.23,0.00,0.86,1.55,0,0,0,0,0

12,02:45-03:00,121.902020,16.552026,437.686598,0.000000,0.000000,33.382780,90.877303,0.000000,16.789688,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,3.345696,51.937806,0.000000,0.000000,0.000000,0.000000,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,0.000000,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.64,2.10,2.78,0.23,0.00,0.86,1.55,0,0,0,0,0

13,03:00-03:15,121.902020,16.552026,441.016354,0.000000,0.381296,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,3.345696,51.937806,0.000000,0.000000,0.000000,0.000000,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,19.728169,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.64,2.10,2.78,0.23,0.00,0.78,1.55,0,0,0,0,0

14,03:15-03:30,121.902020,16.552026,441.016354,0.000000,0.381296,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,3.345696,51.937806,0.000000,0.000000,0.000000,0.000000,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,19.728169,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,10.474685,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.64,2.10,2.78,0.23,0.00,0.78,1.55,0,0,0,0,0

15,03:30-03:45,121.902020,16.552026,438.906289,0.000000,0.381296,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,3.345696,51.937806,0.000000,0.000000,0.000000,0.000000,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,19.728169,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.64,2.10,2.78,0.23,0.00,0.77,1.55,0,0,0,0,0

16,03:45-04:00,121.902020,16.552026,438.906289,0.000000,0.374488,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,21.380065,3.345696,51.937806,0.000000,0.000000,0.000000,0.000000,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,332.089545,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,25.975960,0.000000,0.000000,19.432247,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,10.648906,1.279076,2.691439,1.78,0.84,1.92,1.87,0.00,3.64,0.00,0.16,7.50,1.64,2.10,2.78,0.23,0.00,0.77,1.55,0,0,0,0,0

17,04:00-04:15,121.902020,16.552026,366.643789,0.000000,0.381296,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,17.820029,3.345696,51.937806,0.000000,0.000000,0.000000,0.000000,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,330.447067,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,22.031969,0.000000,0.000000,19.728169,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.04,3.64,0.00,0.16,7.50,1.64,2.10,3.11,0.23,0.00,0.76,1.55,0,0,0,0,0

