Block,Time,L_NR_2019_19,L_NR_2018_61,LT-35,L_NR_2019_06,L_NR_2019_05,LT-31,L_NR_2020_05,L_NR_2020_06,SH-06,L_NR_2020_02,L_NR_2021_15,L_NR_2020_07,L_NR_2023_04,L_NR_2012_02,L_NR_2022_09,L_NR_2021_12,L_NR_2012_01,L_NR_2019_11,L_NR_2021_13,L_NR_2021_17,LT-36,L_NR_2012_04,L_NR_2023_07,SH-07,L_NR_2019_07,L_NR_2021_14,L_NR_2022_08,L_NR_2023_10,L_NR_2012_07,L_NR_2022_10,L_NR_2021_16,LT-05,LT-59
1,00:00-00:15,0,42.42,0.000000,0,0,0.000000,91.38,30.46,31.050000,7.460000,0,30.46,29.960000,262.310000,72.01,0,101.630000,8.260000,0,0,0.000000,272.870000,0,31.050000,0,0,26.48,0,74.390000,72.01,0,55.360000,8.970000

2,00:15-00:30,0,42.42,0.000000,0,0,0.000000,94.56,31.52,31.050000,7.460000,0,31.52,29.960000,262.310000,71.55,0,101.630000,8.260000,0,0,0.000000,272.870000,0,31.050000,0,0,27.56,0,74.390000,71.55,0,55.360000,8.970000

3,00:30-00:45,0,36.47,0.000000,0,0,0.000000,97.82,32.6,31.050000,7.460000,0,32.61,29.960000,262.310000,71.3,0,101.630000,8.260000,0,0,0.000000,272.870000,0,31.050000,0,0,28.52,0,74.390000,71.3,0,55.360000,8.970000

4,00:45-01:00,0,36.01,0.000000,0,0,0.000000,101.32,33.77,31.050000,7.460000,0,33.77,29.960000,262.310000,71.08,0,101.630000,8.260000,0,0,0.000000,272.870000,0,31.050000,0,0,29.35,0,74.390000,71.08,0,33.290000,8.970000

5,01:00-01:15,0,36.26,0.000000,0,0,0.000000,104.32,34.77,31.050000,7.460000,0,34.77,29.960000,231.270000,71.02,0,101.630000,8.100000,0,0,0.000000,272.870000,0,31.050000,0,0,29.32,0,53.360000,71.02,0,55.360000,8.970000

6,01:15-01:30,0,26.94,0.000000,0,0,0.000000,106.55,35.52,31.050000,7.460000,0,35.51,29.960000,202.160000,71,0,101.630000,8.100000,0,0,0.000000,272.870000,0,31.050000,0,0,29.95,0,44.170000,71,0,55.360000,8.970000

7,01:30-01:45,0,26.77,0.000000,0,0,0.000000,80.82,26.94,31.050000,7.460000,0,26.95,29.960000,202.160000,65.76,0,101.630000,8.100000,0,0,0.000000,272.870000,0,31.050000,0,0,23.41,0,44.170000,65.76,0,33.290000,8.350000

8,01:45-02:00,0,26.65,0.000000,0,0,0.000000,81.71,27.24,31.050000,7.460000,0,27.24,29.960000,202.160000,65.78,0,101.630000,8.100000,0,0,0.000000,272.870000,0,31.050000,0,0,23.66,0,44.170000,65.78,0,33.290000,8.350000

9,02:00-02:15,0,26.41,0.000000,0,0,0.000000,82.38,27.46,31.050000,7.330000,0,27.46,29.960000,202.160000,65.71,0,101.630000,8.100000,0,0,0.000000,272.870000,0,31.050000,0,0,23.85,0,44.170000,65.71,0,33.290000,8.350000

10,02:15-02:30,0,37.66,0.000000,0,0,0.000000,82.86,27.62,31.050000,7.330000,0,27.63,29.960000,202.160000,65.71,0,101.630000,8.100000,0,0,0.000000,272.870000,0,31.050000,0,0,24.11,0,44.170000,65.71,0,33.290000,8.350000

11,02:30-02:45,0,37.32,0.000000,0,0,0.000000,81.66,27.22,26.110000,7.330000,0,27.22,29.960000,202.160000,66.39,0,101.630000,8.100000,0,0,0.000000,272.870000,0,26.110000,0,0,24.15,0,44.170000,66.39,0,55.360000,8.350000

12,02:45-03:00,0,37.14,0.000000,0,0,0.000000,82.33,27.44,26.110000,7.330000,0,27.46,29.960000,202.160000,66.55,0,101.630000,8.100000,0,0,0.000000,272.870000,0,26.110000,0,0,24.18,0,44.170000,66.55,0,55.360000,8.350000

13,03:00-03:15,0,36.95,0.000000,0,0,0.000000,100.76,33.59,26.110000,7.330000,0,33.58,29.960000,202.160000,72.66,0,72.520000,7.870000,0,0,0.000000,272.870000,0,26.110000,0,0,29.18,0,44.170000,72.66,0,55.360000,8.200000

14,03:15-03:30,0,36.52,0.000000,0,0,0.000000,100.24,33.41,26.110000,7.330000,0,33.41,29.960000,202.160000,71.98,0,46.570000,7.870000,0,0,0.000000,272.870000,0,26.110000,0,0,28.84,0,44.170000,71.98,0,55.360000,8.200000

15,03:30-03:45,0,35.44,0.000000,0,0,0.000000,100.33,33.44,26.110000,7.330000,0,33.46,29.960000,165.590000,71.58,0,46.570000,7.870000,0,0,0.000000,272.870000,0,26.110000,0,0,28.45,0,33.940000,71.58,0,33.290000,8.200000

16,03:45-04:00,0,34.35,0.000000,0,0,0.000000,98.93,32.97,26.110000,7.330000,0,32.98,29.960000,165.590000,70.88,0,46.570000,7.870000,0,0,0.000000,272.870000,0,26.110000,0,0,28.01,0,33.940000,70.88,0,33.290000,8.200000

17,04:00-04:15,0,32.98,0.000000,0,0,0.000000,95.06,31.69,26.110000,7.230000,0,31.68,29.960000,165.590000,70.15,0,46.570000,7.870000,0,0,0.000000,272.870000,0,26.110000,0,0,27.49,0,33.940000,70.15,0,33.290000,7.800000

18,04:15-04:30,0,32.4,0.000000,0,0,0.000000,92.32,30.77,26.110000,7.230000,0,30.77,29.960000,165.590000,69.21,0,46.570000,7.870000,0,0,0.000000,272.870000,0,26.110000,0,0,27.15,0,33.940000,69.21,0,33.290000,7.800000

19,04:30-04:45,0,32.3,0.000000,0,0,0.000000,109.5,36.5,26.110000,6.910000,0,36.5,29.960000,165.590000,68.33,0,46.570000,7.870000,0,0,0.000000,272.870000,0,26.110000,0,0,26.56,0,33.940000,68.33,0,33.290000,7.800000

20,04:45-05:00,0,31.62,0.000000,0,0,0.000000,107.5,35.83,26.110000,6.910000,0,35.84,29.960000,165.590000,77.48,0,46.570000,7.870000,0,0,0.000000,272.870000,0,26.110000,0,0,32.66,0,33.940000,77.48,0,33.290000,7.800000

21,05:00-05:15,0,34.08,0.000000,0,0,0.000000,105,35,26.110000,6.810000,0,35,29.960000,202.160000,76.64,0,46.570000,7.560000,0,0,0.000000,272.870000,0,26.110000,0,0,32.03,0,44.170000,76.64,0,56.590000,7.720000

22,05:15-05:30,0,34.47,0.000000,0,0,0.000000,102.5,34.17,26.110000,6.810000,0,34.16,29.960000,202.160000,75.79,0,46.570000,7.560000,0,0,0.000000,272.870000,0,26.110000,0,0,31.54,0,44.170000,75.79,0,56.590000,7.720000

23,05:30-05:45,0,34.66,0.000000,0,0,0.000000,100,33.33,26.110000,6.810000,0,33.34,29.960000,202.160000,74.94,0,46.570000,7.560000,0,0,0.000000,272.870000,0,26.110000,0,0,31.22,0,44.170000,74.94,0,56.590000,7.020000

24,05:45-06:00,0,24.41,0.000000,0,0,0.000000,98,32.67,26.110000,6.810000,0,32.65,29.960000,202.160000,75.33,0,75.680000,7.560000,0,0,0.000000,272.870000,0,26.110000,0,0,29.92,0,53.360000,75.33,0,56.590000,7.020000

