Column1,Block,NR/2025/33550/C,NR/2025/33541/C,NR/2025/33552/C,NR/2025/33556/C,NR/2025/33559/C,NR/2025/33539/C,GNA/NR/2025/08/01/6209,NR/2025/32397/A/96266,NR/2025/29992/A/96400,NR/2025/32004/A/96706,NR/2025/31421/A/96838,NR/2025/31041/A/96799,NR/2025/32375/A/96831,NR/2025/31042/A/96800,NR/2025/32554/A/96737,NR/2025/32598/A/96822,NR/2025/29440/A/96339,NR/2025/33233/A/96818,NR/2025/32610/A/96701,NR/2025/32556/A/96703,NR/2025/31046/A/96802,NR/2025/32455/A/96882,NR/2025/31047/A/96801,NR/2025/32559/A/96702,NR/2025/32262/A/96357,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6475,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/2414,NR/2025/33502/C,NR/2025/32653/A/96570,NR/2025/32652/A/96567,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/96773,NR/2025/32535/A/96776,NR/2025/32599/A/96416,NR/2025/32534/A/96774,NR/2025/32857/A/96590,NR/2025/32535/A/96777,NR/2025/33487/C,NR/2025/32532/A/96772,NR/2025/33503/C,NR/2025/32534/A/96775,NR/2025/33449/C,NR/2025/33465/C,NR/2025/33536/C,NR/2025/33537/C,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/1196,Total
,,APPCPL,NVVNL,APPCPL,APPCPL,APPCPL,MES_Delhi,MANIKARAN,IEXL,BYPL,APPCPL,NVVNL,PowerPulse,NVVNL,PowerPulse,PowerPulse,PTC,ITCLH,PTC,APPCPL,APPCPL,PowerPulse,MANIKARAN,PowerPulse,APPCPL,TPTCL,DELHI,NDMC,APPCPL,BAWANA_GAS,MANIKARAN,PUNJAB,NDMC,MANIKARAN,NVVNL,MANIKARAN,PowerPulse,GMRETL,GMRETL,SECI_Trader,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,BRPL,OIDLWM2_AEROCITY,GMRETL,OIDLWM3_AEROCITY,PowerPulse,ABLWM1_AEROCITY,PowerPulse,OIDLWM2_AEROCITY,BYPL,DIAPL,NVVNL,NVVNL,PowerPulse,NDMC,APPCPL,
,,MSEB_State,NA,NA,NA,NA,NA,NA,MSEB_State,KERALA_State,MSEB_State,NA,NA,MP_State,NA,NA,GoHP_NJPC_STATE,ANDHRA_PRADESH_STATE,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,NA,MSEB_State,HIMACHAL_STATE,NA,GOA_State,DELHI_UT,MSEB_State,DELHI_UT,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KERALA_State,HIMACHAL_STATE,MP_State,NA,MSEB_State,NA,GOA_State,
,,AEML,Kameng,RKM_POWER,JPL2,RKM_POWER,NTPCREL_PSS2_KPS2_S,MBMP,A_A_Energy_MH_Bio,KSEB,AEML,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,JP_BINA,MAHAN_ENERGEN,APL_Raipur_TPP,GoHP_NJPC,ITCWIND,GoHP_NJPC,RKM_POWER,JPL2,APL_Raigarh_TPP,MBMP,APL_Raigarh_TPP,RKM_POWER,TPC_MSEB,CHANJUII,SKS_Raigarh,GOA_Beneficiary,BAWANA_GAS,AEML,BAWANA_GAS,TRN_ENERGY,BLAPOWER_MP,JHABUA_IPP,DBPL,MAHAN_ENERGEN,JGCPL_BKN2,JGCPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TESPL_BKN2,TS1PL_BKN,TESPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,APL_Raipur_TPP,TESPL_BKN2,APL_Raigarh_TPP,TCSPL_BKN2,KSEB,GBHHPL,JP_BINA,JPNIGRIE_JNSTPP,Vidarbha_Industry_MH,JIPL,GOA_Beneficiary,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BYPL,TPDDL,NDMC,NDMC,NDMC,MES_Delhi,BRPL,MES_Delhi,BYPL,BYPL,TPDDL,TPDDL,TPDDL,TPDDL,BRPL,BRPL,ITCLH,BRPL,NDMC,NDMC,TPDDL,BRPL,TPDDL,NDMC,BYPL,TPDDL,NDMC,BRPL,HARYANA,BRPL,PUNJAB,NDMC,BRPL,BRPL,BRPL,TPDDL,DTCP,BLKMH,TPDDL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,BRPL,OIDLWM2_AEROCITY,MAX_HPTL,OIDLWM3_AEROCITY,BRPL,ABLWM1_AEROCITY,TPDDL,OIDLWM2_AEROCITY,BYPL,DIAPL,TPDDL,TPDDL,BRPL,NDMC,BRPL,
,,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,North-North,South-West-North,North-North,West-North,West-North,West-North,East-North,West-North,
1,00:00-00:15,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.87,14.45,26.27,26.27,96.35,48.18,0,26.27,54.2,19.37,8.76,15.27,0,20.79,32,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,12.57,19.27,1474.9699999999993

2,00:15-00:30,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.87,14.45,26.27,26.27,96.35,48.18,0,26.27,54.2,19.37,8.76,15.27,0,20.79,32,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,13.6,19.27,1475.9999999999993

