Time,Block,NR/2023/18083/C,WR/2023/20254/A/1285,NR/2023/17901/A/1243,NR/2023/17905/A/1233,WR/2023/18560/A,NR/2023/16187/A,WR/2023/18560/A/II,WR/2023/20256/A/1287,NR/2023/17064/A,NR/2023/18082/C,NR/2023/18085/C,Total
,,TPDDL,APPCPL,ITCLH,IEXL,MANIKARAN,APPCPL,MANIKARAN,MANIKARAN,GMRETL,NVVNL,SJVNL,Total

,,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,NA,NA,
,,CHANJUII,BRPL,ITCWIND,BSHP,BYPL,BYPL,BYPL,BRPL,BYPL,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,GOA,DELHI,DELHI,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,GOA,RAJASTHAN,DELHI,DELHI,
,,TPDDL,GOA_Beneficiary,ITCLH,MES (Delhi),AEML,HP,AEML,GOA_Beneficiary,RUVNL,MES (Delhi),NDMC,
,,North-North,North-West,South-West-North,North-North,North-West,North-North,North-East-West,North-West,North-North,West-North,North-North,
1,00:00-00:15,2.570000,0.000000,0.480000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.15

2,00:15-00:30,2.570000,0.000000,0.480000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.15

3,00:30-00:45,2.570000,0.000000,0.480000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.15

4,00:45-01:00,2.570000,0.000000,0.480000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.15

5,01:00-01:15,2.570000,0.000000,0.480000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.15

6,01:15-01:30,2.570000,0.000000,0.480000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.15

7,01:30-01:45,2.570000,0.000000,0.480000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.15

8,01:45-02:00,2.570000,0.000000,0.480000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.15

9,02:00-02:15,2.570000,0.000000,0.430000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.1

10,02:15-02:30,2.570000,0.000000,0.430000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.1

11,02:30-02:45,2.570000,0.000000,0.430000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.1

12,02:45-03:00,2.570000,0.000000,0.430000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.1

13,03:00-03:15,2.570000,0.000000,0.430000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.1

14,03:15-03:30,2.570000,0.000000,0.430000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.1

15,03:30-03:45,2.570000,0.000000,0.430000,1.930000,100.000000,34.170000,0.000000,0.000000,0.000000,0,0,139.1

