Time,Block,NR/2023/14217/D,NR/2023/11266/A,NR/2023/11953/A,NR/2023/13679/F,NR/2023/12916/F,NR/2023/12872/F,NR/2023/12922/F,NR/2023/12915/F,NR/2023/10651/A,NR/2023/14230/C,NR/2023/10460/A,NR/2023/10956/A,NR/2023/14223/C,NR/2023/10561/A,NR/2023/11068/A,NR/2023/10959/A,NR/2023/13369/F,NR/2023/14218/D,NR/2023/12921/F,NR/2023/12661/A,NR/2023/10436/A,NR/2023/11709/A,NR/2023/10435/A,NR/2023/12917/F,NR/2023/10947/A,NR/2023/14238/C,NR/2023/10786/A,NR/2023/10720/A,NR/2023/12919/F,NR/2023/12924/F,NR/2023/10432/A,NR/2023/12813/F,NR/2023/12169/A,NR/2023/12923/F,NR/2023/13985/F,NR/2023/10650/A,NR/2023/11712/A,NR/2023/12814/F,NR/2023/10705/A,NR/2023/10488/A,NR/2023/14212/D,NR/2023/11507/A,NR/2023/12706/A,NR/2023/14215/D,NR/2023/14245/C,NR/2023/12920/F,NR/2023/14220/D,NR/2023/14219/D,Total
,,KEIPL,TPTCL,KEIPL,IEXL,SHPPBPL,ITCLH,SHPPBPL,SHPPBPL,KEIPL,TPDDL,GMRETL,NVVNL,GBHHPL,PTC,APPCPL,NVVNL,SJVNL,NVVNL,SHPPBPL,NVVNL,APPCPL,MANIKARAN,NVVNL,SHPPBPL,APPCPL,PXIL,STATKRAFT,KEIPL,SHPPBPL,SHPPBPL,TPTCL,MANIKARAN,APPCPL,SHPPBPL,GMRETL,KEIPL,MANIKARAN,MANIKARAN,KEIPL,TPTCL,NVVNL,TPTCL,HPXL,NVVNL,HPXL,SHPPBPL,TS1PL_BKN,TS1PL_BKN,Total

,,UTTAR PRADESH,NA,MEGHALAYA,JAMMU AND KASHMIR,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,NA,UTTARAKHAND,NA,WEST BENGAL,NA,HIMACHAL PRADESH,NA,MEGHALAYA,TAMIL NADU,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,TAMIL NADU,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,ODISHA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,GOA,KERALA,TAMIL NADU,HIMACHAL PRADESH,KERALA,NA,NA,NA,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,NA,NA,
,,LAPL-UP,KWHEP,Meghalaya_Ben,SAPU1234,SHPPBPL,ITCWIND,SHPPBPL,SHPPBPL,Meghalaya_Ben,CHANJUII,Meghalaya_Ben,JPNIGRIE_JNSTPP,GBHHPL,JPNIGRIE_JNSTPP,UTTARAKHAND,KAMENG,IPCL_WB,SOLAPUR_SOLAR,SHPPBPL,SKS Raigarh,Meghalaya_Ben,TANGEDCO,SEIL,SHPPBPL,HP,BYPL,TANGEDCO,TANGEDCO,SHPPBPL,SHPPBPL,NBVLIPP,HP,HP,SHPPBPL,GOA_Beneficiary,KSEB,TANGEDCO,HP,KSEB,APNRL,SORANG_HEP,JPL,B_S_ISPAT_MH,KAMENG,Teesta_III,SHPPBPL,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,BYPL,MES (Delhi),BAL224,ITCLH,JHPL-DL,BAL184,BYPL,TPDDL,BYPL,BRPL,DIAPL,TPDDL,BYPL,BRPL,NDMC,MES (Delhi),MAX-HPTL,NDMC,BYPL,BRPL,TPDDL,BAL234,BYPL,ASIL_UP,BYPL,BYPL,AISHER,UHL,TPDDL,BRPL,BRPL,MHIL,TPDDL,BYPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,BRPL,NDMC,TPDDL,BRPL,BMDRC,BRPL,BYPL,
,,North-North,North-North,North East-East-North,North-North,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,North East-East-North,West-North,North-North,West-North,North-North,North East-East-North,East-North,West-North,North-North,West-North,North East-East-North,South-West-North,South-West-North,North-North,North-North,North-North,South-West-North,South-West-North,North-North,North-North,East-North,North-North,North-North,North-North,West-North,South-West-North,South-West-North,North-North,South-West-North,East-North,North-North,West-North,West-North,North East-East-North,East-North,North-North,North-North,North-North,
1,00:00-00:15,38.720000,63.620000,36.520000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.68

2,00:15-00:30,38.720000,63.620000,36.520000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.68
