Block,Time,JHAJJAR,CHAMERA1,DULHASTI,URI2,CHAMERA3,DADRI_LF,TANAKPUR,TANDA2,SEWA2,RAPPB,PARBATI3,DADRI_CRF,KOLDAM,DADRI_RF,ANTA_LF,SALAL,KOTESHWR,DADRI_GF,ANTA_GF,CHAMERA2,RAPPC,DHAULIGNGA,AURY_CRF,SINGRAULI_HYDRO,UNCHAHAR2,AURY_GF,ANTA_RF,KISHANGANGA,AURY_LF,RIHAND3,SINGRAULI,RAMPUR,UNCHAHAR4,RIHAND1,TEHRI,ANTA_CRF,UNCHAHAR1,DADRT2,NAPP,NJPC,URI,UNCHAHAR3,RIHAND2,BSIUL,AURY_RF,KUDGI,BRBCL,TALA,SASAN,KHSTPP-I,FSTPP I & II,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,608.695916,0.000000,47.849643,5.208076,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,23.618696,8.589145,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,33.033457,0.000000,32.521440,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,47.550991,0.000000,0.000000,0.000000,63.068364,9.68,18.543282,21.342195,337.772902,40.535652,11.016883,142.780373,0,0,0,0,0

2,00:15-00:30,632.182634,0.000000,47.849643,10.416153,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,23.618696,8.589145,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,39.423630,0.000000,32.521440,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,47.550991,0.000000,0.000000,0.000000,63.068364,9.68,17.339286,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

3,00:30-00:45,632.183982,0.000000,47.849643,23.957151,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,23.618696,0.000000,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,41.029378,0.000000,32.521440,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,10.685616,0.000000,0.000000,0.000000,63.068364,9.68,15.198850,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

4,00:45-01:00,632.183982,0.000000,47.849643,23.957151,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,23.618696,0.000000,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,41.029378,0.000000,25.407375,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,8.548493,0.000000,0.000000,0.000000,63.068364,9.68,15.044088,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

5,01:00-01:15,632.183982,0.000000,47.849643,23.957151,0.000000,0.000000,12.683971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,23.618696,0.000000,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,32.521440,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,8.548493,0.000000,0.000000,0.000000,63.068364,9.68,15.888318,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

6,01:15-01:30,632.183982,0.000000,47.849643,23.957151,0.000000,0.000000,12.683971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,23.618696,0.000000,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,32.521440,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,8.548493,0.000000,0.000000,0.000000,63.068364,9.68,18.077987,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

7,01:30-01:45,632.183982,0.000000,47.849643,10.416153,0.000000,0.000000,12.683971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,34.865694,0.000000,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,32.521440,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,8.548493,1.503754,0.000000,0.000000,63.068364,9.68,18.791869,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

8,01:45-02:00,632.183982,0.000000,47.849643,5.208076,0.000000,0.000000,12.683971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,76.828243,0.000000,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,32.521440,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,10.685616,3.508758,0.000000,0.000000,63.068364,9.68,18.443100,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

9,02:00-02:15,632.183982,0.000000,47.849643,5.208076,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,76.828243,0.000000,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,32.521440,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,10.685616,5.123901,0.000000,0.000000,63.068364,0.00,17.892454,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

10,02:15-02:30,632.183982,0.000000,47.849643,5.208076,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,76.828243,0.000000,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,32.521440,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,10.685616,5.346680,0.000000,0.000000,63.068364,0.00,17.582930,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

11,02:30-02:45,632.183982,0.000000,47.849643,5.208076,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.378925,0.000000,76.828243,0.000000,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,13.163440,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,10.685616,7.128906,0.000000,0.000000,31.127664,0.00,18.586562,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

12,02:45-03:00,632.183982,0.000000,47.849643,5.208076,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.117225,0.000000,50.611491,0.000000,0.000000,0.000000,0.000000,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,9.977597,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,10.685616,8.020019,0.000000,0.000000,19.349386,0.00,18.729217,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

13,03:00-03:15,632.183982,0.000000,47.849643,5.208076,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.465425,0.000000,34.865694,8.589145,0.000000,0.000000,11.611896,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,0.000000,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,10.685616,9.802246,0.000000,6.311482,0.000000,0.00,18.465900,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

14,03:15-03:30,632.183982,0.000000,47.849643,5.208076,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.865694,8.589145,0.000000,0.000000,11.611896,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,0.000000,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,10.685616,10.693359,0.000000,6.311482,0.000000,0.00,19.357951,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

15,03:30-03:45,632.183982,0.000000,47.849643,5.208076,0.000000,0.000000,11.406895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.865694,8.589145,0.000000,0.000000,11.611896,24.933782,8.822312,0.000000,0.759153,24.369302,0.000000,0.000000,0.000000,0.000000,119.695958,99.814688,0.000000,0.000000,89.046800,0.000000,0.000000,19.343482,661.207878,38.867767,38.497255,10.685616,12.475585,0.000000,6.311482,0.000000,0.00,19.357951,21.342195,337.772902,40.535652,11.032124,142.780373,0,0,0,0,0

