Block,Time Block,AURY_CRF,ANTA_CRF,DADRI_CRF,ANTA_RF,AURY_RF,ANTA_LF,DADRI_RF,AURY_LF,DADRI_LF,AURY_GF,ANTA_GF,DADRI_GF,NLCTS2EXP,PARBATI3,RIHAND3,RIHAND1,NNTPP,RAPPC,NTPL,RAPPB,NLCIIST1,NLCIIST2,RAMPUR,RIHAND2,NJPC,NLCEXP,NAPP,SEWA2,SIMHST2,SINGRAULI_HYDRO,TelanganaSTPP,SASAN,SINGRAULI,TANDA2,TEHRI,TALST2,SIMHST1,TALA,TANAKPUR,RSTPSU1TO6,RSTPSU7,SALAL,UNCHAHAR4,UNCHAHAR1,URI,URI2,UNCHAHAR2,VALLURNTECL,UNCHAHAR3,KHSTPP-I,KKNP,KISHANGANGA,KHSTPP-II,KKNPPU2,KOTESHWR,KOLDAM,KGSU3AND4,KUDGI,MAPS,KGSU1AND2,JHAJJAR,BRBCL,DHAULIGNGA,BSIUL,CHAMERA1,CHAMERA2,DULHASTI,FSTPP I & II,DADRT2,CHAMERA3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.59,88.49,0,51.03,0,0,0,0,0,114.24,0,0,41.71,0,0,0.7,0,402.81,100.18,0,0,0,0,0,0,0,0,12.85,0,9.06,32.93,31.96,40.77,0,25.39,44.08,0,0,142.65,0,6.17,0,0,0,0,0,535.47,17.76,0,12.54,0,0,15.85,15.38,542.13,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.59,88.49,0,51.03,0,0,0,0,0,114.24,0,0,41.71,0,0,0.7,0,402.81,100.18,0,0,0,0,0,0,0,0,12.85,0,9.06,32.93,31.96,40.77,0,25.39,44.08,0,0,142.65,0,6.17,0,0,0,0,0,501.21,16.26,0,12.54,0,0,15.85,15.38,652.97,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.59,88.49,0,51.03,0,0,0,0,0,114.24,0,0,41.71,0,0,0.7,0,402.81,100.18,0,0,0,0,0,0,0,0,15.65,0,9.06,32.93,31.96,40.77,0,25.39,44.08,0,0,142.65,0,6.17,0,0,0,0,0,501.21,14.01,0,12.54,0,0,15.85,15.38,657.11,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.59,88.49,0,51.03,0,0,0,0,0,114.24,0,0,41.71,0,0,0.7,0,402.81,100.18,0,0,0,0,0,0,0,0,68.18,0,9.06,32.93,31.96,40.77,0,25.39,44.08,0,0,142.65,0,6.17,0,0,0,0,0,501.21,13.71,0,12.54,0,0,15.85,15.38,657.11,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.59,88.49,0,51.03,0,0,0,0,0,114.24,0,0,41.71,0,0,0.7,0,402.81,100.18,0,0,0,0,0,0,0,0,68.18,0,9.06,32.93,31.96,40.77,0,25.39,44.08,0,0,142.65,0,6.17,0,0,0,0,0,507.68,13.72,0,12.54,0,0,15.85,15.38,657.11,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.59,88.49,0,51.03,0,0,0,0,0,114.24,0,0,41.71,4.87,0,0.7,0,402.81,100.18,0,0,0,0,0,0,0,0,68.18,0,9.06,32.93,31.96,40.77,0,25.39,44.08,0,0,142.65,0,6.17,0,0,0,0,0,507.68,11.68,0,12.54,0,0,15.85,15.38,657.11,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.59,88.49,0,51.03,0,0,0,0,0,114.24,0,0,41.71,4.87,0,0.7,0,402.81,100.18,0,0,0,0,0,0,0,0,68.18,0,10.76,32.93,31.96,40.77,0,25.39,44.08,0,0,142.65,0,6.17,0,0,0,0,0,473.43,10.27,0,12.54,0,0,15.85,15.38,587.76,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.59,88.49,0,51.03,0,0,0,0,0,114.24,0,0,41.71,4.87,0,0.7,0,402.81,100.18,0,0,0,0,0,0,0,0,68.18,0,10.98,32.93,31.96,40.77,0,25.39,44.08,0,0,142.65,0,6.17,0,0,0,0,0,473.43,10.88,0,12.54,0,0,15.85,15.38,586.74,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.59,88.49,0,51.03,0,0,0,0,0,114.24,0,0,41.71,4.87,0,0.7,0,402.81,100.18,0,0,0,0,0,0,0,0,68.18,0,7.69,32.93,31.96,33.3,0,21.04,44.08,0,0,142.65,0,6.17,0,0,0,0,0,473.43,12.55,0,12.54,0,0,15.85,15.38,519.77,0,0,0,0,0,0

