Block,Time Block,BRBCL,CHAMERA2,CHAMERA1,BSIUL,NAPP,KUDGI,NLCEXP,MAPS,NLCIIST1,NJPC,NLCIIST2,KOTESHWR,KOLDAM,KKNPPU2,DULHASTI,DADRT2,JHAJJAR,CHAMERA3,DHAULIGNGA,FSTPP I & II,KGSU1AND2,KISHANGANGA,KGSU3AND4,KHSTPP-I,KHSTPP-II,KKNP,DADRI_RF,AURY_RF,URI2,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,DADRI_LF,URI,ANTA_LF,AURY_GF,DADRI_CRF,UNCHAHAR4,VALLURNTECL,ANTA_GF,AURY_CRF,RAPPC,RIHAND2,TALA,SASAN,RIHAND1,RAPPB,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPD,RSTPSU7,SINGRAULI,SALAL,SEWA2,RIHAND3,TEHRI,TelanganaSTPP,UNCHAHAR1,TANDA2,UNCHAHAR3,TALST2,UNCHAHAR2,TANAKPUR,TEHRIPSP,NTPL,PARBATI3,PARBATI2,RAMPUR,NNTPP,NLCTS2EXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.04,0,40.55,0,23.31,0,0,0,0,169.14,0,43.37,8.3,0,36.87,187.75,349.84,0,40.85,13.82,0,6.71,0,43.8,126.8,0,0,0,35.99,0,0,0,0,0,17,0,0,0,2.53,0,0,0,63.27,120.52,12.58,324.71,45.5,0,0,0,0,0,37.56,0,107.56,67.08,18.3,125.88,79.24,0,15.34,5.34,21.61,0,34.14,12.61,100.04,0,52.93,24.72,5.46,0,0,0,0,0,0,0

2,00:15-00:30,18.04,0,40.55,0,23.31,0,0,0,0,169.14,0,43.37,8.3,0,36.87,139.65,292.11,0,40.85,13.82,0,6.71,0,43.8,126.8,0,0,0,35.99,0,0,0,0,0,17,0,0,0,1.46,0,0,0,63.27,120.52,12.58,324.71,45.5,0,0,0,0,0,37.56,0,107.56,67.08,18.3,125.88,79.24,0,14.48,5.34,18.77,0,30.59,12.61,100.04,0,52.93,24.72,5.46,0,0,0,0,0,0,0

3,00:30-00:45,18.04,0,40.55,0,23.31,0,0,0,0,169.14,0,43.37,8.3,0,36.87,101.16,241.12,0,40.85,13.82,0,6.71,0,43.8,126.8,0,0,0,35.99,0,0,0,0,0,17,0,0,0,1.46,0,0,0,63.27,120.52,12.58,324.71,45.5,0,0,0,0,0,37.56,0,107.56,67.08,18.3,125.88,79.24,0,14.48,5.34,18.77,0,30.59,12.61,100.04,0,52.93,24.72,5.46,0,0,0,0,0,0,0

4,00:45-01:00,18.04,0,40.55,0,23.31,0,0,0,0,169.14,0,43.37,8.3,0,36.87,101.16,241.12,0,40.85,13.82,0,6.71,0,43.8,126.8,0,0,0,35.99,0,0,0,0,0,17,0,0,0,1.46,0,0,0,63.27,120.52,12.58,324.71,45.5,0,0,0,0,0,37.56,0,107.56,67.08,18.3,125.88,79.24,0,14.48,5.34,18.77,0,30.59,12.61,100.04,0,52.93,24.72,5.46,0,0,0,0,0,0,0

5,01:00-01:15,18.04,0,40.55,0,23.31,0,0,0,0,169.14,0,43.37,8.3,0,36.87,101.16,241.12,0,40.85,13.82,0,6.71,0,43.8,126.8,0,0,0,35.99,0,0,0,0,0,17,0,0,0,1.46,0,0,0,63.27,120.52,12.58,324.71,45.5,0,0,0,0,0,37.56,0,107.56,67.08,18.3,125.88,79.24,0,14.48,5.34,18.77,0,30.59,12.61,100.04,0,52.93,24.72,5.46,0,0,0,0,0,0,0

