Time,Block,NR/2023/10947/A,NR/2023/13970/D,NR/2023/12169/A,NR/2023/13964/D,NR/2023/13997/C,NR/2023/13369/F,NR/2023/13679/F,NR/2023/10959/A,NR/2023/10432/A,WR/2023/16529/C,NR/2023/13968/D,NR/2023/13984/C,NR/2023/12814/F,NR/2023/12923/F,NR/2023/10956/A,NR/2023/10488/A,NR/2023/10786/A,NR/2023/12813/F,NR/2023/13053/F,NR/2023/10705/A,NR/2023/10650/A,NR/2023/11953/A,NR/2023/13990/C,NR/2023/10435/A,NR/2023/10460/A,NR/2023/12872/F,NR/2023/13971/D,NR/2023/10436/A,NR/2023/10651/A,NR/2023/12921/F,NR/2023/11507/A,NR/2023/14009/C,NR/2023/11709/A,NR/2023/10720/A,ER/2023/8620/C,NR/2023/10561/A,NR/2023/13969/D,NR/2023/12924/F,NR/2023/12915/F,NR/2023/11266/A,NR/2023/12916/F,NR/2023/13053/F/II,NR/2023/12919/F,NR/2023/12706/A,NR/2023/11712/A,NR/2023/12920/F,NR/2023/12661/A,NR/2023/11068/A,NR/2023/14008/C,NR/2023/12922/F,NR/2023/12917/F,Total
,,APPCPL,NVVNL,APPCPL,NVVNL,HPXL,SJVNL,IEXL,NVVNL,TPTCL,HPXL,KEIPL,GBHHPL,MANIKARAN,SHPPBPL,NVVNL,TPTCL,STATKRAFT,MANIKARAN,GMRETL,KEIPL,KEIPL,KEIPL,TPDDL,NVVNL,GMRETL,ITCLH,TS1PL_BKN,APPCPL,KEIPL,SHPPBPL,TPTCL,IEXL,MANIKARAN,KEIPL,HPXL,PTC,TS1PL_BKN,SHPPBPL,SHPPBPL,TPTCL,SHPPBPL,GMRETL,SHPPBPL,HPXL,MANIKARAN,SHPPBPL,NVVNL,APPCPL,IEXL,SHPPBPL,SHPPBPL,Total

,,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,WEST BENGAL,JAMMU AND KASHMIR,NA,ODISHA,DELHI,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,TAMIL NADU,HIMACHAL PRADESH,NA,KERALA,KERALA,MEGHALAYA,HIMACHAL PRADESH,NA,MEGHALAYA,ANDHRA PRADESH,NA,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,TAMIL NADU,TAMIL NADU,DELHI,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,NA,UTTARAKHAND,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,
,,HP,KAMENG,HP,SOLAPUR_SOLAR,Teesta_III,IPCL_WB,SAPU1234,KAMENG,NBVLIPP,BYPL,LAPL-UP,GBHHPL,HP,SHPPBPL,JPNIGRIE_JNSTPP,APNRL,TANGEDCO,HP,GMR WARORA,KSEB,KSEB,Meghalaya_Ben,CHANJUII,SEIL,Meghalaya_Ben,ITCWIND,TS1PL_BKN,Meghalaya_Ben,Meghalaya_Ben,SHPPBPL,JPL,SIMHAPURI,TANGEDCO,TANGEDCO,BYPL,JPNIGRIE_JNSTPP,TS1PL_BKN,SHPPBPL,SHPPBPL,KWHEP,SHPPBPL,GMR WARORA,SHPPBPL,B_S_ISPAT_MH,TANGEDCO,SHPPBPL,SKS Raigarh,UTTARAKHAND,MALANA,SHPPBPL,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,BALCO_WR,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,TPDDL,BRPL,MES (Delhi),BRPL,NDMC,MES (Delhi),BRPL,TPDDL,BALCO_LOAD,BYPL,DIAPL,BRPL,MHIL,BRPL,TPDDL,BYPL,BRPL,TPDDL,BRPL,BYPL,BYPL,TPDDL,TPDDL,BYPL,ITCLH,BYPL,BYPL,BYPL,MAX-HPTL,BRPL,BRPL,BRPL,BYPL,VL-CPP 1215,TPDDL,BRPL,UHL,BAL184,BRPL,BAL224,TPDDL,AISHER,NDMC,BRPL,BMDRC,NDMC,BYPL,BRPL,JHPL-DL,BAL234,
,,North-North,North East-East-North,North-North,West-North,East-North,East-North,North-North,North East-East-North,East-North,North-West,North-North,North-North,North-North,North-North,West-North,East-North,South-West-North,North-North,West-North,South-West-North,South-West-North,North East-East-North,North-North,South-West-North,North East-East-North,South-West-North,North-North,North East-East-North,North East-East-North,North-North,West-North,South-West-North,South-West-North,South-West-North,North-East,West-North,North-North,North-North,North-North,North-North,North-North,West-East-North,North-North,West-North,South-West-North,North-North,West-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,13.320000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,10.880000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,1892.27

2,00:15-00:30,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,13.320000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,10.880000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,1892.27
