Block,Time,DADRI_GF,JHAJJAR,DHAULIGNGA,UNCHAHAR4,RIHAND1,RAMPUR,FSTPP I & II,BRBCL,SASAN,TALA,KHSTPP-II,KHSTPP-I,SINGRAULI,UNCHAHAR2,TANAKPUR,NJPC,SEWA2,CHAMERA2,ANTA_CRF,CHAMERA1,URI2,SINGRAULI_HYDRO,KOTESHWR,BSIUL,ANTA_LF,UNCHAHAR3,DULHASTI,AURY_CRF,ANTA_RF,DADRI_LF,AURY_LF,AURY_GF,KOLDAM,NAPP,PARBATI3,TEHRI,CHAMERA3,TANDA2,RIHAND2,RAPPC,DADRI_CRF,UNCHAHAR1,RIHAND3,RAPPB,DADRT2,KISHANGANGA,SALAL,DADRI_RF,ANTA_GF,URI,AURY_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,9.581373,14.419524,402.563601,0.000000,99.805965,21.421801,118.600388,24.626295,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.958789,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,1.340437,0.000000,0.000000,38.205907,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.419524,402.563601,0.000000,97.851496,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.958789,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,1.340437,0.000000,0.000000,38.205907,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.419524,402.563601,0.000000,97.851496,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,1.340437,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.419524,402.563601,0.000000,111.309696,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,1.340437,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.419524,402.563601,0.000000,111.309696,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,1.340437,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,13.153187,402.563601,0.000000,111.309696,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,1.340437,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.415389,402.563601,0.000000,111.309696,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,6.465704,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,1.340437,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

8,01:45-02:00,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.265732,402.563601,0.000000,104.580596,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,6.465704,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,1.340437,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

9,02:00-02:15,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.419524,402.563601,0.000000,83.633100,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,6.465704,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,12.287337,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

10,02:15-02:30,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.123034,402.563601,0.000000,49.987600,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,6.465704,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,68.138867,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

11,02:30-02:45,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.371823,402.563601,0.000000,49.987600,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,6.465704,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,68.138867,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

12,02:45-03:00,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.419524,402.563601,0.000000,49.987600,21.421801,118.600388,13.458200,2.216566,0.000000,0.000000,0.000000,0.000000,0.000000,6.465704,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,68.138867,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

13,03:00-03:15,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.419524,402.563601,0.000000,49.987600,21.421801,118.600388,13.458200,8.004264,0.000000,0.000000,0.000000,0.000000,0.000000,6.465704,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,68.138867,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

14,03:15-03:30,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.419524,402.563601,0.000000,83.633100,21.421801,118.600388,13.458200,8.004264,0.000000,0.000000,0.000000,0.000000,0.000000,6.465704,0.570080,0.000000,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,1.340437,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

15,03:30-03:45,0.000000,112.472100,0.000000,0.000000,88.439600,0.000000,4.806500,14.419524,402.563601,0.000000,83.633100,21.421801,118.600388,13.458200,8.004264,0.000000,0.000000,0.000000,0.000000,0.000000,6.465704,0.570080,8.530576,0.000000,0.000000,4.806500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,52.211279,0.000000,3.845200,118.879765,0.000000,338.377600,0.000000,1.340437,0.000000,0.000000,4.775738,0.000000,0,0,0,0,0

