Block,Time,DHAULIGNGA,RAMPUR,CHAMERA3,KISHANGANGA,NJPC,NAPP,CHAMERA2,JHAJJAR,PARBATI3,KOTESHWR,DULHASTI,DADRT2,KOLDAM,RIHAND3,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,TANDA2,UNCHAHAR3,SEWA2,RIHAND1,URI2,UNCHAHAR2,RAPPC,UNCHAHAR1,SINGRAULI_HYDRO,RAPPB,BSIUL,CHAMERA1,TANAKPUR,SALAL,URI,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,FSTPP I & II,BRBCL,KHSTPP-I,KHSTPP-II,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,0,0.395741,31.709733,2.551476,20.475526,44.150584,43.635161,661.459879,0,17.425726,53.905351,344.67316,0,126.520838,32.21842,1.492325,144.026761,120.694688,2.481214,26.963602,17.179061,94.319982,34.64741,43.545976,59.301366,22.193776,1.075357,0,0,28.045,0,61.586,50.784,0,6.080756,54.726808,0,0,73.287535,0,0,0,6.41457,35.571708,0,3.03,2.38,1.89,0.42,0.87,0.19,1.99,2.18,1.62,0,1.85,7.83,1.94,0,9.33,0.25,1.8,0.81,0,18.140334,15.00135,34.79931,147.515625,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542468,1.755846,1.371098,348.975,4.2939,3.542466,2.859443,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

2,00:15-00:30,0,0,31.709733,2.551476,0,44.150584,43.635161,661.459879,0,17.425726,53.905351,344.67316,0,126.520838,32.21842,1.492325,144.026761,120.694688,2.481214,26.963602,17.179061,94.319982,34.64741,43.545976,59.301366,22.193776,1.075357,0,0,28.045,0,61.586,50.784,0,6.080756,54.726808,0,0,73.287535,0,0,0,6.41457,35.571708,0,3.03,2.38,1.89,0.42,0.87,0.19,1.99,2.18,1.62,0,1.85,7.83,1.94,0,9.33,0.25,1.8,0.81,0,18.140334,15.00135,34.79931,147.515625,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542468,1.755846,1.371098,348.975,4.2939,3.542466,2.859443,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

3,00:30-00:45,0,0,31.709733,2.551476,0,44.150584,43.635161,661.459879,0,8.712864,53.905351,344.67316,0,126.520838,32.21842,1.492325,144.026761,120.694688,2.481214,26.963602,17.179061,94.319982,34.64741,43.545976,59.301366,22.193776,1.075357,0,0,28.045,0,61.586,50.784,0,6.080756,54.726808,0,0,73.287535,0,0,0,6.41457,35.571708,0,3.03,2.38,1.89,0.42,0.85,0.19,1.99,2.18,1.62,0,1.85,7.83,1.94,0,9.33,0.25,1.8,0.81,0,18.140334,15.00135,34.79931,147.515625,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542468,1.755846,1.371098,348.975,4.2939,3.542466,2.859443,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

4,00:45-01:00,0,0,21.118518,2.551476,0,44.150584,43.635161,661.459879,0,8.712864,53.905351,344.67316,0,126.520838,32.21842,1.492325,144.026761,120.694688,2.481214,26.963602,17.179061,94.319982,34.64741,43.545976,59.301366,22.193776,1.075357,0,0,28.045,0,61.586,52.992,0,6.080756,54.726808,0,0,73.287535,0,0,0,6.41457,35.571708,0,3.03,2.38,1.89,0.42,0.85,0.19,1.99,2.18,1.62,0,1.85,7.83,1.94,0,9.33,0.25,1.8,0.81,0,18.140334,15.00135,34.79931,147.515625,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542468,1.755846,1.371098,348.975,4.2939,3.542466,2.859443,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

5,01:00-01:15,0,0,21.118518,2.551476,0,44.150584,43.635161,661.459879,0,8.712864,53.905351,344.67316,0,126.520838,32.21842,1.492325,144.026761,120.694688,2.481214,26.963602,17.179061,94.319982,34.64741,43.545976,59.301366,22.193776,1.055067,0,0,13.983,5.8926,61.586,52.992,0,6.080756,54.726808,0,0,73.287535,0,0,0,6.41457,36.737993,0,3.03,2.38,1.89,0.42,0.85,0.19,1.99,2.18,1.62,0,1.85,7.79,1.94,0,9.33,0.25,1.8,0.81,0,18.140334,15.00135,34.79931,147.515625,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542468,1.755846,1.371098,348.975,4.2939,3.542466,2.859443,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

