Block,Time Block,KKNPPU2,KHSTPP-I,KHSTPP-II,KGSU1AND2,KGSU3AND4,FSTPP I & II,JHAJJAR,KOLDAM,KOTESHWR,BSIUL,CHAMERA1,BRBCL,DADRT2,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,URI,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,ANTA_CRF,UNCHAHAR2,ANTA_RF,AURY_LF,DADRI_GF,DADRI_LF,AURY_GF,DADRI_CRF,ANTA_LF,AURY_CRF,AURY_RF,ANTA_GF,DADRI_RF,KISHANGANGA,KKNP,TelanganaSTPP,TALST2,TEHRI,TANAKPUR,TALA,TANDA2,RAPPB,RIHAND2,SASAN,SIMHST2,RIHAND1,SINGRAULI_HYDRO,SIMHST1,RAMPUR,RSTPSU1TO6,SINGRAULI,RAPPC,RSTPSU7,SALAL,SEWA2,RIHAND3,NLCEXP,KUDGI,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NAPP,NNTPP,NTPL,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,36.89,79.47,0,0,8.79,276.31,0,8.53,0,0,19.24,293.49,0,0,0,0,25.48,0,11.55,0,4.27,13.96,0,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,114.22,324.61,0,88.49,0,0,0,0,121.16,51.99,0,1.35,0,119.57,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,0

2,00:15-00:30,0,36.89,78.43,0,0,8.79,276.31,0,8.53,0,0,19.24,245.4,0,0,0,0,25.48,0,11.55,0,18.11,13.96,0,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,114.22,324.61,0,88.49,0,0,0,0,121.16,51.99,0,1.35,0,119.57,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,0

3,00:30-00:45,0,31.6,65.81,0,0,8.79,276.31,0,8.53,0,0,19.24,187.7,0,0,0,0,25.48,0,11.55,0,18.11,13.96,0,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,114.22,324.61,0,88.49,0,0,0,0,112.09,51.99,0,1.35,0,119.57,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,0

4,00:45-01:00,0,31.6,65.81,0,0,8.79,276.31,0,8.53,0,0,19.24,187.7,0,0,0,0,3.18,0,11.55,0,18.11,13.96,0,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,114.22,324.61,0,88.49,0,0,0,0,112.09,51.99,0,1.35,0,119.57,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,0

5,01:00-01:15,0,31.6,65.81,0,0,8.79,276.31,0,8.53,0,0,19.24,187.7,0,0,0,0,1.07,0,11.55,0,18.11,13.96,0,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,114.22,324.61,0,88.49,0,0,0,0,106.32,51.99,0,1.35,0,119.57,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,0

