Block,Time,NR/30092023/26122029/SH-06,NR/01112023/30112023/HP-09,NR/03112023/30112023/IEX-231101-05680,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/03112023/30112023/HPX-TAMDLY-011123-05147,WR/01102023/01102023/L_NR_2020_06,NR/01102023/22052037/LT-59,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/02012046/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/30042040/GNA_LT_35,WR/01102023/16072048/L_NR_2022_08,NR/02112023/15112023/D20231102NR21539,NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2022_09,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/31032046/L_NR_2020_05,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01112023/30112023/HP-10,NR/01102023/06022042/L_NR_2012_02,L_NR_2019_19,NR/01102023/30042040/GNA_LT_36,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_07
1,00:00-00:15,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,14.09,1.860000,10.45,0,0,1.920000,0.000000,0,0,0.000000,6.66,48.220000,149.190000,48.220000,31.51,25.080000,42.32,2.310000,0,93.470000,130.210000,0,0.000000,0,0,0,0,0,31.51,0,14.11,0,0,0.000000,30.860000

2,00:15-00:30,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,14.17,1.860000,10.06,0,0,1.920000,0.000000,0,0,0.000000,6.66,48.220000,149.190000,48.220000,31.34,25.080000,42.51,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,31.34,0,14.17,0,0,0.000000,30.860000

3,00:30-00:45,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,14.18,1.860000,9.74,0,0,1.920000,0.000000,0,0,0.000000,6.66,48.220000,149.190000,48.220000,31.17,25.080000,42.59,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,31.17,0,14.2,0,0,0.000000,30.860000

4,00:45-01:00,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,14.12,1.860000,9.46,0,0,1.920000,0.000000,0,0,0.000000,12.84,48.220000,149.190000,48.220000,30.84,25.080000,42.36,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,30.84,0,14.12,0,0,0.000000,30.860000

5,01:00-01:15,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,14.67,1.860000,9.06,0,0,1.920000,0.000000,0,0,0.000000,12.18,48.220000,149.190000,48.220000,30.17,25.080000,44.01,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,30.17,0,14.67,0,0,0.000000,30.860000

6,01:15-01:30,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,14.33,1.860000,8.66,0,0,1.920000,0.000000,0,0,0.000000,11.68,48.220000,149.190000,48.220000,30.01,25.080000,43.01,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,30.01,0,14.34,0,0,0.000000,30.860000

7,01:30-01:45,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,14.17,1.860000,8.06,0,0,1.920000,0.000000,0,0,0.000000,11.84,48.220000,149.190000,48.220000,29.67,25.080000,42.51,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,29.67,0,14.17,0,0,0.000000,30.860000

8,01:45-02:00,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,14.08,1.860000,8.04,0,0,1.920000,0.000000,0,0,0.000000,11.34,48.220000,149.190000,48.220000,23.23,25.080000,42.26,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,23.23,0,14.09,0,0,0.000000,30.860000

9,02:00-02:15,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,14.01,1.860000,7.41,0,0,1.920000,0.000000,0,0,0.000000,11.18,48.220000,149.190000,48.220000,22.42,25.080000,42.01,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,22.42,0,14,0,0,0.000000,30.860000

10,02:15-02:30,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,13.92,1.860000,7.41,0,0,1.920000,0.000000,0,0,0.000000,10.68,48.220000,149.190000,48.220000,22.17,25.080000,41.76,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,22.17,0,13.92,0,0,0.000000,30.860000

11,02:30-02:45,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,13.67,1.860000,7.41,0,0,1.920000,0.000000,0,0,0.000000,10.34,48.220000,149.190000,48.220000,21.34,25.080000,41.01,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,21.34,0,13.67,0,0,0.000000,30.860000

12,02:45-03:00,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,10.83,1.860000,7.41,0,0,1.920000,0.000000,0,0,0.000000,8,48.220000,149.190000,48.220000,21.28,25.080000,32.51,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,21.28,0,10.84,0,0,0.000000,30.860000

13,03:00-03:15,26.030000,38.210000,48.220000,144.68,71.760000,26.030000,48.220000,10.33,1.860000,7.41,0,0,1.840000,0.000000,0,0,0.000000,8,48.220000,149.190000,48.220000,21.34,25.080000,31.01,2.310000,0,93.470000,110.920000,0,0.000000,0,0,0,0,0,21.34,0,10.34,0,0,0.000000,30.860000

