Block,Time Block,RSTPSU1TO6,RIHAND3,RIHAND2,KISHANGANGA,KHSTPP-I,KHSTPP-II,DULHASTI,FSTPP I & II,KGSU3AND4,JHAJJAR,KGSU1AND2,NLCIIST2,NLCTS2EXP,NNTPP,CHAMERA2,BRBCL,CHAMERA1,BSIUL,CHAMERA3,DHAULIGNGA,DADRT2,RAMPUR,RAPPC,NTPL,PARBATI3,RIHAND1,PARBATI2,RAPPB,RAPPD,URI2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,ANTA_CRF,TALA,TALST2,TANAKPUR,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,SEWA2,SINGRAULI_HYDRO,SIMHST1,SIMHST2,SINGRAULI,RSTPSU7,SALAL,SASAN,NAPP,KOTESHWR,KKNP,NLCEXP,KKNPPU2,KUDGI,NLCIIST1,KOLDAM,NJPC,MAPS,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,123.58,116.46,7.32,43.01,141.71,57.44,19.71,0,430.29,0,0,0,0,47.12,19.31,40.69,18.88,33.79,10.57,335.04,5.31,66.67,0,32.59,78.55,29.02,0,20.91,36.78,26.09,0,41.7,50.54,31.14,2.56,20.38,0,0.64,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.71,0,64.5,404.24,24.88,10.07,0,0,0,0,0,9.26,133.53,0,0,0,0,0,0

2,00:15-00:30,0,123.58,116.46,7.32,43.01,141.71,57.44,19.71,0,372.37,0,0,0,0,47.12,18.96,40.69,18.88,33.79,10.57,445.5,5.31,66.67,0,32.59,78.55,29.02,0,20.91,36.78,26.09,0,41.7,50.54,31.14,2.56,20.38,0,0.64,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.71,0,64.5,404.24,24.88,10.07,0,0,0,0,0,9.26,133.53,0,0,0,0,0,0

3,00:30-00:45,0,123.58,116.46,7.32,43.01,141.71,57.44,19.71,0,314.46,0,0,0,0,47.12,17.74,40.69,18.88,33.79,10.57,523.34,5.31,66.67,0,32.59,78.55,29.02,0,20.91,36.78,26.09,0,41.7,49.03,31.14,2.56,20.38,0,0.64,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.71,0,64.5,404.24,24.88,10.07,0,0,0,0,0,9.26,133.53,0,0,0,0,0,0

4,00:45-01:00,0,123.58,116.46,7.32,43.01,141.71,57.44,19.71,0,356.35,0,0,0,0,47.12,17.18,40.69,18.88,33.79,10.57,523.34,5.31,66.67,0,32.59,78.55,29.02,0,20.91,36.78,26.09,0,41.7,49.03,31.14,2.56,20.38,0,0.64,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.71,0,64.5,404.24,24.88,10.07,0,0,0,0,0,9.26,133.53,0,0,0,0,0,0

5,01:00-01:15,0,123.58,117.85,7.32,43.01,141.71,57.44,19.71,0,356.35,0,0,0,0,47.12,16.04,40.69,18.88,33.79,10.57,522.47,5.31,66.67,0,35.55,76.73,29.02,0,20.91,36.78,25.91,0,41.46,49.03,31.14,2.56,20.63,0,0.64,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.71,0,64.5,404.24,24.88,10.07,0,0,0,0,0,6.94,133.53,0,0,0,0,0,0

6,01:15-01:30,0,123.58,117.85,7.32,43.01,141.71,57.44,19.71,0,437.33,0,0,0,0,47.12,14.34,40.69,18.88,33.79,10.57,522.47,5.31,66.67,0,35.55,76.73,29.02,0,20.91,36.78,25.91,0,41.46,49.03,31.14,2.56,20.63,0,0.64,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.71,0,64.5,404.24,24.88,10.07,0,0,0,0,0,6.94,133.53,0,0,0,0,0,0

7,01:30-01:45,0,123.58,117.85,7.32,43.01,141.71,57.44,19.71,0,437.33,0,0,0,0,47.12,13,40.69,18.88,33.79,10.57,522.47,5.31,66.67,0,35.55,76.73,29.02,0,20.91,36.78,25.91,0,41.46,49.03,31.14,2.56,20.63,0,0.64,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,140.71,0,64.5,404.24,24.88,10.07,0,0,0,0,0,6.94,133.53,0,0,0,0,0,0

8,01:45-02:00,0,123.58,117.85,7.32,43.01,141.71,57.44,19.71,0,437.33,0,0,0,0,47.12,11.67,40.69,18.88,33.79,10.57,522.47,5.31,66.67,0,35.55,76.73,29.02,0,20.91,36.78,25.91,0,41.46,49.03,31.14,2.56,20.63,0,0.64,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,140.71,0,64.5,404.24,24.88,10.07,0,0,0,0,0,6.94,133.53,0,0,0,0,0,0

