Column1,Block,NR/2025/25301/C,NR/2025/25266/A/54018,NR/2025/25304/C,NR/2025/25265/A/54029,NR/2025/25267/A/54040,NR/30092023/26122029/SH-06,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/01/5886,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/16/1676,GNA/NR/2025/02/01/4863,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,GNA/WR/2024/11/01/4200,NR/2025/24992/A/53694,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,WR/2025/26047/A/53945,NR/2025/24882/A/53695,GNA/WR/2025/01/01/9606,NR/2024/24418/A/53670,NR/2025/25070/A/54006,GNA/NR/2025/02/01/2594,GNA/SR/2025/02/01/7432,Total
,,SJVNL,ABLWM1_AEROCITY,SJVNL,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,PUNJAB,PTC,NDMC,APPCPL,DELHI,PTC,NDMC,BAWANA_GAS,TPTCL,MANIKARAN,IEXL,NDMC,NDMC,APPCPL,IEXL,APPCPL,ITCLH,NVVNL,NDMC,APPCPL,
,,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,KARNATAKA_STATE,NA,NA,DELHI_UT,TELANGANA_State,DELHI_UT,ANDHRA_PRADESH_STATE,NA,NA,DELHI_UT,
,,TPSL_BKN2,TCSPL_BKN2,RSRPL_BKN,TCSPL_BKN2,TCSPL_BKN2,BAWANA_GAS,BYPL,TRN_ENERGY,BYPL,CHANJUII,BRPL,SKS_Raigarh,BAWANA_GAS,BYPL,BRPL,NSLSUGARALAND,RKM_POWER,JPL2,BRPL,NSLKSLWPRTY,BYPL,ITCWIND,JIPL,RKM_POWER,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HIMACHAL_STATE,DELHI_UT,KERALA_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,
,,NDMC,ABLWM1_AEROCITY,NDMC,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,PUNJAB,HP,NDMC,KSEB,TPDDL,HP,NDMC,HARYANA,TPC_MSEB,AEML,MES_Delhi,NDMC,NDMC,GOA_Beneficiary,MES_Delhi,AEML,ITCLH,NDMC,NDMC,KSEB,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-West-South,North-North,North-North,West-North,North-North,North-West,North-West,South-West-North,West-North,West-North,North-West,South-West-North,North-West,South-West-North,East-North,West-North,North-West-South,
1,00:00-00:15,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

2,00:15-00:30,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

