Block,Time,LT-05,L_NR_2019_11,SH-06,L_NR_2023_04,LT-59,LT-36,L_NR_2012_02,SH-07,LT-35,LT-31,L_NR_2012_07,L_NR_2012_04,L_NR_2012_01,L_NR_2020_02,L_NR_2018_61,L_NR_2020_06,L_NR_2020_07,L_NR_2022_08,L_NR_2021_13,L_NR_2019_07,L_NR_2022_09,L_NR_2019_05,L_NR_2022_10,L_NR_2021_17,L_NR_2020_05,L_NR_2021_12,L_NR_2021_14,L_NR_2019_19,L_NR_2019_06,L_NR_2021_15,L_NR_2021_16
1,00:00-00:15,115.790000,7.140000,0.000000,0.000000,10.320000,0.000000,261.020000,0.000000,0.000000,0.000000,73.970000,271.290000,101.040000,0.000000,29.71,23.39,23.39,16.1,0,0,52.56,0,52.56,0,70.18,0,0,0,0,0,0

2,00:15-00:30,115.790000,7.140000,0.000000,0.000000,10.320000,0.000000,261.020000,0.000000,0.000000,0.000000,73.970000,271.290000,101.040000,0.000000,28.65,24.52,24.51,16.36,0,0,54.53,0,54.53,0,73.55,0,0,0,0,0,0

3,00:30-00:45,115.790000,7.140000,0.000000,0.000000,10.320000,0.000000,261.020000,0.000000,0.000000,0.000000,73.970000,271.290000,101.040000,0.000000,27.25,25.41,25.41,17.44,0,0,55.12,0,55.12,0,76.23,0,0,0,0,0,0

4,00:45-01:00,115.790000,7.140000,0.000000,0.000000,10.320000,0.000000,261.020000,0.000000,0.000000,0.000000,73.970000,271.290000,101.040000,0.000000,25.85,26.17,26.18,17.97,0,0,56.2,0,56.2,0,78.51,0,0,0,0,0,0

5,01:00-01:15,115.790000,7.140000,0.000000,0.000000,10.320000,0.000000,200.990000,0.000000,0.000000,0.000000,58.840000,271.290000,101.040000,0.000000,24.49,26.76,26.75,18.47,0,0,58.8,0,58.8,0,80.28,0,0,0,0,0,0

6,01:15-01:30,115.790000,7.140000,0.000000,0.000000,10.320000,0.000000,200.990000,0.000000,0.000000,0.000000,58.840000,271.290000,101.040000,0.000000,20.31,28.07,28.06,19.19,0,0,60.25,0,60.25,0,84.2,0,0,0,0,0,0

7,01:30-01:45,115.790000,7.140000,0.000000,0.000000,10.320000,0.000000,200.990000,0.000000,0.000000,0.000000,58.840000,271.290000,101.040000,0.000000,20.06,23.44,23.43,20.47,0,0,60.29,0,60.29,0,70.31,0,0,0,0,0,0

8,01:45-02:00,115.790000,7.140000,0.000000,0.000000,10.320000,0.000000,200.990000,0.000000,0.000000,0.000000,58.840000,271.290000,101.040000,0.000000,19.72,23.29,23.28,20.16,0,0,58.19,0,58.19,0,69.86,0,0,0,0,0,0

9,02:00-02:15,115.790000,6.910000,0.000000,0.000000,10.400000,0.000000,200.990000,0.000000,0.000000,0.000000,58.840000,271.290000,101.040000,0.000000,19.66,22.12,22.12,19.73,0,0,59.89,0,59.89,0,66.36,0,0,0,0,0,0

10,02:15-02:30,115.790000,6.910000,0.000000,0.000000,10.400000,0.000000,200.990000,0.000000,0.000000,0.000000,58.840000,271.290000,101.040000,0.000000,18.79,21.06,21.06,18.37,0,0,58.45,0,58.45,0,63.19,0,0,0,0,0,0

