Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01032024/22032024/HP-56,NR/01032024/31032024/NVVN/OA/16997,NR/01012024/31032024/ ChanjuII,NR/01102023/19072037/LT-05,NR/16032024/22032024/HP-63,NR/01102023/06022042/L_NR_2012_07,NR/01032024/22032024/HP-59,NR/21032024/21032024/DD20240321NR23381,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/02012046/L_NR_2021_17,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,SR/01032024/31032024/SJVN010324NR1590,WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/02122045/L_NR_2021_13,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/26072023/25122043/L_NR_2023_10,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01032024/31032024/SJVN010324NR1588,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05
1,00:00-00:15,1.770000,0.000000,132.470000,1.440000,0.000000,0.000000,0.000000,129.450000,100.050000,1.790000,76.750000,48.280000,0.000000,57.910000,78.790000,87.090000,32.860000,0.000000,30.900000,26.070000,26.070000,0,0,0,0,0,0,36.67,0,0,11,0,18.83,10.61,0,0,18.84,56.5,36.67,48.28,0,48.28,0,193.100000,0,0,0,0

2,00:15-00:30,1.770000,0.000000,132.470000,1.440000,0.000000,0.000000,0.000000,129.450000,100.050000,1.790000,76.750000,48.280000,0.000000,57.910000,78.790000,87.090000,32.860000,0.000000,30.900000,26.070000,26.070000,0,0,0,0,0,0,36.67,0,0,10.66,0,18.83,10.21,0,0,18.84,56.5,36.67,48.28,0,48.28,0,193.100000,0,0,0,0

3,00:30-00:45,1.770000,0.000000,132.470000,1.440000,0.000000,0.000000,0.000000,129.450000,100.050000,1.790000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,26.070000,26.070000,26.070000,0,0,0,0,0,0,36.67,0,0,10.34,0,19,9.61,0,0,19,57,36.67,48.28,0,48.28,0,193.100000,0,0,0,0

4,00:45-01:00,1.770000,0.000000,132.470000,1.440000,0.000000,0.000000,0.000000,129.450000,100.050000,1.790000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,26.070000,26.070000,26.070000,0,0,0,0,0,0,36.67,0,0,10,0,19,8.61,0,0,19,57,36.67,48.28,0,48.28,0,193.100000,0,0,0,0

5,01:00-01:15,1.770000,0.000000,132.470000,1.440000,0.000000,0.000000,0.000000,129.450000,100.050000,1.790000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,26.070000,26.070000,26.070000,0,0,0,0,0,0,35.67,0,0,9.66,0,19.17,7.81,0,0,19.16,57.5,35.67,48.28,0,48.28,0,193.100000,0,0,0,0

