Column1,Time,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,GNA/SR/2024/08/12/8286,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/06022042/L_NR_2012_02,NR/01082024/15082024/APL-Raigarh,NR/01082024/30092024/LT_MEJA_DELHI,GNA/WR/2024/08/12/7836,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,GNA/WR/2024/08/12/5862
1,00:00-00:15,48.08,100.19,12.39,11.93,18.18,27.75,5.91,48.08,7,0,0,19.83,0,49,19.84,0,15,59.5,49,0,0,0,0,0,0,0,0,0,0,38.47,0,271.92,0,0,0,261.1,192.34,0,0,0,0,26.8708,0,85.87,26.8708,70.08,0

2,00:15-00:30,48.08,100.19,12.39,11.93,18.18,27.75,5.91,48.08,7,0,0,19.17,0,49,19.16,0,15,57.5,49,0,0,0,0,0,0,0,0,0,0,38.47,0,271.92,0,0,0,261.1,192.34,0,0,0,0,26.8708,0,85.87,26.8708,70.08,0

3,00:30-00:45,48.08,100.19,12.39,11.93,18.18,27.75,5.91,48.08,7,0,0,18.83,0,49,18.84,0,15,56.5,49,0,0,0,0,0,0,0,0,0,0,38.47,0,271.92,0,0,0,225.6,192.34,0,0,0,0,26.8708,0,76.25,26.8708,70.08,0

4,00:45-01:00,48.08,100.19,12.39,11.93,18.18,27.75,5.91,48.08,7,0,0,18.83,0,49,18.84,0,15,56.5,49,0,0,0,0,0,0,0,0,0,0,38.47,0,271.92,0,0,0,225.6,192.34,0,0,0,0,26.8708,0,76.25,26.8708,70.08,0

5,01:00-01:15,48.08,52.89,12.39,11.93,18.18,27.75,5.83,48.08,7,0,0,18.33,0,48.67,18.34,0,15.66,55,48.67,0,0,0,0,0,0,0,0,0,0,38.47,0,271.92,0,0,0,189.11,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

6,01:15-01:30,48.08,52.89,12.39,11.93,18.18,27.75,5.83,48.08,7,0,0,18.17,0,48.67,18.16,0,16.66,54.5,48.67,0,0,0,0,0,0,0,0,0,0,38.47,0,271.92,0,0,0,169.87,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

7,01:30-01:45,48.08,52.89,12.39,11.93,18.18,27.75,5.83,48.08,7,0,0,18.33,0,48.33,18.34,0,17.34,55,48.33,0,0,0,0,0,0,0,0,0,0,38.47,0,271.92,0,0,0,169.87,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

8,01:45-02:00,48.08,52.89,12.39,11.93,18.18,27.75,5.83,48.08,7,0,0,18.5,0,48.33,18.5,0,18,55.5,48.33,0,0,0,0,0,0,0,0,0,0,38.47,0,271.92,0,0,0,169.87,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

9,02:00-02:15,48.08,52.89,12.39,11.93,18.18,27.75,5.73,48.08,7,0,0,19,0,48.33,19,0,17.34,57,48.33,0,0,0,0,0,0,0,0,0,0,38.47,0,271.92,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

10,02:15-02:30,48.08,52.89,12.39,11.93,18.18,27.75,5.73,48.08,7,0,0,19.17,0,48,19.16,0,17.34,57.5,48,0,0,0,0,0,0,0,0,0,0,38.47,0,271.92,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

