Block,Time,L_NR_2023_04,SH-07,L_NR_2012_07,SH-06,LT-35,L_NR_2019_11,L_NR_2012_01,LT-36,L_NR_2012_02,LT-59,LT-05,LT-31,L_NR_2012_04,L_NR_2020_02,L_NR_2020_06,L_NR_2019_19,L_NR_2018_61,L_NR_2019_06,L_NR_2022_10,L_NR_2019_07,L_NR_2019_05,L_NR_2021_12,L_NR_2020_05,L_NR_2021_15,L_NR_2022_08,L_NR_2020_07,L_NR_2022_09,L_NR_2021_13,L_NR_2021_17,L_NR_2021_16,L_NR_2021_14,L_NR_2023_07,L_NR_2023_10
1,00:00-00:15,29.670000,30.930000,74.130000,30.930000,0.000000,6.770000,101.260000,0.000000,261.590000,7.310000,58.000000,0.000000,271.880000,6.690000,19.37,0,38.66,0,59.55,0,0,0,58.12,0,10.36,19.37,59.55,0,0,0,0,0,0

2,00:15-00:30,29.670000,30.930000,74.130000,30.930000,0.000000,6.770000,101.260000,0.000000,261.590000,7.310000,58.000000,0.000000,271.880000,6.690000,19.34,0,38.32,0,58.52,0,0,0,58.01,0,10.64,19.33,58.52,0,0,0,0,0,0

3,00:30-00:45,29.670000,30.930000,74.130000,30.930000,0.000000,6.770000,101.260000,0.000000,261.590000,7.310000,58.000000,0.000000,271.880000,6.690000,16.24,0,41.67,0,50.22,0,0,0,48.72,0,10.81,16.24,50.22,0,0,0,0,0,0

4,00:45-01:00,29.670000,30.930000,74.130000,30.930000,0.000000,6.770000,101.260000,0.000000,261.590000,7.310000,58.000000,0.000000,271.880000,6.690000,16.09,0,41.67,0,49.51,0,0,0,48.28,0,10.83,16.09,49.51,0,0,0,0,0,0

5,01:00-01:15,29.670000,30.930000,74.130000,30.930000,0.000000,6.770000,101.260000,0.000000,261.590000,7.000000,58.000000,0.000000,271.880000,6.600000,15.75,0,41.67,0,49,0,0,0,47.25,0,10.54,15.75,49,0,0,0,0,0,0

6,01:15-01:30,29.670000,30.930000,74.130000,30.930000,0.000000,6.770000,101.260000,0.000000,261.590000,7.000000,58.000000,0.000000,271.880000,6.600000,15.42,0,41.27,0,48.44,0,0,0,46.25,0,10.35,15.41,48.44,0,0,0,0,0,0

7,01:30-01:45,29.670000,30.930000,74.130000,30.930000,0.000000,6.770000,101.260000,0.000000,261.590000,7.000000,58.000000,0.000000,271.880000,6.600000,15.07,0,41.06,0,47.85,0,0,0,45.2,0,10.15,15.06,47.85,0,0,0,0,0,0

8,01:45-02:00,29.670000,30.930000,74.130000,30.930000,0.000000,6.770000,101.260000,0.000000,261.590000,7.000000,58.000000,0.000000,271.880000,6.600000,14.75,0,40.42,0,42.66,0,0,0,44.26,0,9.96,14.76,42.66,0,0,0,0,0,0

9,02:00-02:15,29.670000,30.930000,74.130000,30.930000,0.000000,6.530000,101.260000,0.000000,261.590000,6.840000,58.000000,0.000000,271.880000,6.420000,10.98,0,40.42,0,42.1,0,0,0,32.94,0,10.03,10.98,42.1,0,0,0,0,0,0

10,02:15-02:30,29.670000,30.930000,74.130000,30.930000,0.000000,6.530000,101.260000,0.000000,261.590000,6.840000,58.000000,0.000000,271.880000,6.420000,10.99,0,40.42,0,41.54,0,0,0,32.96,0,10.14,10.98,41.54,0,0,0,0,0,0

11,02:30-02:45,29.630000,30.930000,74.130000,30.930000,0.000000,6.530000,101.260000,0.000000,261.590000,6.840000,58.000000,0.000000,271.880000,6.420000,10.99,0,40.42,0,41.02,0,0,0,32.98,0,10.17,11,41.02,0,0,0,0,0,0

12,02:45-03:00,29.630000,30.930000,74.130000,30.930000,0.000000,6.530000,101.260000,0.000000,261.590000,6.840000,58.000000,0.000000,271.880000,6.420000,11,0,40.42,0,40.55,0,0,0,33.01,0,10.2,11,40.55,0,0,0,0,0,0

13,03:00-03:15,29.630000,30.930000,56.070000,30.930000,0.000000,6.530000,101.260000,0.000000,261.590000,6.840000,58.000000,0.000000,271.880000,6.320000,10.82,0,40.42,0,40.46,0,0,0,32.47,0,10.02,10.82,40.46,0,0,0,0,0,0

14,03:15-03:30,29.630000,30.930000,56.070000,30.930000,0.000000,6.530000,101.260000,0.000000,261.590000,6.840000,58.000000,0.000000,271.880000,6.320000,10.59,0,40.42,0,39.97,0,0,0,31.78,0,9.91,10.6,39.97,0,0,0,0,0,0

15,03:30-03:45,29.630000,30.930000,56.070000,30.930000,0.000000,6.530000,101.260000,0.000000,230.430000,6.840000,58.000000,0.000000,271.880000,6.040000,10.36,0,36.06,0,39.39,0,0,0,31.09,0,6.33,10.38,39.39,0,0,0,0,0,0

16,03:45-04:00,29.630000,30.930000,56.070000,30.930000,0.000000,6.530000,101.260000,0.000000,201.430000,6.840000,58.000000,0.000000,271.880000,6.040000,10.12,0,36.46,0,38.72,0,0,0,30.37,0,6.33,10.13,38.72,0,0,0,0,0,0

17,04:00-04:15,29.720000,30.930000,56.070000,30.930000,0.000000,6.530000,101.260000,0.000000,201.430000,6.840000,58.000000,0.000000,271.880000,6.040000,9.73,0,36.86,0,37.57,0,0,0,29.18,0,6.33,9.73,37.57,0,0,0,0,0,0

18,04:15-04:30,29.720000,30.930000,56.070000,30.930000,0.000000,6.530000,101.260000,0.000000,201.430000,6.840000,58.000000,0.000000,271.880000,6.040000,9.31,0,37.26,0,36.34,0,0,0,27.92,0,6.33,9.31,36.34,0,0,0,0,0,0

