Block,Time,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/26012024/26012024/HPX-TAMCTG-250124-05913,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/26012024/26012024/DD20240126NR22384,NR/01102023/30042040/GNA_LT_36,NR/01012024/31012024/HP-26,NR/01012024/31012024/HP-27,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31032024/ ChanjuII,NR/20122023/29022024/IEX_LDC_231218_00501,NR/26012024/26012024/HPX-TAMCTG-250124-05912,NR/06012024/31012024/NVVN/OA/16855,NR/01012024/31012024/HP-28,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01012024/31012024/52,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/19072037/LT-05,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,NR/05012024/31012024/SJVN050124NR1341,NR/05012024/31012024/SJVN050124NR1342,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02012046/L_NR_2021_17
1,00:00-00:15,25.310000,48.060000,0.000000,24.030000,0.690000,5.770000,1.380000,56.350000,0.950000,11.530000,198.230000,30.760000,270.340000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,10,0,10,0,5.83,0,0,6.34,5.84,0,0,0,17.5,0,8.46,0,0,0,0,0

2,00:15-00:30,25.310000,48.060000,0.000000,24.030000,0.690000,5.770000,1.380000,56.350000,0.950000,11.530000,198.230000,30.760000,270.340000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,10,0,10,0,5.83,0,0,6.34,5.84,0,0,0,17.5,0,7.91,0,0,0,0,0

3,00:30-00:45,25.310000,48.060000,0.000000,24.030000,0.690000,5.770000,1.380000,56.350000,0.950000,11.530000,169.390000,30.760000,230.690000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,10,0,10,0,5.83,0,0,6.34,5.84,0,0,0,17.5,0,7.73,0,0,0,0,0

4,00:45-01:00,25.310000,48.060000,0.000000,24.030000,0.690000,5.770000,1.380000,56.350000,0.950000,11.530000,169.390000,30.760000,192.240000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,10,0,10,0,5.83,0,0,6.34,5.84,0,0,0,17.5,0,7.72,0,0,0,0,0

5,01:00-01:15,25.870000,48.060000,0.000000,23.070000,0.690000,5.770000,1.380000,56.350000,0.950000,11.530000,169.390000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,10,0,10,0,5.83,0,0,6.34,5.84,0,0,0,17.5,0,7.21,0,0,0,0,0

6,01:15-01:30,25.870000,48.060000,0.000000,23.070000,0.690000,5.770000,1.380000,56.350000,0.950000,11.530000,169.390000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,10,0,10,0,5.83,0,0,6.34,5.84,0,0,0,17.5,0,7.16,0,0,0,0,0

7,01:30-01:45,25.870000,48.060000,0.000000,23.070000,0.690000,5.770000,1.380000,32.680000,0.950000,11.530000,169.390000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,10,0,10,0,5.83,0,0,6.34,5.84,0,0,0,17.5,0,7.01,0,0,0,0,0

8,01:45-02:00,25.870000,48.060000,0.000000,23.070000,0.690000,5.770000,1.380000,32.680000,0.950000,11.530000,169.390000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,10,0,10,0,5.83,0,0,6.34,5.84,0,0,0,17.5,0,7.01,0,0,0,0,0

9,02:00-02:15,25.870000,48.060000,0.000000,23.070000,0.690000,5.770000,1.380000,32.680000,0.950000,11.530000,169.390000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,16.08,0,16.08,0,5.83,0,0,6.34,5.84,0,0,0,17.5,0,7.01,0,0,0,0,0

10,02:15-02:30,25.870000,48.060000,0.000000,23.070000,0.690000,5.770000,1.380000,32.680000,0.950000,11.530000,169.390000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,15.42,0,15.42,0,5.83,0,0,6.34,5.84,0,0,0,17.5,0,7.01,0,0,0,0,0

11,02:30-02:45,25.870000,48.060000,0.000000,23.070000,0.690000,5.770000,1.380000,32.680000,0.950000,11.530000,121.330000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,17.53,0,17.53,0,7.33,0,0,6.34,7.34,0,0,0,22,0,9.2,0,0,0,0,0

12,02:45-03:00,25.870000,48.060000,0.000000,23.070000,0.690000,5.770000,1.380000,32.680000,0.950000,11.530000,109.580000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,17.44,0,17.44,0,7.33,0,0,6.34,7.34,0,0,0,22,0,9.1,0,0,0,0,0

13,03:00-03:15,25.870000,48.060000,0.000000,23.070000,0.650000,5.770000,1.380000,32.680000,0.950000,11.530000,109.580000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,17.61,0,17.61,0,7.33,0,0,6.34,7.34,0,0,0,22,0,8.92,0,0,0,0,0

14,03:15-03:30,25.870000,48.060000,0.000000,23.070000,0.650000,5.770000,1.380000,32.680000,0.950000,11.530000,109.580000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,17.53,0,17.53,0,7.33,0,0,6.34,7.34,0,0,0,22,0,8.74,0,0,0,0,0

15,03:30-03:45,25.870000,48.060000,0.000000,23.070000,0.650000,5.770000,1.380000,32.680000,0.950000,11.530000,109.580000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,17.44,0,17.44,0,7.33,0,0,6.34,7.34,0,0,0,22,0,8.38,0,0,0,0,0

16,03:45-04:00,25.870000,48.060000,0.000000,23.070000,0.650000,5.770000,1.380000,32.680000,0.950000,11.530000,109.580000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,17.36,0,17.36,0,7.33,0,0,6.34,7.34,0,0,0,22,0,8.36,0,0,0,0,0

17,04:00-04:15,25.870000,48.060000,0.000000,23.070000,0.650000,5.770000,1.380000,32.680000,0.950000,11.530000,109.580000,25.870000,148.680000,0.000000,0.000000,0.000000,0.000000,152.330000,57.240000,18.260000,1.290000,8.170000,0.000000,48.060000,24.500000,0.000000,0.000000,48.060000,65.930000,6.730000,0,0,0,17.45,0,17.45,0,7.33,0,0,6.34,7.34,0,0,0,22,0,7.43,0,0,0,0,0

