Time,Block,NR/2023/12915/F,NR/2023/10959/A,NR/2023/10432/A,NR/2023/11507/A,NR/2023/13791/C,NR/2023/13772/D,NR/2023/13369/F,NR/2023/12169/A,NR/2023/12916/F,NR/2023/12923/F,NR/2023/11266/A,NR/2023/12919/F,NR/2023/11953/A,NR/2023/13773/D,NR/2023/13053/F,NR/2023/12872/F,NR/2023/13775/D,NR/2023/13053/F/II,NR/2023/13315/F,NR/2023/10488/A,NR/2023/10947/A,NR/2023/11709/A,NR/2023/12924/F,NR/2023/10651/A,NR/2023/10705/A,NR/2023/12813/F,NR/2023/10720/A,NR/2023/13799/C,NR/2023/10786/A,NR/2023/10561/A,NR/2023/13774/D,ER/2023/8491/C,NR/2023/13786/C,NR/2023/12814/F,NR/2023/10435/A,NR/2023/13777/D,NR/2023/12706/A,NR/2023/10436/A,NR/2023/11712/A,NR/2023/10650/A,NR/2023/12917/F,NR/2023/12922/F,NR/2023/10460/A,NR/2023/12920/F,NR/2023/13771/D,NR/2023/12921/F,NR/2023/10956/A,NR/2023/12661/A,ER/2023/8507/C,Total
,,SHPPBPL,NVVNL,TPTCL,TPTCL,TPDDL,NVVNL,SJVNL,APPCPL,SHPPBPL,SHPPBPL,TPTCL,SHPPBPL,KEIPL,TS1PL_BKN,GMRETL,ITCLH,TS1PL_BKN,GMRETL,IEXL,TPTCL,APPCPL,MANIKARAN,SHPPBPL,KEIPL,KEIPL,MANIKARAN,KEIPL,GBHHPL,STATKRAFT,PTC,NVVNL,HPXL,PXIL,MANIKARAN,NVVNL,KEIPL,HPXL,APPCPL,MANIKARAN,KEIPL,SHPPBPL,SHPPBPL,GMRETL,SHPPBPL,NVVNL,SHPPBPL,NVVNL,NVVNL,IEXL,Total

,,HIMACHAL PRADESH,NA,ODISHA,NA,HIMACHAL PRADESH,NA,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,NA,NA,ANDHRA PRADESH,NA,NA,JAMMU AND KASHMIR,NA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,KERALA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,TAMIL NADU,NA,NA,DELHI,DELHI,HIMACHAL PRADESH,NA,UTTAR PRADESH,MAHARASHTRA,MEGHALAYA,TAMIL NADU,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,DELHI,
,,SHPPBPL,KAMENG,NBVLIPP,JPL,CHANJUII,KAMENG,IPCL_WB,HP,SHPPBPL,SHPPBPL,KWHEP,SHPPBPL,Meghalaya_Ben,TS1PL_BKN,GMR WARORA,ITCWIND,TS1PL_BKN,GMR WARORA,SAPU1234,APNRL,HP,TANGEDCO,SHPPBPL,Meghalaya_Ben,KSEB,HP,TANGEDCO,GBHHPL,TANGEDCO,JPNIGRIE_JNSTPP,SORANG_HEP,BYPL,BYPL,HP,SEIL,LAPL-UP,B_S_ISPAT_MH,Meghalaya_Ben,TANGEDCO,KSEB,SHPPBPL,SHPPBPL,Meghalaya_Ben,SHPPBPL,SOLAPUR_SOLAR,SHPPBPL,JPNIGRIE_JNSTPP,SKS Raigarh,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,JHARKHAND,
,,BAL184,BRPL,TPDDL,BRPL,TPDDL,TPDDL,NDMC,BRPL,BAL224,MHIL,BRPL,AISHER,BYPL,BRPL,TPDDL,ITCLH,BYPL,TPDDL,MES (Delhi),TPDDL,BYPL,BRPL,UHL,BYPL,BRPL,BRPL,BYPL,DIAPL,BYPL,TPDDL,TPDDL,VL-CPP 1215,ASIL_UP,BRPL,TPDDL,BYPL,NDMC,BYPL,BRPL,BYPL,BAL234,JHPL-DL,BYPL,BMDRC,MES (Delhi),MAX-HPTL,BRPL,NDMC,JBVNL,
,,North-North,North East-East-North,East-North,West-North,North-North,North East-East-North,East-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,North-North,West-North,South-West-North,North-North,West-East-North,North-North,East-North,North-North,South-West-North,North-North,North East-East-North,South-West-North,North-North,South-West-North,North-North,South-West-North,West-North,North-North,North-East,North-North,North-North,South-West-North,North-North,West-North,North East-East-North,South-West-North,South-West-North,North-North,North-North,North East-East-North,North-North,West-North,North-North,West-North,West-North,North-East,
1,00:00-00:15,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,22.570000,0.480000,0,1.640000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,50.000000,1834.97

2,00:15-00:30,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,22.570000,0.480000,0,1.640000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,50.000000,1834.97

3,00:30-00:45,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,22.570000,0.480000,0,1.640000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,50.000000,1834.97

4,00:45-01:00,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,22.570000,0.480000,0,1.640000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,50.000000,1834.97

5,01:00-01:15,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,17.830000,0.530000,0,6.370000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,100.000000,1885.01

6,01:15-01:30,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,17.830000,0.530000,0,6.370000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,100.000000,1885.01

7,01:30-01:45,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,17.830000,0.530000,0,6.370000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,100.000000,1885.01

8,01:45-02:00,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,17.830000,0.530000,0,6.370000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,100.000000,1885.01

9,02:00-02:15,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,17.570000,0.480000,0,6.630000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1784.96

10,02:15-02:30,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,17.570000,0.480000,0,6.630000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1784.96

