Block,Time,CHAMERA3,FSTPP I & II,KISHANGANGA,KKNP,KUDGI,PARBATI3,ANTA_RF,AURY_GF,KOLDAM,NJPC,NNTPP,RIHAND2,SASAN,SIMHST2,UNCHAHAR2,CHAMERA2,DULHASTI,KHSTPP-I,KOTESHWR,NTPL,PARBATI2,RSTPSU1TO6,VALLURNTECL,ANTA_CRF,DADRI_RF,KGSU3AND4,MAPS,NLCIIST1,NLCIIST2,RAMPUR,RIHAND3,TANDA2,UNCHAHAR1,ANTA_GF,ANTA_LF,AURY_LF,BSIUL,DADRT2,KHSTPP-II,KKNPPU2,RAPPC,RAPPD,SIMHST1,TANAKPUR,TEHRIPSP,DADRI_CRF,DADRI_GF,KGSU1AND2,NAPP,NLCEXP,RAPPB,SINGRAULI,SINGRAULI_HYDRO,URI,AURY_CRF,AURY_RF,CHAMERA1,DHAULIGNGA,RIHAND1,RSTPSU7,TALA,TelanganaSTPP,UNCHAHAR3,DADRI_LF,BRBCL,JHAJJAR,NLCTS2EXP,SALAL,SEWA2,TALST2,TEHRI,UNCHAHAR4,URI2
1,00:00-00:15,35.09,20.8,8.71,0,0,0,49.95,0,10.65,181.16,0,126.8,348.98,0,45.31,48.9,39.74,45.53,10.44,0,0,0,0,0,76.68,0,0,0,0,7.04,132.37,7.07,21.83,0,0,0,13.04,590.85,148.3,0,68.39,26.14,0,12.17,62.39,0,0,0,25.42,0,0,155.58,1.13,52.36,0,82.27,42.15,43.85,93.3,0,21.93,0,27.99,0,24.99,668.32,0,85.41,18.93,0,45.04,2.48,32.18

2,00:15-00:30,35.09,20.8,8.71,0,0,0,49.95,0,10.65,181.16,0,126.8,348.98,0,45.1,48.9,19.87,45.53,10.44,0,0,0,0,0,76.68,0,0,0,0,7.04,132.37,7.07,21.83,0,0,0,13.04,590.85,148.3,0,68.39,26.14,0,12.17,62.39,0,0,0,25.42,0,0,155.58,1.13,52.36,0,82.27,42.15,43.85,93.3,0,21.93,0,27.99,0,24.99,670.85,0,85.41,18.93,0,45.04,2.48,32.18

3,00:30-00:45,35.09,20.8,8.71,0,0,0,49.95,0,10.65,181.16,0,126.8,348.98,0,45.1,48.9,0,45.53,10.44,0,0,0,0,0,76.68,0,0,0,0,7.04,132.37,7.07,21.83,0,0,0,13.04,590.85,148.3,0,68.39,26.14,0,12.81,62.39,0,0,0,25.42,0,0,155.58,1.13,52.36,0,82.27,42.15,43.85,93.3,0,21.93,0,27.99,0,24.99,670.85,0,85.41,18.93,0,45.04,2.48,32.18

4,00:45-01:00,35.09,20.8,8.71,0,0,0,49.95,0,10.65,181.16,0,126.8,348.98,0,45.1,48.9,0,45.53,10.44,0,0,0,0,0,76.68,0,0,0,0,7.04,132.37,7.07,21.83,0,0,0,13.04,590.85,148.3,0,68.39,26.14,0,12.81,62.39,0,0,0,25.42,0,0,155.58,1.13,52.36,0,82.27,42.15,43.85,93.3,0,21.93,0,27.99,0,24.99,670.85,0,85.41,18.93,0,45.04,2.48,32.18

5,01:00-01:15,35.09,20.8,8.71,0,0,0,51.27,0,10.65,181.16,0,126.8,348.98,0,45.1,48.9,0,45.53,10.44,0,0,0,0,0,76.68,0,0,0,0,7.04,132.37,7.07,21.83,0,0,0,13.04,590.85,148.3,0,68.39,26.14,0,12.81,62.39,0,0,0,25.42,0,0,155.58,1.13,36.43,0,82.27,42.15,43.85,93.3,0,22.08,0,27.99,0,24.99,670.85,0,85.41,18.93,0,45.04,3.45,40.23

6,01:15-01:30,35.09,20.8,8.71,0,0,0,51.27,0,10.65,181.16,0,126.8,348.98,0,45.1,48.9,0,45.53,10.44,0,0,0,0,0,76.68,0,0,0,0,7.04,132.37,7.07,21.83,0,0,0,13.04,590.85,148.3,0,68.39,26.14,0,12.81,62.39,0,0,0,25.42,0,0,155.58,1.13,36.43,0,82.27,42.15,43.85,93.3,0,22.08,0,27.99,0,24.99,670.85,0,85.41,18.93,0,45.04,2.44,40.23

7,01:30-01:45,35.09,20.8,8.71,0,0,0,51.27,0,10.65,181.16,0,126.8,348.98,0,45.1,48.9,0,45.53,10.44,0,0,0,0,0,76.68,0,0,0,0,7.04,132.37,7.07,21.83,0,0,0,13.04,590.85,148.3,0,68.39,26.14,0,12.81,62.39,0,0,0,25.42,0,0,155.58,1.13,38.64,0,82.27,42.15,43.85,93.3,0,22.08,0,27.99,0,24.99,670.85,0,85.41,18.93,0,45.04,2.39,40.23

8,01:45-02:00,35.09,20.8,8.71,0,0,0,51.27,0,10.65,181.16,0,126.8,348.98,0,45.1,48.9,0,45.53,10.44,0,0,0,0,0,76.68,0,0,0,0,7.04,132.37,7.07,21.83,0,0,0,13.04,590.85,148.3,0,68.39,26.14,0,12.81,62.39,0,0,0,25.42,0,0,155.58,1.13,38.64,0,82.27,42.15,43.85,93.3,0,22.08,0,27.99,0,24.99,670.85,0,85.41,18.93,0,45.04,2.39,40.23

