Block,Time Block,TANDA2,TEHRIPSP,TEHRI,TANAKPUR,TALA,TALST2,URI2,VALLURNTECL,URI,UNCHAHAR4,UNCHAHAR3,RIHAND1,RAPPB,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPD,RSTPSU7,SALAL,SEWA2,SINGRAULI,RAMPUR,RIHAND3,RAPPC,RIHAND2,SASAN,MAPS,PARBATI2,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,NTPL,PARBATI3,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,JHAJJAR,KOTESHWR,KGSU1AND2,KHSTPP-II,KKNP,KGSU3AND4,KUDGI,UNCHAHAR1,UNCHAHAR2,TelanganaSTPP,CHAMERA2,CHAMERA3,BRBCL,BSIUL,CHAMERA1,DHAULIGNGA,DULHASTI,DADRT2,FSTPP I & II,DADRI_CRF,ANTA_GF,AURY_CRF,DADRI_GF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,DADRI_LF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,2.22,50.3,38.27,11.77,29.58,0,35.8,0,44.33,1.93,26,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,188.64,10.1,0,143.47,0,0,0,20.44,42.23,0,47.31,33.95,14.19,12.61,40.78,42.42,56.27,659.08,20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,2.22,50.3,38.27,11.77,29.58,0,35.8,0,44.33,1.93,26,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,159.62,10.1,0,143.47,0,0,0,20.46,42.23,0,47.31,33.95,13.45,12.61,40.78,42.42,56.27,661.82,20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,2.22,50.3,38.27,11.77,29.01,0,35.8,0,44.33,1.93,26,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,133.5,10.1,0,143.47,0,0,0,20.46,42.23,0,47.31,33.95,13.43,12.61,40.78,42.42,56.27,661.82,20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,2.22,50.3,38.27,11.77,29.01,0,35.8,0,44.33,1.93,26,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,133.5,10.1,0,143.47,0,0,0,20.46,42.23,0,47.31,33.95,13.37,12.61,40.78,42.42,56.27,661.82,20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,2.22,50.3,38.27,11.77,29.01,0,32.7,0,12.82,1.93,26.05,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,127.7,10.1,0,143.47,0,0,0,20.79,42.23,0,47.31,33.95,13.41,12.61,40.78,42.42,56.27,591.68,20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

