Column1,Time,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6566,NR/01082024/30092024/LT_MEJA_DELHI,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6020,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/2171,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,87.39,263.06,273.96,66.45,82.36,20.59,0,18.54,82.36,0,0,41.18,2.06,0,0,5.49,32.94,8.81,9.99,30.28,100.94,17.482,24.0835,41.18,32,0,0,7.5,0,22.5,9.11,0,0,7.5,0,0,34.01,0,0,0,0,0,0,0,0

2,00:15-00:30,87.39,263.06,273.96,66.45,82.36,20.59,0,18.54,82.36,0,0,41.18,2.06,0,0,5.49,32.94,8.81,9.99,30.78,100.94,17.482,24.0835,41.18,32,0,0,7.5,0,22.5,8.63,0,0,7.5,0,0,34.21,0,0,0,0,0,0,0,0

3,00:30-00:45,87.39,263.06,273.96,66.45,82.36,20.59,0,18.54,82.36,0,0,41.18,2.06,0,0,5.49,32.94,8.81,9.99,30.78,100.94,17.482,24.0835,41.18,32,0,0,7.5,0,22.5,6.34,0,0,7.5,0,0,34.61,0,0,0,0,0,0,0,0

4,00:45-01:00,87.39,263.06,273.96,66.45,82.36,20.59,0,18.54,82.36,0,0,41.18,2.06,0,0,5.49,32.94,8.81,9.99,30.78,100.94,17.482,24.0835,41.18,32,0,0,7.5,0,22.5,6.34,0,0,7.5,0,0,34.81,0,0,0,0,0,0,0,0

5,01:00-01:15,87.39,263.06,273.96,66.45,82.36,20.59,0,18.54,82.36,0,0,41.18,2.06,0,0,5.22,32.94,8.81,13.87,30.78,100.94,17.482,24.0835,41.18,32,0,0,7.5,0,22.5,6.34,0,0,7.5,0,0,34.81,0,0,0,0,0,0,0,0

6,01:15-01:30,87.39,263.06,273.96,66.45,82.36,20.59,0,18.54,82.36,0,0,41.18,2.06,0,0,5.22,32.94,8.81,13.87,30.78,100.94,17.482,24.0835,41.18,32,0,0,7.5,0,22.5,6.34,0,0,7.5,0,0,35.01,0,0,0,0,0,0,0,0

