Block,Time,NR/02112023/15112023/D20231102NR21539,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/03112023/30112023/IEX-231101-05680,NR/30092023/31122025/SH-07,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01112023/30112023/HP-10,NR/01102023/19072037/LT-05,NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01112023/30112023/HP-09,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/01102023/14082046/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,48.310000,64.930000,0.000000,2.080000,48.310000,25.730000,48.310000,49.290000,86.960000,271.740000,25.730000,27.050000,101.200000,2.100000,0.000000,2.510000,0.000000,76.800000,0.000000,258.910000,13.33,0,0,0,13.33,0,19,11.13,0,0,6.33,0,0,6.66,0,6.34,0,144.93,0,0,0,0

2,00:15-00:30,48.310000,64.930000,0.000000,2.080000,48.310000,25.730000,48.310000,49.290000,86.960000,271.740000,25.730000,27.050000,101.200000,2.100000,0.000000,2.510000,0.000000,76.800000,0.000000,258.910000,13.33,0,0,0,13.33,0,19,10.12,0,0,6.33,0,0,6.66,0,6.34,0,144.93,0,0,0,0

3,00:30-00:45,48.310000,64.600000,0.000000,2.080000,48.310000,25.730000,48.310000,49.290000,86.960000,271.740000,25.730000,27.050000,101.200000,2.100000,0.000000,2.510000,0.000000,76.800000,0.000000,223.470000,13.33,0,0,0,13.33,0,19,9.12,0,0,6.33,0,0,6.66,0,6.34,0,144.93,0,0,0,0

4,00:45-01:00,48.310000,74.090000,0.000000,2.080000,48.310000,25.730000,48.310000,49.290000,86.960000,271.740000,25.730000,27.050000,101.200000,2.100000,0.000000,2.510000,0.000000,76.800000,0.000000,258.910000,13.33,0,0,0,13.33,0,19,8.07,0,0,6.33,0,0,6.66,0,6.34,0,144.93,0,0,0,0

5,01:00-01:15,48.310000,64.600000,0.000000,2.000000,48.310000,25.730000,48.310000,49.290000,78.260000,271.740000,25.730000,27.050000,101.200000,2.100000,0.000000,2.510000,0.000000,76.800000,0.000000,237.000000,13.33,0,0,0,13.33,0,19,7.21,0,0,6.33,0,0,6.66,0,6.34,0,144.93,0,0,0,0

6,01:15-01:30,48.310000,64.600000,0.000000,2.000000,48.310000,25.730000,48.310000,49.290000,71.890000,271.740000,25.730000,27.050000,101.200000,2.100000,0.000000,2.510000,0.000000,76.800000,0.000000,237.000000,13.33,0,0,0,13.33,0,19,7.21,0,0,6.33,0,0,6.66,0,6.34,0,144.93,0,0,0,0

7,01:30-01:45,48.310000,64.600000,0.000000,2.000000,48.310000,25.730000,48.310000,49.290000,86.960000,271.740000,25.730000,27.050000,101.200000,2.100000,0.000000,2.510000,0.000000,76.800000,0.000000,239.540000,13.33,0,0,0,13.33,0,19,7.21,0,0,6.33,0,0,6.66,0,6.34,0,144.93,0,0,0,0

8,01:45-02:00,48.310000,64.600000,0.000000,2.000000,48.310000,25.730000,48.310000,49.290000,86.960000,271.740000,25.730000,27.050000,101.200000,2.100000,0.000000,2.510000,0.000000,76.800000,0.000000,239.540000,13.33,0,0,0,13.33,0,19,7.21,0,0,6.33,0,0,6.66,0,6.34,0,144.93,0,0,0,0

