Time,Block,NR/2023/13908/A,NR/2023/16656/C,NR/2023/13242/A,NR/2023/13385/A,NR/2023/13254/A,NR/2023/13165/A,NR/2023/13636/A,NR/2023/13387/A,NR/2023/16650/D,NR/2023/16191/A,NR/2023/16185/A,NR/2023/16291/F,NR/2023/13383/A,NR/2023/16520/F,NR/2023/16073/A,NR/2023/16638/D,NR/2023/13376/A,NR/2023/16077/A,NR/2023/13253/A,NR/2023/16437/F,NR/2023/13519/A,NR/2023/13148/A,NR/2023/16651/D,NR/2023/16669/C,NR/2023/16291/F/II,NR/2023/13150/A,NR/2023/16666/C,NR/2023/16648/D,NR/2023/15770/A,NR/2023/16647/D,NR/2023/16663/C,Total
,,TPTCL,GBHHPL,APPCPL,NVVNL,APPCPL,GMRETL,NVVNL,NVVNL,NVVNL,MANIKARAN,MANIKARAN,ITCLH,APPCPL,IEXL,APPCPL,NVVNL,APPCPL,APPCPL,APPCPL,NVVNL,STATKRAFT,KEIPL,NVVNL,IEXL,ITCLH,KEIPL,PXIL,IEXL,NVVNL,IEXL,TPDDL,Total

,,NA,HIMACHAL PRADESH,SIKKIM,MP,MEGHALAYA,MEGHALAYA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,GOA,NA,MEGHALAYA,HIMACHAL PRADESH,UTTARAKHAND,NA,HIMACHAL PRADESH,MEGHALAYA,NA,NA,ANDHRA PRADESH,MEGHALAYA,DELHI,TAMIL NADU,NA,TAMIL NADU,HIMACHAL PRADESH,
,,JPL,GBHHPL,SIKKIM,JP BINA,Meghalaya_Ben,Meghalaya_Ben,KAMENG,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,HP,HP,ITCWIND,HP,PPGCL,GOA_Beneficiary,KAMENG,Meghalaya_Ben,HP,UTTARAKHAND,KAMENG,HP,Meghalaya_Ben,KAMENG,Teesta_III,ITCWIND,Meghalaya_Ben,BYPL,OPGPGPLU4TN,SKS Raigarh,OPGPGUNIT1TN,CHANJUII,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,
,,BRPL,DIAPL,BYPL,BRPL,BYPL,BYPL,BRPL,BRPL,MES (Delhi),BRPL,BRPL,ITCLH,BYPL,BRPL,BRPL,TPDDL,BYPL,BRPL,BYPL,TPDDL,BYPL,BYPL,BRPL,BRPL,ITCLH,BYPL,NPCL(UP),BRPL,NDMC,BRPL,TPDDL,
,,West-North,North-North,East-North,West-North,North East-East-North,North East-East-North,North East-East-North,West-North,West-North,North-North,North-North,South-East-North,North-North,North-North,West-North,North East-East-North,North East-East-North,North-North,North-North,North East-East-North,North-North,North East-East-North,North East-East-North,East-North,South-West-North,North East-East-North,North-North,South-East-North,West-North,South-East-North,North-North,
1,00:00-00:15,175.160000,5.040000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.870000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1473.08

2,00:15-00:30,175.160000,5.040000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.870000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1473.08
