Column1,Block,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,NR/2025/25868/C,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,GNA/WR/2025/04/01/4420,WR/2025/27369/A/62097,WR/2025/27361/A/62001,GNA/NR/2025/04/01/1831,NR/2025/25883/C,WR/2025/27350/A/61703,GNA/NR/2025/04/01/6490,NR/2025/25791/A/61960,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/7459,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/5285,NR/30092023/31122025/SH-07,NR/2025/25752/A/61640,NR/2025/25792/A/61959,NR/2025/25794/A/61958,NR/2025/25795/A/61957,NR/2025/25828/A/61711,GNARE/NR/2024/12/20/3668,NR/2025/25790/A/61961,Total
,,PXIL,IEXL,TPDDL,APPCPL,NDMC,IVPL_Trader,MANIKARAN,APPCPL,IEXL,DIAPL,KEIPL,HPXL,APPCPL,IEXL,IEXL,DELHI,IEXL,PUNJAB,IEXL,BAWANA_GAS,IEXL,APPCPL,APPCPL,APPCPL,DIAPL,SECI_Trader,APPCPL,
,,UTTARPRADESH_STATE,SIKKIM_STATE,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,CSEB_State,NA,SIKKIM_STATE,SIKKIM_STATE,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,SIKKIM_STATE,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,
,,LAPL_UP,RCHEP,JHAJJAR,BYPL,JPL2,BYPL,BYPL,BYPL,RHPPL_HP,GBHHPL,BYPL,MSPLTD,JIPL,Kalez_Khola_HEP,LLHEP1234,CHANJUII,KGEPL_HP,BAWANA_GAS,MEYONGCHU_HEP,BAWANA_GAS,TPSL_BKN2,RKM_POWER,RKM_POWER,TRN_ENERGY,GBHHPL,APSEPL_FTG,SKS_Raigarh,
,,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,MSEB_State,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,TPDDL,KSEB,NDMC,TPC_MSEB,CSEB_Beneficiary,CSEB_Beneficiary,BRPL,DIAPL,CSEB_Beneficiary,BRPL,NDMC,BRPL,BRPL,TPDDL,BRPL,PUNJAB,BRPL,HARYANA,MES_Delhi,NDMC,NDMC,NDMC,DIAPL,TPDDL,NDMC,
,,North-North,East-North,North-North,North-West-South,West-North,North-West,North-West,North-West,North-North,North-North,North-West,West-North,East-North,East-North,East-North,North-North,North-North,North-North,East-North,North-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,
1,00:00-00:15,48.1,2.89,151.02,52.5,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,6.08,9.62,32,2.89,32,0,32.79,32.79,10.93,0,0,10.93,736.9

2,00:15-00:30,48.1,2.89,151.02,52.5,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,6.08,9.62,32,2.89,32,0,32.79,32.79,10.93,0,0,10.93,736.9

3,00:30-00:45,48.1,2.89,151.02,52.5,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,6.08,9.62,32,2.89,32,0,32.79,32.79,10.93,0,0,10.93,736.9

4,00:45-01:00,48.1,2.89,151.02,52.5,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,6.08,9.62,32,2.89,32,0,32.79,32.79,10.93,0,0,10.93,736.9

5,01:00-01:15,48.1,2.89,151.02,52.5,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.98,9.62,32,2.89,32,0,32.79,32.79,10.93,0,0,10.93,736.8

6,01:15-01:30,48.1,2.89,151.02,52.5,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.98,9.62,32,2.89,32,0,32.79,32.79,10.93,0,0,10.93,736.8

7,01:30-01:45,48.1,2.89,151.02,52.5,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.98,9.62,32,2.89,32,0,32.79,32.79,10.93,0,0,10.93,736.8

8,01:45-02:00,48.1,2.89,151.02,52.5,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.98,9.62,32,2.89,32,0,32.79,32.79,10.93,0,0,10.93,736.8

9,02:00-02:15,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.98,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.3

