Block,Time,CHAMERA2,CHAMERA3,KHSTPP-I,NAPP,PARBATI3,RIHAND2,RSTPSU7,SEWA2,SIMHST1,SINGRAULI,URI2,AURY_CRF,DADRT2,DHAULIGNGA,KGSU1AND2,KHSTPP-II,MAPS,NLCTS2EXP,RAPPD,TALA,UNCHAHAR1,VALLURNTECL,ANTA_LF,AURY_LF,DADRI_CRF,CHAMERA1,DULHASTI,FSTPP I & II,JHAJJAR,KKNP,NJPC,RAPPB,TANAKPUR,TEHRI,TelanganaSTPP,UNCHAHAR2,DADRI_RF,KOLDAM,NLCIIST1,RIHAND1,UNCHAHAR4,ANTA_GF,BSIUL,KGSU3AND4,KUDGI,NLCIIST2,NTPL,PARBATI2,RAMPUR,UNCHAHAR3,AURY_GF,KISHANGANGA,NLCEXP,RAPPC,SINGRAULI_HYDRO,ANTA_RF,AURY_RF,BRBCL,KOTESHWR,RSTPSU1TO6,SASAN,TANDA2,DADRI_GF,DADRI_LF,KKNPPU2,NNTPP,RIHAND3,SALAL,SIMHST2,TALST2,URI,ANTA_CRF
1,00:00-00:15,48.81,35.03,45.53,25.24,58.31,124.58,0,12.61,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,4.7,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,6.27,30.33,0,44.5,98.41,9.59,0,97.23,2.3,0,19.56,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,49.86,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

2,00:15-00:30,48.81,35.03,45.53,25.24,58.31,124.58,0,12.61,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,4.7,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,6.27,30.33,0,44.5,98.41,9.59,0,97.23,2.3,0,19.56,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,49.86,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

3,00:30-00:45,48.81,35.03,45.53,25.24,58.31,124.58,0,12.61,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,4.7,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,6.27,30.33,0,44.5,98.41,9.59,0,97.23,2.3,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,49.86,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

4,00:45-01:00,49.4,35.03,45.53,25.24,58.31,124.58,0,12.61,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,4.7,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,6.27,30.33,0,44.5,98.41,9.59,0,97.23,2.3,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,49.86,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

5,01:00-01:15,49.4,35.03,45.53,25.24,58.31,124.58,0,12.61,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,4.7,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,6.27,30.33,0,44.5,98.41,9.59,0,97.23,2.3,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,51.17,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

6,01:15-01:30,49.4,35.03,45.53,25.24,58.31,124.58,0,12.61,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,4.7,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,6.27,30.33,0,44.5,98.41,9.59,0,97.23,2.3,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,51.17,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

7,01:30-01:45,49.4,35.03,45.53,25.24,58.31,124.58,0,12.61,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,3.53,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,1.79,30.33,0,45,98.41,9.59,0,97.23,2.3,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,51.17,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

8,01:45-02:00,49.4,35.03,45.53,25.24,58.31,124.58,0,6.3,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,3.53,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,1.79,30.33,0,45,98.41,9.59,0,97.23,3.2,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,51.17,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

9,02:00-02:15,49.4,35.03,45.53,25.24,67.51,124.58,0,6.3,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,3.53,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,1.79,30.33,0,45,98.41,9.59,0,97.23,2.3,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,51.83,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

10,02:15-02:30,49.4,35.03,45.53,25.24,67.51,124.58,0,6.02,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,3.53,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,1.79,30.33,0,45,98.41,9.59,0,97.23,3.2,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,51.83,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

11,02:30-02:45,49.4,35.03,45.53,25.24,67.51,124.58,0,6.02,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,3.53,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,1.79,30.33,0,45,98.41,9.59,0,97.23,3.2,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,51.83,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

12,02:45-03:00,49.4,35.03,45.53,25.24,67.51,124.58,0,6.02,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,3.53,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,1.79,30.33,0,45,98.41,9.59,0,97.23,3.2,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,51.83,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,84.24,0,0,51.01,0

13,03:00-03:15,49.4,35.03,45.53,25.24,67.51,124.58,0,0,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,3.53,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,1.79,30.33,0,45,98.41,9.59,0,97.23,3.2,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,52.22,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,80.18,0,0,51.01,0

14,03:15-03:30,49.4,35.03,45.53,25.24,67.51,124.58,0,0,0,150.34,38.1,0,458.92,21.88,0,148.3,0,0,0,3.53,21.94,0,0,0,0,42.15,58.69,20.8,447.11,0,180.89,0,1.79,30.33,0,45,98.41,9.59,0,97.23,3.2,0,13.04,0,0,0,0,48.84,6.98,27.68,0,8.63,0,67.71,1.11,52.22,80.77,20,10.43,0,373.5,5.7,0,0,0,0,95.79,80.18,0,0,51.01,0

