Time,Block,NR/2023/10236/A,NR/2023/10487/A,NR/2023/10944/A,NR/2023/11862/F,NR/2023/12428/C,NR/2023/11342/A,NR/2023/10613/A,NR/2023/11962/F,NR/2023/10434/A,NR/2023/11947/F,NR/2023/11955/F,NR/2023/10344/A,NR/2023/11957/F,NR/2023/11330/A,NR/2023/11963/F,NR/2023/11476/A,NR/2023/11952/F,NR/2023/11642/A,NR/2023/11956/F,NR/2023/11941/F,NR/2023/12404/D,NR/2023/12433/C,NR/2023/12415/C,NR/2023/10229/A,NR/2023/10611/A,NR/2023/11960/F,NR/2023/12423/C,NR/2023/11961/F,NR/2023/12436/C,NR/2023/11643/A,NR/2023/11958/F,NR/2023/11959/F,NR/2023/12405/D,NR/2023/12411/D,NR/2023/12412/D,Total
,,NVVNL,TPTCL,APPCPL,APPCPL,HPXL,IEXL,APPCPL,SHPPBPL,NVVNL,HPXL,SHPPBPL,BYPL,SHPPBPL,APPCPL,SHPPBPL,IEXL,KEIPL,MANIKARAN,SHPPBPL,NVVNL,NVVNL,PXIL,GBHHPL,NVVNL,APPCPL,SHPPBPL,TPDDL,SHPPBPL,IEXL,MANIKARAN,SHPPBPL,SHPPBPL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,NA,NA,HIMACHAL PRADESH,MANIPUR,NA,TELANGANA,NAGALAND,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,DELHI,HIMACHAL PRADESH,NA,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,
,,ILFS,APNRL,HP,Manipur_Ben,Teesta_III,NAVABHARAT,Nagaland_Ben,SHPPBPL,SEIL,B_S_ISPAT_MH,SHPPBPL,Meghalaya_Ben,SHPPBPL,HP,SHPPBPL,JSPL_DCPP,Meghalaya_Ben,HP,SHPPBPL,SKS Raigarh,KAMENG,BYPL,GBHHPL,JPNIGRIE_JNSTPP,Arunachal_Ben,SHPPBPL,CHANJUII,SHPPBPL,ACBIL,HP,SHPPBPL,SHPPBPL,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,TPDDL,BYPL,STT,BRPL,BRPL,BYPL,MHIL,TPDDL,NDMC,BAL184,BYPL,BAL234,BRPL,UHL,BRPL,BYPL,BRPL,BAL224,NDMC,TPDDL,ASIL_UP,DIAPL,BRPL,BYPL,MAX-HPTL,TPDDL,JHPL-DL,BRPL,BRPL,AISHER,BMDRC,MES (Delhi),BYPL,BRPL,
,,South-West-North,East-North,North-North,North East-East-North,East-North,South-West-North,North East-East-North,North-North,South-West-North,West-North,North-North,North East-East-North,North-North,North-North,North-North,West-North,North East-East-North,North-North,North-North,West-North,North East-East-North,North-North,North-North,West-North,North East-East-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,213.720000,41.430000,23.120000,2.890000,307.360000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.240000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,1154.99

2,00:15-00:30,213.720000,41.430000,23.120000,2.890000,280.380000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.240000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,1128.01

3,00:30-00:45,213.720000,41.430000,23.120000,2.890000,232.200000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.240000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,1079.83

