Column1,Block,GNA/NR/2025/08/01/5126,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4125,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5784,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/2414,NR/2025/32535/A/101133,NR/2025/32535/A/101132,NR/2025/32534/A/101131,NR/2025/33637/A/101147,NR/2025/32599/A/100946,NR/2025/33632/A/101149,NR/2025/33633/A/101148,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/101128,NR/2025/32532/A/101129,NR/2025/32534/A/101130,NR/2025/34680/C,NR/2025/32397/A/100687,NR/2025/31421/A/101210,NR/2025/32556/A/101113,NR/2025/31045/A/101237,NR/2025/31043/A/101239,NR/2025/32375/A/101207,NR/2025/32455/A/101268,NR/2025/32559/A/101112,NR/2025/32610/A/101111,NR/2025/29440/A/100730,NR/2025/34637/C,NR/2025/29992/A/100816,NR/2025/34638/C,NR/2025/32262/A/100766,NR/2025/34639/C,NR/2025/31049/A/101235,NR/2025/31048/A/101236,NR/2025/34263/A/101192,NR/2025/34626/C,NR/2025/34078/A/100811,NR/2025/34664/C,NR/2025/34247/A/101225,NR/2025/32004/A/101116,NR/2025/34658/C,NR/2025/34625/C,NR/2025/34622/C,NR/2025/34657/C,NR/2025/34647/C,Total
,,MANIKARAN,PUNJAB,NDMC,BAWANA_GAS,NDMC,NDMC,APPCPL,MANIKARAN,APPCPL,MANIKARAN,PowerPulse,DELHI,NVVNL,MANIKARAN,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,GMRETL,BRPL,GMRETL,GMRETL,SECI_Trader,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,MES_Delhi,IEXL,NVVNL,APPCPL,PowerPulse,PowerPulse,NVVNL,MANIKARAN,APPCPL,APPCPL,ITCLH,APPCPL,BYPL,APPCPL,TPTCL,APPCPL,PowerPulse,PowerPulse,PTC,PowerPulse,DIAPL,NVVNL,PowerPulse,APPCPL,NVVNL,PowerPulse,PowerPulse,NVVNL,APPCPL,
,,MP_State,DELHI_UT,NA,DELHI_UT,NA,NA,GOA_State,NA,GOA_State,MSEB_State,MSEB_State,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,NA,MP_State,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,KERALA_State,NA,MSEB_State,NA,NA,NA,GoHP_NJPC_STATE,NA,HIMACHAL_STATE,NA,NA,MSEB_State,NA,NA,NA,MP_State,MSEB_State,
,,BLAPOWER_MP,BAWANA_GAS,SKS_Raigarh,BAWANA_GAS,JIPL,TRN_ENERGY,GOA_Beneficiary,MBMP,GOA_Beneficiary,AEML,Vidarbha_Industry_MH,CHANJUII,JHABUA_IPP,DBPL,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,TS1PL_BKN,JGCPL_BKN2,JGCPL_BKN2,APSEPL_FTG,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,NTPCREL_PSS2_KPS2_S,A_A_Energy_MH_Bio,JPNIGRIE_JNSTPP,JPL2,MAHAN_ENERGEN,MAHAN_ENERGEN,JP_BINA,MBMP,RKM_POWER,RKM_POWER,ITCWIND,RKM_POWER,KSEB,JPL2,TPC_MSEB,RKM_POWER,APL_Raigarh_TPP,APL_Raigarh_TPP,GoHP_NJPC,MAHAN_ENERGEN,GBHHPL,Kameng,APL_Raipur_TPP,AEML,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,APL_Raipur_TPP,JP_BINA,AEML,
,,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,PUNJAB,NDMC,HARYANA,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,BLKMH,BRPL,MAX_HPTL,DTCP,TPDDL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,MES_Delhi,MES_Delhi,TPDDL,NDMC,TPDDL,TPDDL,TPDDL,BRPL,NDMC,NDMC,ITCLH,NDMC,BYPL,NDMC,BYPL,NDMC,TPDDL,TPDDL,BRPL,TPDDL,DIAPL,TPDDL,BRPL,BYPL,TPDDL,TPDDL,BRPL,TPDDL,BYPL,
,,West-North,North-North,West-North,North-North,East-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,20.44,0,14.58,0,28.93,14.58,15.25,33.67,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,48.1,26.24,26.24,0.87,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1390.01

2,00:15-00:30,20.44,0,14.58,0,28.93,14.58,15.25,33.67,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,48.1,26.24,26.24,0.87,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1390.01

