Column1,Block,NR/2025/29796/C,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/83088,NR/2025/28774/A/82619,GNA/NR/2025/06/01/7782,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/16/6051,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/5280,NR/2025/29718/C,NR/2025/29657/C,NR/2025/29786/C,GNA/NR/2025/06/01/2868,NR/2025/29795/C,NR/2025/29792/C,NR/2025/29777/C,NR/2025/29793/C,NR/2025/29778/C,NR/2025/29794/C,NR/2025/29719/C,NR/2025/29790/C,GNA/NR/2025/06/01/7762,NR/2025/29791/C,NR/2025/29663/C,NR/2025/29763/C,NR/2025/29683/C,NR/2025/29720/C,NR/2025/29724/C,NR/2025/28719/A/82727,NR/2025/27500/A/82626,NR/2025/27100/A/82768,NR/2025/26565/A/83098,NR/2025/26860/A/83145,NR/2025/29779/C,NR/2025/26889/A/83197,NR/2025/29451/A/83086,NR/2025/27727/A/83137,NR/2025/27187/A/83150,NR/2025/27506/A/82624,NR/2025/26562/A/83097,NR/2025/27281/A/83285,NR/2025/27185/A/83152,NR/2025/27168/A/83183,NR/2025/27157/A/82765,NR/2025/26777/A/82762,NR/2025/27176/A/83154,NR/2025/27725/A/83144,NR/2025/26785/A/82628,NR/2025/26445/A/83209,NR/2025/26566/A/83099,NR/2025/26861/A/83191,NR/2025/27728/A/83141,NR/2025/26085/A/82574,NR/2025/27726/A/83143,NR/2025/26572/A/83106,NR/2025/27782/A/83136,NR/2025/27088/A/83205,NR/2025/26571/A/83101,NR/2025/26975/A/83158,NR/2025/27499/A/83196,NR/2025/27167/A/83180,NR/2025/29814/C,NR/2025/27242/A/82834,NR/2025/26952/A/82656,Total
,,APPCPL,SECI_Trader,BRPL,IEXL,APPCPL,PUNJAB,APPCPL,APPCPL,APPCPL,DELHI,MANIKARAN,NVVNL,PTC,INSTINCT,SIMHAPURI,MANIKARAN,BAWANA_GAS,PowerPulse,KEIPL,PowerPulse,MANIKARAN,APPCPL,NDMC,APPCPL,APPCPL,NVVNL,APPCPL,NVVNL,APPCPL,PowerPulse,APPCPL,PTC,APPCPL,IEXL,INSTINCT,PXIL,PowerPulse,BRPL,DIAPL,IEXL,IVPL_Trader,PowerPulse,BRPL,NVVNL,HPXL,BRPL,APPCPL,APPCPL,IEXL,PowerPulse,MANIKARAN,APPCPL,PTC,KEIPL,INSTINCT,APPCPL,APPCPL,IEXL,NVVNL,PowerPulse,PowerPulse,APPCPL,ITCLH,APPCPL,PowerPulse,APPCPL,NVVNL,PowerPulse,APPCPL,HPXL,PTC,DIAPL,GMRETL,PXIL,
,,NA,NA,NA,NA,CSEB_State,DELHI_UT,NA,GOA_State,GOA_State,HIMACHAL_STATE,MSEB_State,NA,TELANGANA_State,NA,NA,MP_State,DELHI_UT,NA,CSEB_State,NA,CSEB_State,Manipur_State,NA,NA,NA,NA,NA,NA,NA,NA,KERALA_State,ODISHA_STATE,MSEB_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,MSEB_State,MSEB_State,NA,NA,NA,MSEB_State,NA,NA,KERALA_State,HIMACHAL_STATE,NA,CSEB_State,KERALA_State,GoHP_Rampur_STATE,CSEB_State,NA,MSEB_State,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,Manipur_State,JK_and_LADAKH_UT,GoHP_Chamera1_STATE,HIMACHAL_STATE,HIMACHAL_STATE,NA,
,,RKM_POWER,APSEPL_FTG,TS1PL_BKN,TPSL_BKN2,CSPDCL,BAWANA_GAS,DBPL,GOA_Beneficiary,GOA_Beneficiary,CHANJUII,AEML,JHABUA_IPP,NAVABHARAT,SIMHAPURI,SIMHAPURI,BLAPOWER_MP,BAWANA_GAS,COASTGEN,CSPDCL,MAHAN_ENERGEN,CSEB_Beneficiary,Manipur_Ben,JIPL,TRN_ENERGY,SKS_Raigarh,ILFS,RKM_POWER,SORANG_HEP,JPL2,APL_Raigarh_TPP,KSEB,NBVL_OTCL,AEML,MBMP,JPL2,MBMP,APL_Raipur_TPP,JPL2,GBHHPL,A_A_Energy_MH_Bio,TPC_MSEB,MAHAN_ENERGEN,JPL2,Kameng,GRETAENERGY,DADRT2,JPL2,KSEB,NHCPL_HP,APL_Raipur_TPP,CSEB_Beneficiary,KSEB,GoHP_Rampur,CSEB_Beneficiary,JPL2,AEML,SKS_Raigarh,MBMP,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,COASTGEN,RKM_POWER,ITCWIND,RKM_POWER,APL_Raigarh_TPP,TRN_ENERGY,ILFS,APL_Raigarh_TPP,Manipur_Ben,O2Z,GoHP_Chamera1,GBHHPL,GBHHPL,MBMP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,TPDDL,BRPL,MES_Delhi,BRPL,PUNJAB,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,TPDDL,BYPL,BYPL,NDMC,NDMC,NDMC,BRPL,NDMC,TPDDL,NDMC,TPDDL,BYPL,BRPL,BYPL,NDMC,BRPL,BRPL,TPDDL,BRPL,DIAPL,MES_Delhi,BYPL,TPDDL,BRPL,TPDDL,BYPL,BRPL,NDMC,BYPL,MES_Delhi,TPDDL,BYPL,BYPL,BRPL,BYPL,BRPL,BYPL,NDMC,NDMC,TPDDL,TPDDL,BRPL,NDMC,ITCLH,NDMC,TPDDL,NDMC,BRPL,TPDDL,BYPL,BYPL,BRPL,DIAPL,BRPL,BRPL,
,,West-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,South-West-North,South-East-North,West-North,North-North,South-West-North,West-North,West-North,West-North,North East-East-North,East-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,South-West-North,East-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,West-North,South-West-North,North-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,0,0,0,0,11.91,30,48.32,15.32,19.33,16,20.85,24.16,62.82,48.32,48.32,24.16,0,0,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,25.2,144.96,106.3,164.53,5.8,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,193.28,26.35,0.68,26.35,0,7.73,192.66,144.96,27.06,8.7,24.16,1.93,48.32,0,2596.359999999999

2,00:15-00:30,0,0,0,0,11.91,30,48.32,15.32,19.33,16,20.85,24.16,62.82,48.32,48.32,24.16,0,0,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,25.2,144.96,106.3,164.53,5.8,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,193.28,26.35,0.68,26.35,0,7.73,192.66,144.96,27.06,8.7,24.16,1.93,48.32,0,2596.359999999999

