Block,Time,NR/01012024/15012024/IEX_231227_05966,NR/01012024/15012024/IEX_231227_05965,NR/01012024/31012024/52,NR/01102023/22052037/LT-59,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01102023/19072037/LT-05,NR/01012024/31032024/ ChanjuII,NR/01102023/15082037/GNA_NR_2012_01,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01012024/31012024/HP-28,NR/01012024/31012024/HP-26,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/06012024/31012024/NVVN/OA/16855,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01012024/15012024/HPX-TAMDLY-271223-05546,NR/01102023/05012040/L_NR_2020_02,NR/01012024/31012024/HP-27,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,WR/01102023/31032046/L_NR_2020_05,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/05012024/31012024/SJVN050124NR1341,NR/05012024/31012024/SJVN050124NR1342,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,47.980000,95.950000,0.000000,0.730000,5.760000,69.950000,1.470000,51.100000,8.160000,23.030000,24.460000,152.060000,47.980000,31.660000,25.270000,0.000000,28.780000,0.990000,148.090000,47.980000,1.430000,57.140000,148.420000,18.230000,25.270000,0.000000,11.510000,6.720000,0.000000,0.000000,17.5,0,0,6,5.84,0,0,15,0,0,0,0,5.83,0,15.33,0,15,0,0,0,0,0,0

2,00:15-00:30,47.980000,95.950000,0.000000,0.730000,5.760000,69.950000,1.470000,51.100000,8.160000,23.030000,24.460000,152.060000,47.980000,31.660000,25.270000,0.000000,28.780000,0.990000,148.090000,47.980000,1.430000,57.140000,148.420000,18.230000,25.270000,0.000000,11.510000,6.720000,0.000000,0.000000,17.5,0,0,6,5.84,0,0,15,0,0,0,0,5.83,0,14.47,0,15,0,0,0,0,0,0

3,00:30-00:45,47.980000,95.950000,0.000000,0.730000,5.760000,69.950000,1.470000,51.100000,8.160000,23.030000,24.460000,152.060000,47.980000,31.660000,25.270000,0.000000,28.780000,0.990000,95.950000,47.980000,1.430000,57.140000,148.420000,18.230000,25.270000,0.000000,11.510000,6.720000,0.000000,0.000000,17.5,0,0,6,5.84,0,0,15,0,0,0,0,5.83,0,13.85,0,15,0,0,0,0,0,0

4,00:45-01:00,47.980000,95.950000,0.000000,0.730000,5.760000,69.950000,1.470000,51.100000,8.160000,23.030000,24.460000,152.060000,47.980000,31.660000,25.270000,0.000000,28.780000,0.990000,95.950000,47.980000,1.430000,57.140000,148.420000,18.230000,25.270000,0.000000,11.510000,6.720000,0.000000,0.000000,17.5,0,0,6,5.84,0,0,15,0,0,0,0,5.83,0,13.34,0,15,0,0,0,0,0,0

5,01:00-01:15,47.980000,95.950000,0.000000,0.730000,5.760000,69.950000,1.470000,51.100000,8.160000,23.030000,24.460000,152.060000,47.980000,31.660000,25.810000,0.000000,28.780000,0.990000,95.950000,47.980000,1.430000,57.140000,148.420000,18.230000,25.810000,0.000000,11.510000,6.720000,0.000000,0.000000,17.5,0,0,6,5.84,0,0,15,0,0,0,0,5.83,0,11.94,0,15,0,0,0,0,0,0

