Block,Time,CHAMERA2,DADRT2,DHAULIGNGA,KHSTPP-II,NLCEXP,SIMHST1,URI2,BRBCL,KISHANGANGA,KUDGI,RIHAND2,TALA,TALST2,TANAKPUR,VALLURNTECL,DADRI_LF,DADRI_RF,FSTPP I & II,JHAJJAR,KGSU3AND4,KOLDAM,MAPS,NLCTS2EXP,RSTPSU1TO6,UNCHAHAR1,KKNP,KKNPPU2,KOTESHWR,NNTPP,RAPPB,RAPPC,RIHAND1,RSTPSU7,SEWA2,SINGRAULI,UNCHAHAR3,ANTA_CRF,AURY_CRF,DADRI_CRF,CHAMERA1,CHAMERA3,KHSTPP-I,NJPC,NLCIIST2,PARBATI3,TANDA2,TEHRI,KGSU1AND2,UNCHAHAR4,ANTA_LF,AURY_LF,DULHASTI,RIHAND3,SASAN,SINGRAULI_HYDRO,UNCHAHAR2,URI,ANTA_GF,ANTA_RF,BSIUL,NAPP,NLCIIST1,NTPL,RAMPUR,SALAL,SIMHST2,TelanganaSTPP,AURY_GF,AURY_RF,DADRI_GF
1,00:00-00:15,26.34,683.14,0,148.3,0,0,22.86,20,0,0,118.76,0,0,5.76,0,0,59.74,20.8,434.65,0,0,0,0,0,20.55,0,0,8.87,0,0,25.64,92,0,16.53,139.69,26.4,0,0,0,42.5,9.68,45.53,0,0,0,0,0,0,0,0,0,0,62.16,418.77,0.44,42.39,33.12,0,43.99,0,20.61,0,0,0,55.77,0,0,0,70.81,0

2,00:15-00:30,26.34,683.14,0,148.3,0,0,22.86,20,0,0,118.76,0,0,5.76,0,0,59.74,20.8,434.65,0,0,0,0,0,20.55,0,0,8.87,0,0,25.64,92,0,16.53,139.69,26.4,0,0,0,42.5,9.68,45.53,0,0,0,0,0,0,0,0,0,0,62.16,418.77,0.44,42.39,33.12,0,43.99,0,20.61,0,0,0,55.77,0,0,0,70.81,0

3,00:30-00:45,26.34,683.14,0,148.3,0,0,22.86,20,0,0,118.76,0,0,5.76,0,0,59.74,20.8,434.65,0,0,0,0,0,20.55,0,0,8.87,0,0,25.64,92,0,16.53,139.69,26.4,0,0,0,42.5,9.68,45.53,0,0,0,0,0,0,0,0,0,0,62.16,418.77,0.73,42.39,35.33,0,44.21,0,20.61,0,0,0,55.77,0,0,0,70.81,0

4,00:45-01:00,26.34,683.14,0,148.3,0,0,22.86,20,0,0,118.76,0,0,5.76,0,0,59.74,20.8,434.65,0,0,0,0,0,20.55,0,0,8.87,0,0,25.64,92,0,16.53,139.69,26.4,0,0,0,42.5,9.68,45.53,0,0,0,0,0,0,0,0,0,0,62.16,418.77,0.73,42.39,35.33,0,44.21,0,20.61,0,0,0,55.77,0,0,0,70.81,0

5,01:00-01:15,26.34,683.14,0,148.3,0,0,22.86,20,0,0,118.76,0,0,5.76,0,0,59.74,20.8,434.65,0,0,0,0,0,20.55,0,0,8.87,0,0,25.64,92,0,16.53,139.69,26.4,0,0,0,42.5,9.68,45.53,0,0,0,0,0,0,0,0,0,0,62.16,418.77,0.73,42.39,35.33,0,44.21,0,20.61,0,0,0,55.77,0,0,0,70.81,0

6,01:15-01:30,26.34,683.14,0,148.3,0,0,22.86,20,0,0,118.76,0,0,5.76,0,0,59.74,20.8,434.65,0,0,0,0,0,20.55,0,0,8.87,0,0,25.64,92,0,16.53,139.69,26.4,0,0,0,42.5,9.68,45.53,0,0,0,0,0,0,0,0,0,0,62.16,418.77,0.73,42.39,35.33,0,44.21,0,20.61,0,0,0,55.77,0,0,0,70.81,0

7,01:30-01:45,26.34,683.14,0,148.3,0,0,32.28,20,0,0,118.76,0,0,0,0,0,59.74,20.8,434.65,0,0,0,0,0,20.55,0,0,8.87,0,0,25.64,92,0,16.53,139.69,26.4,0,0,0,42.5,9.68,45.53,0,0,0,0,0,0,0,0,0,0,62.16,418.77,0.73,42.39,33.12,0,44.21,0,20.61,0,0,0,55.77,0,0,0,70.81,0

