Time,Block,NR/2024/19121/A/17615,NR/2024/19024/A/17594,NR/2024/19764/A/17814,NR/2024/18919/A/18109,NR/2024/18986/A/17478,NR/2024/19043/A/17546,NR/2024/19975/C,NR/2024/19726/A/17578,NR/2024/19337/A/17592,NR/2024/19787/A/17735,NR/2024/18977/A/17492,NR/2024/19976/C,NR/2024/19143/A/17561,NR/2024/19290/A/18184,NR/2024/19245/A/17593,NR/2024/19656/A/17590,NR/2024/19739/A/17589,NR/2024/18935/A/17503,NR/2024/19970/C,NR/2024/19172/A/18185,NR/2024/18996/A/18079,NR/2024/19030/A/17551,NR/2024/18934/A/17504,NR/2024/19484/A/18173,NR/2024/18976/A/17493,NR/2024/19989/C,NR/2024/19075/A/17565,NR/2024/18855/A/17616,NR/2024/20007/C,NR/2024/19485/A/18174,NR/2024/19469/A/17591,NR/2024/19483/A/18172,NR/2024/19727/A/17573,NR/2024/20004/C,NR/2024/19115/A/17564,NR/2024/18978/A/17491,NR/2024/19984/C,NR/2024/18936/A/17502,Total
,,GMRETL,DIAPL,BRPL,APPCPL,ITCLH,IEXL,NVVNL,IEXL,DIAPL,IEXL,PXIL,NVVNL,IEXL,TPDDL,DIAPL,DIAPL,DIAPL,PXIL,NVVNL,TPDDL,PTC,IEXL,PXIL,NVVNL,PXIL,PXIL,IEXL,GMRETL,IEXL,NVVNL,DIAPL,NVVNL,IEXL,HPXL,IEXL,PXIL,IEXL,PXIL,Total

,,RAJASTHAN,HIMACHAL PRADESH,NA,NAGALAND,ANDHRA PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,NA,NA,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,NA,MAHARASHTRA,NA,TAMIL NADU,NA,ODISHA,KARNATAKA,ODISHA,RAJASTHAN,NA,NA,HIMACHAL PRADESH,NA,NA,NA,MAHARASHTRA,TAMIL NADU,ASSAM,TAMIL NADU,
,,RUVNL,GBHHPL,DADRT2,Nagaland_Ben,ITCWIND,MBMP,KAMENG,HP-GOVT,GBHHPL,NAVABHARATVL,MEENAKSHI,SORANG_HEP,EDWPCL12,JHAJJAR,GBHHPL,GBHHPL,GBHHPL,SAKTHISUGARS_ELMTN,SOLAPUR_SOLAR,JHAJJAR,JPL_DHULE,JHABUA_IPP,SAKTHISUGRAR_TN,RKM_POWER,FACORPOWER,PCKL,VSL,RUVNL,CPTTNPL,RKM_POWER,GBHHPL,SKS Raigarh,SEIL,DBPL,SWPL,BIRLACARBONTN,Assam_Ben,SAKTHISUGARSLTD,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,DIAPL,BRPL,BYPL,ITCLH,BRPL,TPDDL,TPDDL,DIAPL,BRPL,BRPL,TPDDL,UPPCL,TPDDL,DIAPL,DIAPL,DIAPL,BRPL,MES (Delhi),TPDDL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BYPL,BYPL,NDMC,DIAPL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,North East-East-North,South-West-North,West-East-North,North East-East-North,North-North,North-North,South-East-West-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,West-North,North-North,West-North,West-East-North,South-West-North,West-North,East-West-North,South-West-North,East-North,North-North,West-North,West-North,North-North,West-North,South-East-West-North,West-North,West-East-North,South-West-North,North East-East-West-North,South-West-North,
1,00:00-00:15,0.000000,4.830000,0.000000,9.660000,0.530000,0.000000,111.430000,144.960000,1.930000,0.000000,0.000000,57.980000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,61.66,37.330000,0.000000,12.450000,193.280000,138.970000,0.000000,0.000000,386.560000,0.000000,1681.07

2,00:15-00:30,0.000000,4.830000,0.000000,9.660000,0.530000,0.000000,111.430000,144.960000,1.930000,0.000000,0.000000,57.980000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,61.66,37.330000,0.000000,12.450000,193.280000,138.970000,0.000000,0.000000,386.560000,0.000000,1681.07

3,00:30-00:45,0.000000,4.830000,0.000000,9.660000,0.530000,0.000000,111.430000,144.960000,1.930000,0.000000,0.000000,57.980000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,61.66,37.330000,0.000000,12.450000,193.280000,138.970000,0.000000,0.000000,386.560000,0.000000,1681.07

4,00:45-01:00,0.000000,4.830000,0.000000,9.660000,0.530000,0.000000,111.430000,144.960000,1.930000,0.000000,0.000000,57.980000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,61.66,37.330000,0.000000,12.450000,193.280000,138.970000,0.000000,0.000000,386.560000,0.000000,1681.07

5,01:00-01:15,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,144.960000,1.930000,0.000000,0.000000,57.980000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,0,37.330000,0.000000,12.450000,193.280000,138.970000,0.000000,0.000000,0.000000,0.000000,1232.8

6,01:15-01:30,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,144.960000,1.930000,0.000000,0.000000,57.980000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,0,37.330000,0.000000,12.450000,193.280000,138.970000,0.000000,0.000000,0.000000,0.000000,1232.8

7,01:30-01:45,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,144.960000,1.930000,0.000000,0.000000,57.980000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,0,37.330000,0.000000,12.450000,193.280000,138.970000,0.000000,0.000000,0.000000,0.000000,1232.8

8,01:45-02:00,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,144.960000,1.930000,0.000000,0.000000,57.980000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,0,37.330000,0.000000,12.450000,193.280000,138.970000,0.000000,0.000000,0.000000,0.000000,1232.8

9,02:00-02:15,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.17

10,02:15-02:30,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.17

