Time,Block,NR/2024/21425/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21076/A/26269,NR/2024/21146/A/26016,NR/2024/21173/A/26150,NR/2024/20688/A/26152,NR/2024/21023/A/25996,NR/2024/21104/A/26233,NR/2024/21062/A/26018,NR/2024/21376/A/26297,NR/2024/20930/A/26156,NR/2024/21426/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/2024/19779/A/25930,NR/2024/21156/A/26013,NR/2024/20573/A/26215,NR/2024/21186/A/26263,NR/2024/21072/A/26251,NR/2024/21142/A/25971,NR/2024/21089/A/26250,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21144/A/25999,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21150/A/26014,NR/2024/21148/A/26015,NR/2024/20711/A/26298,ER/09072024/09072024/HPX-TAMCTG-090724-01596,NR/09072024/09072024/IEX_240708_01445,NR/2024/21153/A/26020,NR/2024/21152/A/25955,NR/2024/20877/A/26264,NR/2024/21339/A/25967,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21312/A/25819,NR/2024/21183/A/26271,NR/2024/21160/A/26017,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30092023/31122025/SH-07,NR/01072024/31072024/R2,NR/01102023/23072042/L_NR_2012_04,NR/2024/21075/A/26270,NR/2024/21159/A/26019,NR/2024/20966/A/25956,NR/2024/21243/A/25998,NR/2024/21096/A/26238,NR/2024/21141/A/25973,NR/2024/21238/A/26275,NR/2024/21113/A/26249,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21087/A/26151,NR/2024/20574/A/26214,NR/2024/21108/A/26232,NR/2024/21099/A/25974,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21427/C,NR/2024/21199/A/25995,NR/2024/21227/A/26234,NR/2024/21103/A/26235,NR/2024/21210/A/25970,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21158/A/26023,Total
,,NVVNL,SECI_Trader,SECI_Trader,AEL,MANIKARAN,BAL184,GMRETL,GMRETL,INSTINCT,APPCPL,PTC,TPDDL,AEL,NVVNL,DELHI,PUNJAB,ITCLH,UHL,PTC,NVVNL,NVVNL,TPTCL,NVVNL,MEJA,DTCP,TPDDL,BAL234,BAL224,TPDDL,HPXL,IEXL,JHPL-DL,IEXL,NVVNL,TPTCL,NDMC,DIAPL,MANIKARAN,BMDRC,INSTINCT,BAWANA_GAS,PTC,TPTCL,MANIKARAN,MHIL,IEXL,BRPL,APPCPL,TPTCL,MANIKARAN,NVVNL,INSTINCT,GMRETL,PTC,APPCPL,TPTCL,TPTCL,NVVNL,INSTINCT,APPCPL,APPCPL,TPTCL,APPCPL,NDMC,MSSH,Total

,,NA,NA,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,ODISHA,RAJASTHAN,NA,TAMIL NADU,NA,NA,NA,NA,MAHARASHTRA,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,NA,HIMACHAL PRADESH,NA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,NA,DELHI,NA,NA,GOA,HIMACHAL PRADESH,MAHARASHTRA,NA,KERALA,MAHARASHTRA,TAMIL NADU,NA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,NA,NA,NA,MAHARASHTRA,NAGALAND,UTTARAKHAND,NA,ARUNACHAL PRADESH,NA,HIMACHAL PRADESH,
,,SOLAPUR_SOLAR,SBSRPC11PL_BKN,SBSRPC11PL_BKN,APL_Raigarh TPP,AEML,SHPPBPL,GMRKEL (STU),RUVNL,JPL,TANGEDCO,SEILP2,JHAJJAR,APL_Raigarh TPP,KAMENG,MSEB_Beneficiary,BAWANA_GAS,ITCWIND,SHPPBPL,HP,JP BINA,RKM_POWER,HP-GOVT,RKM_POWER,MEJA,SHPPBPL,CHANJUII,SHPPBPL,SHPPBPL,JPL-2,BYPL,RKM_POWER,SHPPBPL,NHCPL_HP,JPNIGRIE_JNSTPP,JITPL,JITPL,GBHHPL,BLAPOWER_MP,SHPPBPL,JPL,BAWANA_GAS,SEILP2,MPL,GOA_Beneficiary,SHPPBPL,A_A_Energy_MH_Bio,DADRT2,KSEB,TPC MSEB,MMS STEEL TN,JPL-2,JPL_DHULE,GBHHPL,HP,Manipur_Ben,ACBIL,JITPL,SORANG_HEP,JPL_DHULE,Nagaland_Ben,UTTARAKHAND,SIMHAPURI,Arunachal_Ben,SKS Raigarh,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),BYPL,TPDDL,BRPL,BYPL,BAL184,BRPL,BYPL,BRPL,BYPL,BRPL,TPDDL,BRPL,TPDDL,TPDDL,PUNJAB,ITCLH,UHL,BRPL,TPDDL,NDMC,BRPL,NDMC,DELHI,DTCP,TPDDL,BAL234,BAL224,TPDDL,WBSEDCL,BRPL,JHPL-DL,MES (Delhi),TPDDL,BRPL,NDMC,DIAPL,BRPL,BMDRC,BRPL,HARYANA,BRPL,TPDDL,BRPL,MHIL,MES (Delhi),BRPL,BYPL,BYPL,BRPL,NDMC,BRPL,BRPL,BYPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BYPL,BYPL,BRPL,BRPL,NDMC,MSSH,
,,West-North,North-North,North-North,West-North,West-North,North-North,East-North,North-North,West-North,South-West-North,South-East-North,North-North,West-North,North East-East-North,West-North,North-North,South-West-North,North-North,North-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,North-East,West-North,North-North,North-North,West-North,East-North,East-North,North-North,West-North,North-North,West-North,North-North,South-West-North,East-North,West-North,North-North,West-North,North-North,South-West-North,West-North,South-West-North,West-North,West-North,North-North,North-North,North East-East-North,West-North,East-North,North-North,West-North,North East-East-North,North-North,South-West-North,North East-East-North,West-North,North-North,
1,00:00-00:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.630000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,32.750000,12.410000,0.670000,2343.73

2,00:15-00:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.630000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,32.750000,12.410000,0.670000,2343.73
