Block,Time,NR/01112023/30112023/HP-09,NR/01102023/31052040/LT-31,NR/03112023/30112023/IEX-231101-05680,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/23112023/23112023/HPX-TAMCTG-221123-05264,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/23112023/23112023/IEX_231122_05732,NR/01102023/19072037/LT-05,NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01112023/30112023/HP-10,NR/01102023/30042040/GNA_LT_36,NR/03112023/30112023/HPX-TAMDLY-011123-05147,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,76.640000,0.000000,48.200000,152.980000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.630000,1.840000,98.350000,0.000000,48.200000,17,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,17

2,00:15-00:30,76.640000,0.000000,48.200000,152.980000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.630000,1.840000,98.350000,0.000000,48.200000,16.67,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,16.67

3,00:30-00:45,76.640000,0.000000,48.200000,152.980000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.630000,1.840000,98.350000,0.000000,48.200000,16.33,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,16.33

4,00:45-01:00,76.640000,0.000000,48.200000,134.970000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.630000,1.840000,98.350000,0.000000,48.200000,16,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,16

5,01:00-01:15,76.640000,0.000000,48.200000,145.580000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.630000,1.840000,98.350000,0.000000,48.200000,15.67,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15.67

6,01:15-01:30,76.640000,0.000000,48.200000,137.870000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.630000,1.840000,98.350000,0.000000,48.200000,15.33,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15.33

7,01:30-01:45,76.640000,0.000000,48.200000,137.870000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.630000,1.840000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

8,01:45-02:00,76.640000,0.000000,48.200000,137.870000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.630000,1.840000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

9,02:00-02:15,76.640000,0.000000,48.200000,137.870000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,231.380000,0.000000,46.280000,1.630000,1.690000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

10,02:15-02:30,76.640000,0.000000,48.200000,137.870000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,192.820000,0.000000,46.280000,1.630000,1.690000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

11,02:30-02:45,76.640000,0.000000,48.200000,137.870000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,149.130000,0.000000,46.280000,1.630000,1.690000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

12,02:45-03:00,76.640000,0.000000,48.200000,137.870000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,149.130000,0.000000,46.280000,1.630000,1.690000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

13,03:00-03:15,76.640000,0.000000,48.200000,121.480000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,149.130000,0.000000,46.280000,1.630000,1.690000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

14,03:15-03:30,76.640000,0.000000,48.200000,121.480000,26.020000,0.000000,23.140000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,149.130000,0.000000,46.280000,1.630000,1.690000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

15,03:30-03:45,76.640000,0.000000,48.200000,121.480000,26.020000,0.000000,23.140000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,149.130000,0.000000,46.280000,1.630000,1.690000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

16,03:45-04:00,76.640000,0.000000,48.200000,121.480000,26.020000,0.000000,23.140000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,149.130000,0.000000,46.280000,1.630000,1.690000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

17,04:00-04:15,76.640000,0.000000,48.200000,121.480000,26.020000,0.000000,23.140000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,192.820000,0.000000,46.280000,1.550000,1.610000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

18,04:15-04:30,76.640000,0.000000,48.200000,121.480000,26.020000,0.000000,23.140000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,231.380000,0.000000,46.280000,1.550000,1.610000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

19,04:30-04:45,76.640000,0.000000,48.200000,121.480000,26.020000,0.000000,23.140000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.550000,1.610000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

20,04:45-05:00,76.640000,0.000000,48.200000,152.980000,26.020000,0.000000,23.140000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.550000,1.610000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

21,05:00-05:15,76.640000,0.000000,48.200000,201.190000,26.020000,0.000000,23.140000,0.000000,26.020000,0.000000,71.730000,96.410000,2.130000,31.820000,271.150000,0.000000,46.280000,1.550000,1.610000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

22,05:15-05:30,76.640000,0.000000,48.200000,249.390000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,96.410000,96.410000,2.130000,55.920000,271.150000,0.000000,46.280000,1.550000,1.610000,98.350000,0.000000,48.200000,15,0,0,7.34,0,7.01,0,0,0,0,0,0,0,7.33,0,0,144.62,0,22,6.34,0,15

23,05:30-05:45,76.640000,0.000000,48.200000,260.890000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,96.410000,96.410000,2.130000,80.020000,271.150000,0.000000,75.200000,1.550000,1.610000,98.350000,0.000000,48.200000,13.67,0,0,6.84,0,7.01,0,0,0,0,0,0,0,6.83,0,0,144.62,0,20.5,6.34,0,13.67

24,05:45-06:00,76.640000,0.000000,48.200000,260.890000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,96.410000,96.410000,2.130000,86.960000,271.150000,0.000000,81.950000,1.550000,1.610000,98.350000,0.000000,48.200000,13.67,0,0,6.84,0,7.01,0,0,0,0,0,0,0,6.83,0,0,144.62,0,20.5,6.34,0,13.67

25,06:00-06:15,0.000000,0.000000,48.200000,260.890000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,96.410000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,0.000000,48.200000,13.67,0,0,6.84,0,7.01,0,0,0,0.16,0,0,0,6.83,0,0,144.62,0,20.5,6.34,0,13.67

26,06:15-06:30,0.000000,0.000000,48.200000,260.890000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,96.410000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,0.000000,48.200000,13.67,0,0,6.84,1,7.01,0,0,0,0.32,0,0,0,6.83,0,0,144.62,0,20.5,6.34,0,13.67

27,06:30-06:45,0.000000,0.000000,48.200000,260.890000,26.020000,0.000000,24.100000,0.000000,26.020000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,0.000000,48.200000,13.67,2.55,0,6.84,3,7.01,0,0,0,3.63,0,0,0,6.83,0,0,144.62,0,20.5,6.34,0,13.67

28,06:45-07:00,0.000000,0.010000,48.200000,260.890000,26.020000,0.000000,23.140000,0.010000,26.020000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,0.010000,48.200000,13.67,5.89,3.5,6.84,10,7.01,0,1.5,0,9.13,0,0,0,6.83,0,2.071851,144.62,0,20.5,6.34,0,13.67

29,07:00-07:15,0.000000,0.020000,48.200000,260.890000,25.340000,0.000000,23.140000,0.020000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,0.020000,48.200000,13.67,12.45,7,6.84,17,7.01,0,3,0,17.47,0,0,0,6.83,1,8.433309,144.62,0.5,20.5,6.34,0,13.67

30,07:15-07:30,0.000000,0.170000,48.200000,260.890000,25.340000,0.000000,23.140000,0.170000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,0.180000,48.200000,13.67,20.15,11,6.84,26.61,7.01,4.2,4,0,26.62,0.31,0,0.84,6.83,1,15.641016,144.62,1,20.5,6.34,1,13.67

31,07:30-07:45,0.000000,0.590000,48.200000,260.890000,25.340000,0.000000,22.170000,0.590000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,0.610000,48.200000,13.67,29.5,14,6.84,29.5,7.01,12.83,6,0,29.5,1.53,0,2.56,6.83,5,23.266984,144.62,3,20.5,6.34,2,13.67

32,07:45:08:00,0.000000,1.140000,48.200000,260.890000,25.340000,0.000000,22.170000,1.140000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,1.170000,48.200000,13.67,29.5,22,6.84,29.5,7.01,24.7,10,0,29.5,7.65,0,4.94,6.83,9,32.352002,144.62,7,20.5,6.34,5,13.67

33,08:00-08:15,0.000000,1.880000,48.200000,260.890000,25.340000,0.000000,22.170000,1.880000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,1.930000,48.200000,13.67,29.83,39,6.84,29.84,7.01,42.69,16,0,29.83,14.74,0,8.54,6.83,13,42.682076,144.62,8.68,20.5,6.34,7,13.67

34,08:15-08:30,0.000000,2.800000,48.200000,260.890000,25.340000,0.000000,22.170000,2.800000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,2.870000,48.200000,13.67,29.83,53,6.84,29.84,7.01,62.93,22,0,29.83,21.83,0,12.58,6.83,20,53.362322,144.62,13,20.5,6.34,10,13.67

35,08:30-08:45,0.000000,3.780000,48.200000,260.890000,25.340000,0.000000,22.170000,3.780000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,3.880000,48.200000,13.67,31.17,70,6.84,31.16,7.01,83.83,30,0,31.17,28.91,0,16.77,6.83,29,63.71185,144.62,17.52,20.5,6.34,14,13.67

