Block,Time,RIHAND3,SEWA2,NJPC,DADRI_RF,UNCHAHAR1,CHAMERA3,KISHANGANGA,UNCHAHAR3,DHAULIGNGA,ANTA_RF,ANTA_LF,RIHAND1,RIHAND2,SINGRAULI,RAPPC,SINGRAULI_HYDRO,UNCHAHAR4,TANAKPUR,AURY_GF,TANDA2,URI,DADRI_CRF,KOTESHWR,PARBATI3,URI2,JHAJJAR,NAPP,RAPPB,CHAMERA2,BSIUL,ANTA_GF,AURY_LF,AURY_CRF,DADRI_LF,DADRT2,SALAL,DULHASTI,RAMPUR,UNCHAHAR2,DADRI_GF,AURY_RF,TEHRI,ANTA_CRF,CHAMERA1,KOLDAM,KGSU3AND4,KKNP,TALA,SIMHST2,MAPS,TALST2,KSTPS7,VSTPS III,RSTPSU1TO6,KUDGI,VSTPS IV,FSTPP I & II,VSTPS I,GANDHAR-RLNG,NLCEXP,NTPL,KSTPS I&II,SASAN,KAWAS-NAPM,KAPS,KAWAS-RLNG,NLCTS2EXP,GADARWARA-I,BRBCL,NNTPP,GANDHAR-NAPM,NLCIIST2,NLCIIST1,SIPAT II,LARA-I,MOUDA_II,VSTPS V,KHSTPP-I,RSTPSU7,SOLAPUR,KHSTPP-II,VSTPS II,KAWAS-ComGas,VALLURNTECL,TAPS-II,GANDHAR-APM,GANDHAR-ComGas,KHARGONE-I,KGSU1AND2,KAWAS-zLIQ,SIPAT I,MOUDA,KAWAS-APM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,122.281677,16.603562,39.579192,0.000000,21.443627,30.647457,2.466002,26.046085,0.000000,0.000000,0.000000,91.160263,116.646885,138.616864,57.737237,1.039333,0.000000,1.114278,0.000000,0.000000,48.549228,0.000000,16.841964,0.000000,33.486722,225.445223,43.356110,0.000000,42.173383,19.002743,0.000000,0.000000,0.000000,0.000000,0.000000,34.815263,52.099522,0.764969,42.087186,0.000000,0.000000,31.958553,0.000000,27.157413,0.830968,2.11,1.57,0.000000,0.00,0.24,0.00,1.296892,1.894035,7.57,0.00,2.593784,17.390388,2.273456,0.000000,1.72,1.83,2.587248,337.284338,0.000000,0.801770,0.000000,0.00,0.000000,11.143723,0.14,0.000000,0.40,0.77,1.807575,4.115478,3.394049,1.283059,37.988548,1.88,1.711898,95.049234,1.877873,0.000000,0.00,1.325166,0.000000,0.000000,1.711897,1.92,0.000000,4.426725,1.873177,0.000000,0,0,0,0,0

2,00:15-00:30,122.281677,16.603562,39.579192,0.000000,21.443627,30.647457,2.466002,26.056840,0.000000,0.000000,0.000000,91.160263,116.646885,138.639811,57.737237,1.039333,0.000000,1.114278,0.000000,0.000000,48.549228,0.000000,16.841964,0.000000,33.486722,225.445223,43.356110,0.000000,42.173383,19.002743,0.000000,0.000000,0.000000,0.000000,0.000000,34.815263,52.099522,0.764969,42.087186,0.000000,0.000000,31.958553,0.000000,27.157413,0.000000,2.11,1.57,0.000000,0.00,0.24,0.00,1.296892,1.894035,7.57,0.00,2.593784,17.532407,2.273463,0.000000,1.72,1.83,2.587248,337.284338,0.000000,0.801770,0.000000,0.00,0.000000,11.143723,0.14,0.000000,0.40,0.77,1.807575,4.115478,3.394049,1.283059,38.197791,1.88,1.711898,95.049234,1.877873,0.000000,0.00,1.325166,0.000000,0.000000,1.711897,1.92,0.000000,4.426725,1.873177,0.000000,0,0,0,0,0

3,00:30-00:45,122.281677,16.603562,39.579192,0.000000,21.443627,30.647457,2.466002,26.056840,0.000000,0.000000,0.000000,91.160263,116.646885,138.639811,57.737237,1.039333,0.000000,1.114278,0.000000,0.000000,48.549228,0.000000,16.841964,0.000000,33.486722,222.515926,43.356110,0.000000,42.173383,19.002743,0.000000,0.000000,0.000000,0.000000,0.000000,34.815263,52.099522,0.764969,42.087186,0.000000,0.000000,31.958553,0.000000,27.157413,0.000000,2.11,1.57,0.000000,0.00,0.24,0.00,1.296892,1.894035,7.57,0.00,2.593784,17.532407,2.273463,0.000000,1.72,1.83,2.587248,337.284338,0.000000,0.801770,0.000000,0.00,0.000000,11.143723,0.14,0.000000,0.40,0.77,1.807575,4.115478,3.394049,1.283059,40.035311,1.88,1.711898,95.049234,1.877873,0.000000,0.00,1.325166,0.000000,0.000000,1.711897,1.92,0.000000,4.426725,1.873177,0.000000,0,0,0,0,0

4,00:45-01:00,122.281677,16.603562,39.579192,0.000000,21.443627,30.647457,2.466002,26.056840,0.000000,0.000000,0.000000,91.160263,116.646885,138.639811,57.737237,1.039333,0.000000,1.114278,0.000000,0.000000,51.216768,0.000000,16.841964,0.000000,33.486722,222.515926,43.356110,0.000000,42.173383,19.002743,0.000000,0.000000,0.000000,0.000000,0.000000,34.815263,52.099522,0.764969,42.087186,0.000000,0.000000,31.958553,0.000000,27.157413,0.000000,2.11,1.57,0.000000,0.00,0.24,0.00,1.296892,1.894035,7.57,0.00,2.593784,17.532407,2.273463,0.000000,1.72,1.83,2.587248,337.284338,0.000000,0.801770,0.000000,0.00,0.000000,11.143723,0.14,0.000000,0.40,0.77,1.807575,4.115478,3.394049,1.283059,43.902826,1.88,1.711898,95.049234,1.877873,0.000000,0.00,1.325166,0.000000,0.000000,1.711897,1.92,0.000000,4.426725,1.873177,0.000000,0,0,0,0,0

5,01:00-01:15,122.281677,16.603562,39.579192,0.000000,21.443627,30.647457,2.466002,26.056840,0.000000,0.000000,0.000000,91.160263,116.646885,138.639811,57.737237,1.039333,0.000000,0.742852,0.000000,0.000000,51.216768,0.000000,16.841964,0.000000,33.486722,222.515926,43.356110,0.000000,42.173383,19.002743,0.000000,0.000000,0.000000,0.000000,0.000000,34.815263,52.099522,0.764969,42.087186,0.000000,0.000000,31.958553,0.000000,27.157413,0.000000,2.11,1.57,0.000000,0.00,0.24,0.00,1.296892,1.894035,7.57,0.00,2.593784,17.532407,2.273463,0.000000,1.72,1.83,2.587248,337.284338,0.000000,0.801770,0.000000,0.00,0.000000,7.936317,0.14,0.000000,0.40,0.77,1.807575,4.115478,3.394049,1.283059,44.844711,1.88,1.711898,95.049234,1.877873,0.000000,0.00,1.325166,0.000000,0.000000,1.711897,1.92,0.000000,4.426725,1.873177,0.000000,0,0,0,0,0

