Block,Time,KOTESHWR,MAPS,NLCIIST1,RIHAND1,RIHAND3,TANAKPUR,TANDA2,ANTA_LF,AURY_CRF,DADRI_GF,DADRT2,DHAULIGNGA,KISHANGANGA,NLCEXP,RSTPSU1TO6,SASAN,SINGRAULI,TALST2,UNCHAHAR2,VALLURNTECL,ANTA_CRF,AURY_LF,BRBCL,JHAJJAR,RAMPUR,SIMHST1,SIMHST2,TEHRI,UNCHAHAR3,URI2,ANTA_GF,KKNPPU2,NNTPP,RAPPB,RIHAND2,ANTA_RF,AURY_GF,CHAMERA1,KGSU1AND2,KUDGI,NAPP,RAPPC,SALAL,SEWA2,TALA,TelanganaSTPP,URI,DADRI_CRF,DULHASTI,KOLDAM,NJPC,RSTPSU7,AURY_RF,BSIUL,FSTPP I & II,KGSU3AND4,PARBATI3,UNCHAHAR1,DADRI_LF,CHAMERA2,CHAMERA3,KHSTPP-I,KHSTPP-II,KKNP,NLCIIST2,NLCTS2EXP,NTPL,SINGRAULI_HYDRO,UNCHAHAR4,DADRI_RF
1,00:00-00:15,8.87,0,0,92,60.02,12.81,0,0,0,0,341.57,9.11,0,0,0,405,139.68,0,42.4,0,0,0,15,654.31,0,0,0,14.93,26.39,4.57,0,0,0,0,118.76,42.74,0,0,0,0,41.55,51.78,12.78,0,0,0,2.21,0,32.96,0,42.62,0,69.5,0,20.8,0,0,20.84,21.92,2,0,45.53,148.3,0,0,0,0,0,0,66.85

2,00:15-00:30,8.87,0,0,92,60.02,12.81,0,0,0,0,341.57,9.11,0,0,0,405,139.68,0,42.4,0,0,0,15,654.31,0,0,0,14.93,26.39,4.57,0,0,0,0,118.76,42.74,0,0,0,0,41.55,51.78,12.78,0,0,0,2.21,0,32.96,0,42.62,0,69.5,0,20.8,0,0,20.84,21.92,2,0,45.53,148.3,0,0,0,0,0,0,66.85

3,00:30-00:45,8.87,0,0,92,60.02,7.68,0,0,0,0,341.57,9.11,0,0,0,405,139.68,0,42.4,0,0,0,15,654.31,0,0,0,14.93,26.39,4.57,0,0,0,0,118.76,42.74,0,0,0,0,41.55,51.78,12.78,0,0,0,2.21,0,32.96,0,23.39,0,69.5,6.52,20.8,0,0,20.84,21.92,2,0,45.53,148.3,0,0,0,0,0,0,66.85

4,00:45-01:00,8.87,0,0,92,60.02,7.68,0,0,0,0,341.57,9.11,0,0,0,405,139.68,0,42.4,0,0,0,15,654.31,0,0,0,14.93,26.39,4.57,0,0,0,0,118.76,42.74,0,0,0,0,41.55,51.78,12.78,0,0,0,2.21,0,32.96,0,23.39,0,69.5,6.52,20.8,0,0,20.84,21.92,2,0,45.53,148.3,0,0,0,0,0,0,66.85

5,01:00-01:15,8.87,0,0,92,60.02,7.68,0,0,0,0,341.57,1.32,0,0,0,405,139.68,0,42.4,0,0,0,15,654.31,0,0,0,14.93,26.39,4.57,0,0,0,0,118.76,42.74,0,0,0,0,41.55,51.78,26.73,0,0,0,2.21,0,32.96,0,23.39,0,69.5,6.52,20.8,0,0,20.84,21.92,2,0,45.53,148.3,0,0,0,0,0,0,66.85

