Block,Time,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/01032024/15032024/HP-62,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01032024/15032024/BYPL-APPCPL-KSEB,NR/01102023/02012046/L_NR_2021_17,NR/01032024/31032024/NVVN/OA/16997,NR/01032024/22032024/HP-59,NR/01102023/19072037/LT-05,WR/01102023/31032046/L_NR_2020_05,NR/01102023/14082046/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/30042040/GNA_LT_36,NR/01032024/22032024/HP-56,NR/30092023/26122029/SH-06,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01032024/31032024/SJVN010324NR1588,WR/01102023/01102023/L_NR_2020_06,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/30042040/GNA_LT_35,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/01102023/05012040/L_NR_2020_02,NR/26072023/25122043/L_NR_2023_10,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01012024/31032024/ ChanjuII,NR/01102023/22052037/LT-59,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/01102023/23072042/L_NR_2012_04,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,0,0,48.14,98.210000,0,96.27,0,48.140000,32.760000,47.170000,32.5,0,8.34,0,63.130000,6.61,0.000000,10.83,16.67,0,0.000000,76.530000,25.020000,0,96.27,25.030000,25.980000,0,10.84,0,0.000000,0,0,16.67,0,0,1.340000,0,0.950000,99.750000,0.000000,3.490000,0.850000,0,0,270.760000,144.405000,200.600000

2,00:15-00:30,0,0,48.14,98.210000,0,96.27,0,48.140000,32.760000,47.170000,32,0,8.34,0,63.130000,6.61,0.000000,10.67,16.33,0,0.000000,76.530000,25.020000,0,96.27,25.030000,25.980000,0,10.66,0,0.000000,0,0,16.33,0,0,1.340000,0,0.950000,99.750000,0.000000,3.490000,0.850000,0,0,270.760000,144.405000,200.600000

3,00:30-00:45,0,0,48.14,98.210000,0,96.27,0,48.140000,32.760000,47.170000,22.5,0,8.34,0,52.630000,6.61,0.000000,7.5,16.33,0,0.000000,76.530000,25.020000,0,96.27,25.030000,25.980000,0,7.5,0,0.000000,0,0,16.33,0,0,1.340000,0,0.950000,72.200000,0.000000,3.490000,0.850000,0,0,270.760000,144.405000,200.600000

4,00:45-01:00,0,0,48.14,98.210000,0,96.27,0,48.140000,32.760000,47.170000,22.5,0,8.34,0,52.630000,6.61,0.000000,7.5,16,0,0.000000,76.530000,25.020000,0,96.27,25.030000,25.980000,0,7.5,0,0.000000,0,0,16,0,0,1.340000,0,0.950000,72.200000,0.000000,3.490000,0.850000,0,0,270.760000,144.405000,200.600000

5,01:00-01:15,0,0,48.14,98.210000,0,96.27,0,48.140000,32.760000,47.170000,22.5,0,8.34,0,52.630000,6.61,0.000000,7.5,16,0,0.000000,76.530000,25.020000,0,96.27,25.030000,25.980000,0,7.5,0,0.000000,0,0,16,0,0,1.340000,0,0.950000,99.750000,0.000000,3.490000,0.850000,0,0,270.760000,144.405000,200.600000

