Column1,Block,NR/2024/23885/C,NR/2024/23879/C,NR/2024/23884/C,NR/2024/23845/A/42574,NR/2024/23420/A/42567,NR/2024/23769/A/42571,NR/2024/23809/A/42570,WR/2024/24788/A/42708,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/4503,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/1868,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/5444,Total
,,SJVNL,NVVNL,SJVNL,DIAPL,ITCLH,IEXL,IEXL,APPCPL,MANIKARAN,APPCPL,PTC,NDMC,NDMC,BAWANA_GAS,NDMC,PUNJAB,DELHI,PTC,NDMC,NDMC,NDMC,
,,NA,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,
,,RSRPL_BKN,SOLAPUR_SOLAR,TPSL_BKN2,GBHHPL,ITCWIND,NSLSUGAR,NSLSTUNGBHDRA,BRPL,BRPL,BYPL,BYPL,RKM_POWER,TRN_ENERGY,BAWANA_GAS,SKS_Raigarh,BAWANA_GAS,CHANJUII,BRPL,JPL2,JITPL,RKM_POWER,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,MSEB_State,MSEB_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,MES_Delhi,NDMC,DIAPL,ITCLH,MES_Delhi,MES_Delhi,GOA_Beneficiary,AEML,AEML,HP,NDMC,NDMC,HARYANA,NDMC,PUNJAB,TPDDL,HP,NDMC,NDMC,NDMC,
,,North-North,West-North,North-North,North-North,South-West-North,South-West-North,South-West-North,North-West,North-West,North-West,North-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,West-North,East-North,West-North,
1,00:00-00:15,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

2,00:15-00:30,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

3,00:30-00:45,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

4,00:45-01:00,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

5,01:00-01:15,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

6,01:15-01:30,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

7,01:30-01:45,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

8,01:45-02:00,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

9,02:00-02:15,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

10,02:15-02:30,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

11,02:30-02:45,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

