Block,Time Block,BRBCL,CHAMERA1,BSIUL,KISHANGANGA,KKNP,KKNPPU2,CHAMERA3,CHAMERA2,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,MAPS,NLCEXP,NJPC,NLCIIST1,NAPP,RIHAND3,RAPPB,RIHAND1,RIHAND2,RAPPC,RSTPSU1TO6,TALA,TANAKPUR,SINGRAULI_HYDRO,TALST2,PARBATI3,NLCIIST2,NLCTS2EXP,NTPL,NNTPP,RAMPUR,SASAN,SEWA2,SINGRAULI,SIMHST2,SALAL,SIMHST1,KHSTPP-I,KGSU1AND2,KGSU3AND4,KHSTPP-II,JHAJJAR,KUDGI,KOLDAM,KOTESHWR,RSTPSU7,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_RF,AURY_LF,DADRI_GF,AURY_GF,URI2,ANTA_GF,UNCHAHAR3,AURY_CRF,ANTA_CRF,UNCHAHAR2,ANTA_RF,URI,UNCHAHAR1,VALLURNTECL,ANTA_LF,UNCHAHAR4,TelanganaSTPP,TANDA2,TEHRI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,14.52,13.6,0,0,0,0,20.68,27.42,366,38.9,20.13,52.77,0,0,123.65,0,43.54,123.48,0,45.8,117.78,58,0,10.34,10.61,0,0,14.96,0,0,0,0,2.66,405.24,0,101.76,0,62.97,0,43.47,0,0,95.68,240.88,0,3.88,18.7,0,0,0,0,0,0,0,0,10.02,0,0,0,0,28.54,0,49.15,11.84,0,0,1.57,0,2.71,51.44,0,0,0,0,0

2,00:15-00:30,14.52,0,0,0,0,0,20.68,27.42,366,38.9,20.13,52.77,0,0,123.65,0,43.54,123.48,0,45.8,117.78,58,0,10.34,10.61,0,0,3.81,0,0,0,0,2.66,405.24,0,103.27,0,62.97,0,43.47,0,0,95.68,240.88,0,3.88,18.7,0,0,0,0,0,0,0,0,10.02,0,0,0,0,28.54,0,49.15,11.84,0,0,1.57,0,2.71,51.44,0,0,0,0,0

3,00:30-00:45,14.52,0,0,0,0,0,20.68,27.42,366,38.9,20.13,52.77,0,0,123.65,0,43.54,123.48,0,45.8,117.78,58,0,10.34,10.61,0,0,0,0,0,0,0,2.66,405.24,0,103.27,0,76.82,0,43.47,0,0,95.68,240.88,0,3.88,18.7,0,0,0,0,0,0,0,0,34.31,0,0,0,0,28.54,0,8.54,11.84,0,0,1.57,0,2.71,51.44,0,0,0,0,0

4,00:45-01:00,13.89,0,0,0,0,0,20.68,27.42,366,38.9,20.13,52.77,0,0,123.65,0,43.54,123.48,0,45.8,117.78,58,0,10.34,10.61,0,0,0,0,0,0,0,2.66,405.24,0,103.27,0,76.82,0,43.47,0,0,95.68,240.88,0,3.88,18.7,0,0,0,0,0,0,0,0,34.31,0,0,0,0,28.54,0,8.54,11.84,0,0,1.57,0,2.71,34.3,0,0,0,0,0

5,01:00-01:15,13.32,0,0,0,0,0,20.68,27.42,366,38.9,20.13,52.77,0,0,123.65,0,43.54,123.48,0,45.8,117.78,58,0,10.34,10.61,0,0,0,0,0,0,0,2.66,405.24,0,103.27,0,76.82,0,43.47,0,0,95.68,240.88,0,3.88,18.7,0,0,0,0,0,0,0,0,25.74,0,0,0,0,28.54,0,10.68,11.84,0,0,1.57,0,2.71,34.3,0,0,0,0,0

