Block,Time,URI2,UNCHAHAR2,DADRI_CRF,DADRI_GF,AURY_RF,ANTA_RF,KOTESHWR,NJPC,UNCHAHAR1,SINGRAULI_HYDRO,TANAKPUR,KOLDAM,RIHAND2,URI,RAPPB,PARBATI3,DHAULIGNGA,RIHAND3,UNCHAHAR3,KISHANGANGA,DADRI_RF,UNCHAHAR4,ANTA_CRF,RAPPC,RAMPUR,AURY_GF,SEWA2,DADRT2,NAPP,DADRI_LF,CHAMERA1,SINGRAULI,ANTA_GF,ANTA_LF,JHAJJAR,TANDA2,TEHRI,RIHAND1,CHAMERA2,AURY_CRF,CHAMERA3,BSIUL,AURY_LF,DULHASTI,SALAL,BRBCL,KHSTPP-I,TALA,SASAN,KHSTPP-II,FSTPP I & II,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,31.729878,19.463815,0.000000,0.000000,0.000000,0.000000,9.531662,135.671898,19.314666,1.035606,12.878764,0.000000,114.186604,46.958419,0.000000,0.000000,8.811374,119.542122,25.511310,0.000000,0.000000,0.000000,0.000000,49.437715,0.000000,0.000000,0.000000,663.900462,38.096874,0.000000,40.744549,134.670977,0.000000,0.000000,631.400202,0.000000,43.849512,88.936400,38.194433,0.000000,18.711136,6.335558,0.000000,47.790319,83.124600,19.334041,30.219525,18.473637,404.778509,142.597917,12.765274,43.71,0,0,0,0,0

2,00:15-00:30,31.729878,19.469435,0.000000,0.000000,0.000000,0.000000,9.531662,135.671898,19.314666,1.035606,12.878764,0.000000,114.186604,46.958419,0.000000,0.000000,8.811374,119.542122,25.511310,0.000000,0.000000,0.000000,0.000000,49.437715,0.000000,0.000000,0.000000,663.900462,38.096874,0.000000,40.744549,134.670977,0.000000,0.000000,631.400202,0.000000,43.849512,88.936400,38.194433,0.000000,18.711136,6.335558,0.000000,47.790319,83.124600,19.334041,30.219525,18.473637,404.824959,142.597917,12.765274,43.50,0,0,0,0,0

3,00:30-00:45,31.729878,19.469435,0.000000,0.000000,0.000000,0.000000,9.531662,135.671898,19.314666,1.035606,12.878764,0.000000,114.186604,16.008552,0.000000,0.000000,8.811374,119.542122,25.511310,0.000000,0.000000,0.000000,0.000000,49.437715,0.000000,0.000000,0.000000,663.900462,38.096874,0.000000,34.595293,134.670977,0.000000,0.000000,631.400202,0.000000,43.849512,88.936400,38.194433,0.000000,9.355568,6.335558,0.000000,47.790319,83.124600,19.334041,30.219525,18.473637,404.824959,142.597917,12.765274,43.50,0,0,0,0,0

4,00:45-01:00,31.729878,19.469435,0.000000,0.000000,0.000000,0.000000,9.531662,135.671898,19.314666,1.035606,12.878764,0.000000,114.186604,14.941315,0.000000,0.000000,8.811374,119.542122,25.511310,0.000000,0.000000,0.000000,0.000000,49.437715,0.000000,0.000000,0.000000,663.900462,38.096874,0.000000,27.111102,134.670977,0.000000,0.000000,631.400202,0.000000,43.849512,88.936400,20.617778,0.000000,9.355568,6.335558,0.000000,47.790319,83.124600,16.923830,30.219525,18.473637,404.824959,142.597917,12.765274,43.50,0,0,0,0,0

5,01:00-01:15,31.729878,19.469435,0.000000,0.000000,0.000000,0.000000,9.531662,135.671898,19.314666,1.035606,12.878764,0.000000,114.186604,14.941315,0.000000,0.000000,8.811374,119.542122,25.511310,0.000000,0.000000,0.000000,0.000000,49.437715,0.000000,0.000000,0.000000,663.900462,38.096874,0.000000,27.111102,134.670977,0.000000,0.000000,631.400202,0.000000,43.849512,88.936400,20.617778,0.000000,9.355568,6.335558,0.000000,47.790319,83.124600,15.991526,30.219525,18.473637,404.824959,142.597917,12.765274,43.50,0,0,0,0,0

