Block,Time Block,AURY_CRF,AURY_GF,ANTA_RF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,DADRI_CRF,RIHAND1,DADRT2,CHAMERA3,CHAMERA2,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,CHAMERA1,BSIUL,BRBCL,NAPP,KUDGI,NLCEXP,MAPS,NLCIIST1,NJPC,TALA,RIHAND2,SASAN,TANDA2,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,TALST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,TANAKPUR,RIHAND3,URI2,UNCHAHAR3,ANTA_CRF,TEHRI,TelanganaSTPP,UNCHAHAR2,URI,ANTA_LF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_GF,TEHRIPSP,KOTESHWR,NTPL,RAPPD,RAMPUR,RAPPC,PARBATI3,PARBATI2,RAPPB,JHAJJAR,KHSTPP-I,KHSTPP-II,NLCIIST2,NLCTS2EXP,NNTPP,FSTPP I & II,DULHASTI,DHAULIGNGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,94.76,566.62,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,15.32,23.35,0,0,0,0,169.43,20.48,120.74,335.04,5.35,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,36.07,26.69,0,64.21,0,43.37,51.07,0,20.87,3.1,0,0,0,29.33,0,23.45,5.49,62.91,40.11,10.84,0,457.62,43.88,95.29,0,0,0,18.09,53.38,40.92,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,94.76,566.62,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,14.51,23.35,0,0,0,0,169.43,20.48,120.74,336.13,5.35,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,36.07,26.69,0,64.21,0,43.37,51.07,0,20.87,3.1,0,0,0,29.33,0,23.45,5.49,62.91,40.11,10.84,0,457.62,43.88,95.29,0,0,0,18.23,53.38,40.92,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,94.76,566.62,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,13.11,23.35,0,0,0,0,169.43,20.48,120.74,340.79,5.35,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,30.04,26.69,0,64.21,0,43.37,51.07,0,20.87,3.1,0,0,0,29.33,0,23.45,5.49,62.91,35.82,10.84,0,457.62,43.88,95.29,0,0,0,18.23,53.38,40.92,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,94.76,562.59,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,11.28,23.35,0,0,0,0,169.43,20.48,120.74,341.55,5.35,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,30.04,26.69,0,64.21,0,43.37,46.81,0,20.87,3.1,0,0,0,29.33,0,23.45,5.49,62.91,35.82,10.84,0,404.61,43.88,95.29,0,0,0,18.23,53.38,40.92,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,94.76,506.48,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,8.89,23.35,0,0,0,0,169.43,20.48,120.74,325.28,5.35,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,36.07,26.69,0,64.21,0,43.37,46.81,0,20.87,3.1,0,0,0,29.33,0,23.45,5.49,62.91,35.82,10.84,0,375.7,43.88,95.29,0,0,0,18.23,53.38,40.92,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,94.76,454.64,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,9.45,23.35,0,0,0,0,169.43,20.48,120.74,325.28,5.35,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,36.07,26.69,0,64.21,0,43.37,46.81,0,20.87,3.1,0,0,0,29.33,0,23.45,5.49,62.91,35.82,10.84,0,375.7,43.88,95.29,0,0,0,18.23,53.38,40.92,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,94.76,406.45,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,9.11,23.35,0,0,0,0,169.43,20.68,120.74,325.28,5.35,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,30.04,26.69,0,64.21,0,43.37,46.81,0,20.87,3.1,0,0,0,29.33,0,23.45,5.49,62.91,35.82,10.84,0,375.7,43.88,95.29,0,0,0,18.23,53.38,40.92,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,94.76,358.26,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,9.95,23.35,0,0,0,0,169.43,20.68,120.74,325.28,5.35,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,30.04,26.69,0,64.21,0,43.37,46.81,0,20.87,3.1,0,0,0,29.33,0,23.45,5.49,62.91,35.82,10.84,0,375.7,43.88,95.29,0,0,0,18.23,53.38,40.92,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,94.76,355.92,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,13.14,23.35,0,0,0,0,169.43,20.68,120.74,325.28,4.77,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,36.07,25.56,0,64.21,0,39.63,46.81,0,19.92,2.47,0,0,0,19.77,0,23.45,5.49,62.91,35.82,10.84,0,367.92,43.88,95.29,0,0,0,18.23,53.38,40.92,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0,94.76,355.92,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,14.09,23.35,0,0,0,0,169.43,20.68,120.74,325.28,3.57,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,36.07,25.56,0,64.21,0,38.96,46.81,0,19.92,1.46,0,0,0,19.56,0,23.45,5.49,62.91,35.82,10.84,0,367.92,43.88,95.29,0,0,0,18.23,53.38,40.92,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0,94.76,347.11,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,12.05,23.35,0,0,0,0,169.43,20.68,120.74,325.28,2.59,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,30.04,25.46,0,64.21,0,38.44,46.81,0,19.9,1.46,0,0,0,19.56,0,23.45,5.49,62.91,35.82,10.84,0,367.92,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,0,0,94.76,323.02,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,14.72,23.35,0,0,0,0,169.43,20.68,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,10.62,126.1,30.04,25.46,0,64.21,0,38.44,46.81,0,19.9,1.46,0,0,0,19.56,0,23.45,5.49,62.91,35.82,10.84,0,326.19,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,0,0,94.76,368.8,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,15.66,23.35,0,0,0,0,169.43,20.68,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,36.07,24.9,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,19.56,0,23.45,5.49,62.91,35.82,10.84,0,290.46,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,0,0,94.76,344.7,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,15.96,23.35,0,0,0,0,169.43,20.45,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,36.07,24.9,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,19.56,0,23.45,5.49,62.91,35.82,10.84,0,248.79,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,0,0,94.76,332.66,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,13.4,23.35,0,0,0,0,169.43,20.34,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,30.04,24.9,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,19.56,0,23.45,5.49,62.91,35.82,10.84,0,248.79,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

16,03:45-04:00,0,0,0,0,0,0,0,0,0,94.76,284.47,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,14.87,23.35,0,0,0,0,169.43,20.2,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,30.04,24.9,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,19.56,0,23.45,5.49,62.91,35.82,10.84,0,248.79,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

17,04:00-04:15,0,0,0,0,0,0,0,0,0,94.76,197.72,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,14.96,23.35,0,0,0,0,169.43,20.2,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,36.07,26.02,0,64.21,0,42.03,46.81,0,17.69,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,248.79,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

18,04:15-04:30,0,0,0,0,0,0,0,0,0,94.76,197.72,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,16.47,23.35,0,0,0,0,169.43,20.06,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,36.07,22.51,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,248.79,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

19,04:30-04:45,0,0,0,0,0,0,0,0,0,94.76,217,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,18.43,23.35,0,0,0,0,169.43,19.94,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,30.04,22.51,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,248.79,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

20,04:45-05:00,0,0,0,0,0,0,0,0,0,94.76,178.45,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,19.81,23.35,0,0,0,0,169.43,19.88,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,30.04,22.51,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,248.79,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

21,05:00-05:15,0,0,0,0,0,0,0,0,0,94.76,149.53,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,23.54,23.35,0,0,0,0,169.43,19.88,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,36.07,22.51,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,248.79,43.88,95.29,0,0,0,16.02,53.38,40.92,0,0,0,0,0

22,05:15-05:30,0,0,0,0,0,0,0,0,0,94.76,101.34,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,21.53,23.35,0,0,0,0,169.43,19.55,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,36.07,22.51,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,248.79,43.88,95.29,0,0,0,16.02,53.38,40.92,0,0,0,0,0

23,05:30-05:45,0,0,0,0,0,0,0,0,0,94.76,112.91,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,24.09,23.35,0,0,0,0,169.43,19.55,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,30.04,22.51,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,283.11,43.88,95.29,0,0,0,16.02,53.38,40.92,0,0,0,0,0

24,05:45-06:00,0,0,0,0,0,0,0,0,0,94.76,132.19,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,17.28,23.35,0,0,0,0,169.43,19.55,120.74,325.28,2.52,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,30.04,22.51,0,64.21,0,36.4,46.81,0,17.69,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,283.11,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

25,06:00-06:15,0,0,0,0,0,0,0,0,0,94.76,128.33,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,18.54,23.35,0,0,0,0,169.43,19.86,120.74,325.28,1.25,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,30.04,22.51,0,64.21,0,36.4,46.81,0,17.69,0,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,283.11,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

26,06:15-06:30,0,0,0,0,0,0,0,0,0,94.76,128.33,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,21.67,23.35,0,0,0,0,169.43,19.66,120.74,325.28,1.25,0,0,0,0,0,0,76.15,17.68,72.23,9.5,126.1,30.04,22.51,0,64.21,0,36.4,51.07,0,17.69,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,283.11,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

27,06:30-06:45,0,0,0,0,0,0,0,0,0,94.76,128.33,32.71,45.41,0,0,0,0,8.31,6.71,40.62,12.57,23.23,23.35,0,0,0,0,169.43,19.57,120.74,333.11,2.52,0,0,0,0,0,0,75.03,17.68,72.23,9.5,126.1,30.04,22.51,0,48.16,0,36.4,51.07,0,17.69,1.6,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,283.11,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

28,06:45-07:00,0,0,0,0,0,0,0,0,0,94.76,106.16,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,18.15,23.35,0,0,0,0,169.43,19.57,120.74,336.13,2.52,0,0,0,0,0,0,75.03,17.68,72.23,9.5,126.1,30.04,17.09,0,32.1,0,27.49,51.07,0,13.45,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,273.83,43.88,95.29,0,0,0,16.08,53.38,40.92,0,0,0,0,0

29,07:00-07:15,0,0,0,0,0,0,0,0,0,94.76,85.92,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,17.33,23.35,0,0,0,0,169.43,19.57,120.74,338.65,2.52,0,0,0,0,0,0,75.03,17.68,72.23,11.48,126.1,30.04,17.09,0,16.06,0,27.49,46.81,0,13.45,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,273.83,43.88,95.29,0,0,0,14.52,53.38,40.92,0,0,0,0,0

30,07:15-07:30,0,0,0,0,0,0,0,0,0,94.76,64.72,32.71,45.41,0,0,0,0,8.31,6.71,40.62,18.85,18.45,23.35,0,0,0,0,169.43,19.6,120.74,341.36,2.52,0,0,0,0,0,0,75.03,17.68,72.23,11.48,126.1,30.04,17.09,0,0,0,27.49,46.81,0,13.45,1.46,0,0,0,9.77,0,23.45,5.49,62.91,35.82,10.84,0,273.83,43.88,95.29,0,0,0,14.52,53.38,40.92,0,0,0,0,0

