Block,Time,KOLDAM,KOTESHWR,RSTPSU7,TANAKPUR,UNCHAHAR4,AURY_GF,AURY_RF,NAPP,NJPC,RIHAND2,SEWA2,UNCHAHAR1,URI2,ANTA_GF,DADRI_RF,BRBCL,CHAMERA1,DULHASTI,KHSTPP-II,KKNPPU2,RAPPB,RIHAND1,SIMHST2,SINGRAULI_HYDRO,TALA,TEHRI,ANTA_CRF,DADRI_CRF,KUDGI,RIHAND3,SASAN,TALST2,TelanganaSTPP,UNCHAHAR2,VALLURNTECL,DHAULIGNGA,KHSTPP-I,KISHANGANGA,NTPL,TANDA2,BSIUL,CHAMERA2,CHAMERA3,DADRT2,FSTPP I & II,KGSU3AND4,NLCEXP,NLCTS2EXP,NNTPP,RAMPUR,RAPPC,SALAL,SINGRAULI,JHAJJAR,KGSU1AND2,KKNP,NLCIIST1,RSTPSU1TO6,SIMHST1,UNCHAHAR3,ANTA_RF,DADRI_GF,DADRI_LF,MAPS,NLCIIST2,PARBATI3,URI,ANTA_LF,AURY_CRF,AURY_LF
1,00:00-00:15,5.35,19.32,0,8.71,1.62,0,77.33,44.75,167.1,121.71,0,20.96,36.05,0,95.63,20.01,28.1,36.23,98.87,0,0,90.54,0,0,9.55,35.44,0,0,0,127.6,362.25,0,0,43.71,0,40.4,44.31,1.44,0,2.89,13.04,44.22,32.08,686.07,20.8,0,0,0,0,3.54,60.68,83.67,127.75,413.81,0,0,0,0,0,27.05,31.81,0,0,0,0,21.08,36.43,0,0,0

2,00:15-00:30,5.35,19.32,0,8.71,1.62,0,77.33,44.75,167.1,121.71,0,20.96,36.05,0,95.63,20.01,28.1,36.23,98.87,0,0,90.54,0,0,9.55,35.44,0,0,0,127.6,362.25,0,0,43.71,0,40.4,44.31,1.44,0,2.89,13.04,44.22,32.08,686.07,20.8,0,0,0,0,3.54,60.68,83.67,127.75,413.81,0,0,0,0,0,27.05,31.81,0,0,0,0,21.08,36.43,0,0,0

3,00:30-00:45,5.35,19.32,0,8.71,1.62,0,77.33,44.75,167.1,121.71,0,20.96,36.05,0,95.63,20.01,28.1,36.23,98.87,0,0,90.54,0,0,9.67,35.44,0,0,0,127.6,362.25,0,0,43.71,0,40.4,44.31,1.44,0,2.89,13.04,44.22,32.08,686.07,20.8,0,0,0,0,3.54,60.68,83.67,127.75,413.81,0,0,0,0,0,27.05,31.81,0,0,0,0,21.08,36.43,0,0,0

4,00:45-01:00,5.35,19.32,0,8.71,1.62,0,77.33,44.75,167.1,121.71,0,20.96,36.05,0,95.63,20.01,28.1,36.23,98.87,0,0,90.54,0,0,9.67,35.44,0,0,0,127.6,362.25,0,0,43.71,0,40.4,44.31,1.44,0,2.89,13.04,44.22,32.08,686.07,20.8,0,0,0,0,3.54,60.68,83.67,127.75,413.81,0,0,0,0,0,27.05,31.81,0,0,0,0,21.08,36.43,0,0,0

5,01:00-01:15,5.35,19.32,0,8.71,1.62,0,77.33,44.75,167.1,121.71,0,20.96,26.6,0,95.63,20.01,28.1,36.23,98.87,0,0,90.54,0,0,9.67,35.44,0,0,0,127.6,362.25,0,0,43.71,0,40.4,44.31,1.44,0,2.89,13.04,44.22,32.08,686.07,20.8,0,0,0,0,3.54,60.68,83.67,127.75,413.81,0,0,0,0,0,27.05,31.81,0,0,0,0,7.03,29.81,0,0,0

