Column1,Block,NR/2024/24570/C,NR/2024/24052/A/47206,NR/2024/24051/A/47207,NR/2024/24071/A/47205,NER/2024/2770/A/47390,NR/2024/24097/A/47198,NR/2024/24571/C,NR/2024/24146/A/47194,NR/2024/24572/C,GNA/WR/2024/11/01/4200,NR/2024/24088/A/47201,NR/2024/24567/C,NR/2024/24060/A/47389,GNA/WR/2024/10/15/7089,NR/2024/23952/A/47178,WR/2024/25054/A/47396,NR/2024/24227/A/47341,NR/2024/24225/A/47335,NR/2024/24574/C,NR/2024/24224/A/47333,GNA/NR/2024/12/01/1899,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/3428,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1475,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/31/7325,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/2197,Total
,,SJVNL,IEXL,IEXL,IEXL,APPCPL,IEXL,SJVNL,IEXL,SJVNL,MANIKARAN,IEXL,TPDDL,NVVNL,APPCPL,ITCLH,APPCPL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,SJVNL,ABLWM1_AEROCITY,NDMC,DELHI,NDMC,KSEB,NDMC,PUNJAB,BAWANA_GAS,NDMC,PTC,HPXL,PTC,NDMC,
,,NA,TELANGANA_State,TELANGANA_State,NA,DELHI_UT,KARNATAKA_STATE,KARNATAKA_STATE,MP_State,KARNATAKA_STATE,DELHI_UT,KARNATAKA_STATE,NA,NA,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,NA,
,,TPSL_BKN2,NSLKSLWPRTY,NSLKSLWPRTY,TESPL_BKN2,BYPL,NSLSUGARALAND,RENUKASUGARSHAVALGA,NSPLN_MP,RENUKASUGARSATHANI,BRPL,NSLSTUNGBHDRA,JHAJJAR,JITPL,BYPL,ITCWIND,BRPL,TESPL_BKN2,TESPL_BKN2,RSRPL_BKN,TESPL_BKN2,TRN_ENERGY,CHANJUII,SKS_Raigarh,BYPL,JPL2,BAWANA_GAS,BAWANA_GAS,RKM_POWER,BYPL,JPNIGRIE_JNSTPP,BRPL,RKM_POWER,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,
,,NDMC,MES_Delhi,MES_Delhi,MES_Delhi,Manipur_Ben,MES_Delhi,NDMC,MES_Delhi,NDMC,AEML,MES_Delhi,TPDDL,NDMC,AEML,ITCLH,GOA_Beneficiary,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,NDMC,ABLWM1_AEROCITY,NDMC,TPDDL,NDMC,KSEB,NDMC,PUNJAB,HARYANA,NDMC,HP,BRPL,HP,NDMC,
,,North-North,South-West-North,South-West-North,North-North,North-East-North East,South-West-North,South-West-North,West-North,South-West-North,North-West,South-West-North,North-North,East-North,North-West,South-West-North,North-West,North-North,North-North,North-North,North-North,West-North,North-North,West-North,North-West-South,West-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,
1,00:00-00:15,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.43,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.10999999999996

2,00:15-00:30,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.43,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.10999999999996

