Block,Time,AURY_RF,KISHANGANGA,ANTA_RF,CHAMERA1,URI,DHAULIGNGA,UNCHAHAR2,URI2,DADRI_RF,NJPC,KOLDAM,RIHAND2,ANTA_CRF,RAPPC,AURY_CRF,UNCHAHAR3,JHAJJAR,RIHAND1,KOTESHWR,AURY_GF,RAPPB,TEHRI,ANTA_GF,DADRT2,RAMPUR,CHAMERA3,ANTA_LF,TANDA2,UNCHAHAR4,DADRI_CRF,PARBATI3,UNCHAHAR1,DULHASTI,SINGRAULI,BSIUL,AURY_LF,SALAL,DADRI_LF,RIHAND3,NAPP,SINGRAULI_HYDRO,SEWA2,TANAKPUR,CHAMERA2,DADRI_GF,TALA,KHSTPP-II,KHSTPP-I,BRBCL,SASAN,KUDGI,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,46.948704,1.276746,24.334054,23.922499,0.000000,19.220786,0.000000,56.627235,0.000000,25.143014,0.000000,14.014733,631.269572,88.918000,8.576721,0.000000,0.000000,0.000000,0.000000,660.244301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.588335,31.853621,100.032750,0.000000,0.000000,39.307555,0.000000,119.522827,38.914769,0.758055,0.000000,8.666606,12.625776,0.000000,8.524530,95.045610,42.236050,19.330005,330.543000,77.32,20.035545,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,46.948704,1.276746,24.334054,23.922499,0.000000,19.220786,0.000000,56.627235,0.000000,25.143014,0.000000,14.014250,631.269572,88.918000,8.576721,0.000000,0.000000,0.000000,0.000000,660.244301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.588335,31.853621,100.032750,0.000000,0.000000,64.576698,0.000000,119.522827,38.914769,0.758055,0.000000,8.666606,12.625776,0.000000,8.524530,95.045610,42.236050,17.711663,330.543000,77.32,20.035545,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,8.536128,1.276746,24.334054,23.922499,0.000000,19.220786,0.000000,56.627235,0.000000,25.143014,0.000000,14.014250,631.269572,88.918000,8.576721,0.000000,0.000000,0.000000,0.000000,660.244301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.588335,31.853621,100.032750,0.000000,0.000000,64.576698,0.000000,119.522827,38.914769,0.758055,0.000000,11.761822,12.625776,0.000000,8.524530,95.045610,42.236050,16.148911,330.543000,77.32,20.035545,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,8.536128,1.276746,24.334054,23.922499,0.000000,19.220786,0.000000,56.627235,0.000000,25.143014,0.000000,14.014250,631.269572,88.918000,8.576721,0.000000,0.000000,0.000000,0.000000,660.244301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.588335,31.853621,100.032750,0.000000,0.000000,64.576698,0.000000,119.522827,38.914769,0.758055,0.000000,11.761822,12.625776,0.000000,8.524530,95.045610,42.236050,14.970340,330.543000,77.32,20.035545,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,8.536128,1.276746,24.334054,10.401086,0.000000,19.220786,0.000000,56.627235,0.000000,25.143014,0.000000,14.014250,631.269572,88.918000,8.576721,0.000000,0.000000,0.000000,0.000000,660.244301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.588335,31.853621,100.032750,0.000000,0.000000,64.576698,0.000000,119.522827,38.914769,0.758055,0.000000,11.761822,12.625776,0.000000,8.524530,95.045610,42.236050,17.461562,330.543000,77.32,20.035545,0,0,0,0,0

