Block,Time Block,DADRT2,DULHASTI,FSTPP I & II,DHAULIGNGA,BSIUL,BRBCL,CHAMERA1,CHAMERA3,CHAMERA2,KISHANGANGA,KHSTPP-II,KKNP,SEWA2,SINGRAULI_HYDRO,SIMHST2,TALA,SINGRAULI,SIMHST1,KHSTPP-I,KGSU3AND4,KGSU1AND2,SALAL,PARBATI3,RIHAND1,NLCTS2EXP,PARBATI2,RAPPB,NNTPP,RSTPSU1TO6,NTPL,RAPPD,RSTPSU7,SASAN,RAMPUR,RIHAND3,RAPPC,RIHAND2,JHAJJAR,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,KOLDAM,KOTESHWR,KKNPPU2,KUDGI,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,DADRI_RF,AURY_RF,ANTA_CRF,DADRI_LF,ANTA_RF,AURY_LF,UNCHAHAR2,URI,TANAKPUR,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TEHRI,URI2,UNCHAHAR3,TANDA2,TelanganaSTPP,TALST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,662.11,57.21,17.5,10.53,18.81,14.42,40.53,33.68,46.93,8.3,142.59,0,18.17,0.94,0,0,144.55,0,43.78,0,0,76.32,16.23,93.49,0,13,0,0,0,0,28.84,0,402.33,2.87,125.75,66.41,119.78,431.39,0,0,0,72.15,0,24.78,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.32,47.77,6.03,20.81,0,1.79,11.65,37.08,26.61,5.31,0,0,0,0,0,0,0

2,00:15-00:30,662.11,57.21,17.5,10.53,18.81,14.42,40.53,33.68,46.93,8.3,142.59,0,18.17,0.94,0,0,144.55,0,43.78,0,0,76.32,16.23,93.49,0,13,0,0,0,0,28.84,0,402.65,2.87,125.75,66.41,119.78,431.4,0,0,0,72.15,0,24.78,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.32,47.77,6.03,20.81,0,1.79,11.65,37.08,26.61,5.31,0,0,0,0,0,0,0

3,00:30-00:45,662.11,57.21,17.5,10.53,18.81,14.42,40.53,33.68,46.93,8.3,142.59,0,18.17,0.94,0,0,144.55,0,43.78,0,0,76.32,16.23,93.49,0,13,0,0,0,0,28.84,0,402.65,2.87,125.75,66.41,119.78,431.4,0,0,0,72.15,0,24.78,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.32,48.3,6.03,20.81,0,1.79,11.65,37.08,26.61,5.31,0,0,0,0,0,0,0

4,00:45-01:00,662.11,57.21,17.5,10.53,18.81,14.42,40.53,33.68,46.93,8.3,142.59,0,18.17,0.94,0,0,144.55,0,43.78,0,0,76.32,16.23,93.49,0,13,0,0,0,0,28.84,0,402.65,2.87,125.75,66.41,119.78,431.4,0,0,0,72.15,0,24.78,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.32,50.34,6.03,20.81,0,1.79,0,37.08,26.61,5.31,0,0,0,0,0,0,0

5,01:00-01:15,658.34,57.21,17.5,10.53,18.81,14.42,40.53,33.68,46.93,8.3,142.59,0,18.17,0.94,0,0,144.55,0,43.78,0,0,76.32,16.23,93.49,0,13,0,0,0,0,28.84,0,402.65,2.87,125.75,66.41,119.78,431.4,0,0,0,72.15,0,24.78,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.32,50.34,6.03,20.81,0,1.79,0,33.98,26.61,5.31,0,0,0,0,0,0,0

