Block,Time,KKNPPU2,NJPC,NLCTS2EXP,RAMPUR,ANTA_LF,AURY_CRF,BSIUL,CHAMERA1,CHAMERA2,DHAULIGNGA,KHSTPP-II,KOLDAM,NLCIIST2,SALAL,SASAN,SINGRAULI_HYDRO,TALA,UNCHAHAR2,AURY_LF,BRBCL,KGSU1AND2,NNTPP,UNCHAHAR4,DADRI_CRF,CHAMERA3,JHAJJAR,KGSU3AND4,KHSTPP-I,KUDGI,RIHAND1,RSTPSU1TO6,AURY_RF,FSTPP I & II,NTPL,PARBATI3,RIHAND2,SEWA2,SIMHST1,TANAKPUR,URI2,ANTA_RF,DADRI_GF,DADRT2,KISHANGANGA,KKNP,MAPS,RIHAND3,SIMHST2,SINGRAULI,TALST2,TANDA2,TEHRI,VALLURNTECL,ANTA_CRF,DADRI_RF,DULHASTI,NLCIIST1,RAPPC,TelanganaSTPP,UNCHAHAR3,AURY_GF,KOTESHWR,NAPP,NLCEXP,RAPPB,RSTPSU7,UNCHAHAR1,URI,ANTA_GF,DADRI_LF
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,98.87,0,0,2.33,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,8.33,18.83,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,26.49,0,23.56

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,98.87,0,0,2.33,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,8.33,18.83,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,26.49,0,23.56

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,98.87,0,0,2.33,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,8.33,18.83,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,26.49,0,23.56

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,98.87,0,0,2.33,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,3.2,18.83,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,3.31,0,23.56

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,98.87,0,0,2.33,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,3.2,18.83,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,1.33,0,23.56

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,98.87,0,0,2.33,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,2.56,18.83,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,1.33,0,23.56

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,98.87,0,0,2.33,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,2.56,4.44,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,1.33,0,23.56

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,98.87,0,0,12.78,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,2.56,4.44,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,1.33,0,23.56

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,98.87,0,0,55.77,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,8.33,4.44,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,1.33,0,23.56

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,98.87,0,0,55.77,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,8.33,4.44,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,1.33,0,23.56

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,98.87,0,0,55.77,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,2.56,4.44,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,1.33,0,23.56

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,98.87,0,0,55.77,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,2.56,4.44,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,1.33,0,23.56

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,98.87,0,0,9.29,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,2.56,4.44,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,1.33,0,23.56

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,98.87,0,0,2.33,196.88,0,0,21.19,0,20,0,0,0,0,0,654.31,0,45.22,0,92,0,70.59,18.2,0,0,118.76,0,0,2.56,4.44,29.93,0,683.14,0,0,0,124.32,0,139.68,0,0,0,0,0,67.95,0,0,53.93,0,26.39,0,8.87,43.68,0,0,0,20.56,1.33,0,23.56

