Block,Time,KOLDAM,NAPP,SIMHST1,SINGRAULI,ANTA_CRF,NLCEXP,NLCIIST1,SEWA2,TALST2,TEHRI,UNCHAHAR1,AURY_LF,AURY_RF,DADRI_RF,CHAMERA1,CHAMERA2,DADRT2,KGSU1AND2,RIHAND3,SIMHST2,DADRI_GF,KKNPPU2,NLCIIST2,NNTPP,NTPL,PARBATI3,RAPPB,RIHAND1,RSTPSU1TO6,RSTPSU7,URI,AURY_GF,BRBCL,DULHASTI,KHSTPP-II,KKNP,KUDGI,NJPC,NLCTS2EXP,RAPPC,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,ANTA_GF,ANTA_LF,DADRI_CRF,BSIUL,CHAMERA3,FSTPP I & II,KISHANGANGA,KOTESHWR,MAPS,RAMPUR,SASAN,TANAKPUR,ANTA_RF,AURY_CRF,DHAULIGNGA,JHAJJAR,KGSU3AND4,KHSTPP-I,RIHAND2,TALA,TelanganaSTPP,UNCHAHAR3,URI2,TANDA2,UNCHAHAR4,VALLURNTECL,DADRI_LF
1,00:00-00:15,0,43.57,0,125.97,29.93,0,0,0,0,0,20.56,0,0,7.12,0,0,683.14,0,124.32,0,0,0,0,0,0,0,0,92,0,0,26.49,0,20,0,98.87,0,0,0,0,54.06,1.4,0,42.4,0,0,36.72,0,0,13.78,0,8.87,0,0,382.5,6.27,0,70.59,0,654.31,0,45.22,118.76,0,0,26.39,5.38,0,0,0,24.11

2,00:15-00:30,0,43.57,0,125.97,29.93,0,0,0,0,0,20.56,0,0,7.12,0,0,683.14,0,124.32,0,0,0,0,0,0,0,0,92,0,0,26.49,0,20,0,98.87,0,0,0,0,54.06,1.4,0,42.4,0,0,36.72,0,0,14.47,0,8.87,0,0,382.5,6.27,0,70.59,0,654.31,0,45.22,118.76,0,0,26.39,18.83,0,0,0,24.11

3,00:30-00:45,0,43.57,0,125.97,29.93,0,0,0,0,0,20.56,0,0,7.12,0,0,683.14,0,124.32,0,0,0,0,0,0,0,0,92,0,0,26.49,0,20,0,98.87,0,0,0,0,54.06,1.4,0,42.4,0,0,36.72,0,0,14.47,0,8.87,0,0,382.5,6.27,0,70.59,0,654.31,0,45.22,118.76,0,0,26.39,18.83,0,0,0,24.11

4,00:45-01:00,0,43.57,0,125.97,29.93,0,0,0,0,0,20.56,0,0,7.12,0,0,683.14,0,124.32,0,0,0,0,0,0,0,0,92,0,0,3.31,0,20,0,98.87,0,0,0,0,54.06,1.4,0,42.4,0,0,36.72,0,0,15.17,0,8.87,0,0,382.5,0.51,0,70.59,0,654.31,0,45.22,118.76,0,0,26.39,18.83,0,0,0,24.11

5,01:00-01:15,0,43.57,0,125.97,29.93,0,0,0,0,0,20.56,0,0,7.12,0,0,683.14,0,124.32,0,0,0,0,0,0,0,0,92,0,0,1.11,0,20,0,98.87,0,0,0,0,54.06,1.4,0,42.4,0,0,36.72,0,0,15.86,0,8.87,0,0,382.5,0.51,0,70.59,0,654.31,0,45.22,118.76,0,0,26.39,18.83,0,0,0,24.11

