Column1,Time,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,L_NR_2019_19,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2952,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/8128
1,00:00-00:15,0,49.99,0,0,0,0,13.33,0,0,0,16.67,0,0,0,0,16.67,0,0,23.41,0,134.99,15.26,49.09,86.82,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.72,25.74,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

2,00:15-00:30,0,51.49,0,0,0,0,14.33,0,0,0,17.17,0,0,0,0,17.17,0,0,23.41,0,134.99,15.26,49.09,86.82,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.72,26.75,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

3,00:30-00:45,0,52.99,0,0,0,0,15.33,0,0,0,17.67,0,0,0,0,17.67,0,0,23.41,0,134.99,15.26,49.09,86.82,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.72,26.75,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

4,00:45-01:00,0,55.99,0,0,0,0,16.33,0,0,0,18.67,0,0,0,0,18.67,0,0,23.21,0,134.99,15.26,49.09,86.82,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.72,26.75,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

5,01:00-01:15,0,34.99,0,0,0,0,8.33,0,0,0,11.67,0,0,0,0,11.67,0,0,22.81,0,134.99,15.26,49.09,86.82,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.54,26.75,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

6,01:15-01:30,0,36,0,0,0,0,8.67,0,0,0,12,0,0,0,0,12,0,0,22.61,0,134.99,15.26,49.09,86.82,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.54,27.25,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

7,01:30-01:45,0,37.01,0,0,0,0,9,0,0,0,12.33,0,0,0,0,12.33,0,0,22.21,0,134.99,15.26,49.09,84.44,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.54,27.25,100.27,0,26.69,4.43,0,26.69,0,64.2,130.23,10.48,12.66

8,01:45-02:00,0,37.99,0,0,0,0,9,0,0,0,12.67,0,0,0,0,12.67,0,0,22.21,0,134.99,15.26,49.09,85.34,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.54,27.25,100.27,0,26.69,4.43,0,26.69,0,64.2,130.23,10.48,12.66

9,02:00-02:15,0,39,0,0,0,0,14.67,0,0,0,13,0,0,0,0,13,0,0,24.21,0,134.99,15.26,49.09,86.82,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.34,27.25,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

10,02:15-02:30,0,40.01,0,0,0,0,14.33,0,0,0,13.33,0,0,0,0,13.33,0,0,23.99,0,134.99,15.26,49.09,86.82,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.34,27.25,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

11,02:30-02:45,0,42.49,0,0,0,0,14.33,0,0,0,14.17,0,0,0,0,14.17,0,0,23.99,0,134.99,15.26,49.09,86.82,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.34,27.25,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

12,02:45-03:00,0,45,0,0,0,0,14,0,0,0,15,0,0,0,0,15,0,0,23.77,0,134.99,15.26,49.09,86.82,270.7,10.59,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.34,27.25,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

13,03:00-03:15,0,47.51,0,0,0,0,14,0,0,0,15.83,0,0,0,0,15.83,0,0,23.33,0,134.99,15.26,0,86.82,270.7,10.43,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.16,28.77,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

14,03:15-03:30,0,49.01,0,0,0,0,13.67,0,0,0,16.33,0,0,0,0,16.33,0,0,23.33,0,134.99,15.26,0,86.82,270.7,10.43,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.16,28.77,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

15,03:30-03:45,0,49.01,0,0,0,0,13.33,0,0,0,16.33,0,0,0,0,16.33,0,0,23.11,0,134.99,15.26,0,86.82,270.7,10.43,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.16,28.77,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

16,03:45-04:00,0,49.01,0,0,0,0,13.33,0,0,0,16.33,0,0,0,0,16.33,0,0,23.11,0,134.99,15.26,0,86.82,270.7,10.43,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,6.16,28.77,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.48,12.66

17,04:00-04:15,0,37.5,0,0,0,0,10,0,0,0,12.5,0,0,0,0,12.5,0,0,22.67,0,134.99,15.26,0,86.82,270.7,10.14,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,5.97,28.77,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.33,12.66

18,04:15-04:30,0,37.5,0,0,0,0,10,0,0,0,12.5,0,0,0,0,12.5,0,0,22.45,0,134.99,15.26,0,86.82,270.7,10.14,-0,20.76,81.81,19.25,43.75,0,224.98,8.52,5.97,28.77,100.27,0,26.69,4.43,0,26.69,0,115.46,130.23,10.33,12.66

19,04:30-04:45,0,43.59,0,0,0,0,10,0,0,0,14.53,0,0,0,0,14.53,0,0,22.01,0,134.99,15.26,0,86.82,270.7,10.14,-0,20.76,81.81,19.25,43.75,0,224.98,6.82,5.97,28.77,100.27,0,26.69,13.76,0,26.69,0,115.46,130.23,10.33,12.66

20,04:45-05:00,0,41.91,0,0,0,0,10,0,0,0,13.98,0,0,0,0,13.98,0,0,21.57,0,134.99,15.26,0,86.82,270.7,10.14,-0,20.76,81.81,19.25,43.75,0,224.98,6.82,5.97,28.26,100.27,0,26.69,13.76,0,26.69,0,115.46,130.23,10.33,12.66

21,05:00-05:15,0,41.38,0,0,0,0,9.67,0,0,0,13.79,0,0,0,0,13.79,0,0,20.91,0,134.99,15.26,0,86.82,270.7,10.14,-0,20.76,81.81,19.25,43.75,0,224.98,6.82,5.78,28.26,100.27,0,26.69,13.76,0,26.69,0,115.46,130.23,10.33,12.66

22,05:15-05:30,0,41.34,0,0,0,0,9.33,0,0,0,13.79,0,0,0,0,13.79,0,0,20.69,0,134.99,15.26,0,86.82,270.7,10.14,-0,20.76,81.81,19.25,43.75,0,224.98,6.82,5.78,28.26,100.27,0,26.69,13.76,0,26.69,0,115.46,130.23,10.33,12.66

23,05:30-05:45,0,41.05,0,0,0,0,9,0,0,0,13.69,0,0,0,0,13.69,0,0,10,0.29,134.99,15.26,0,86.82,270.7,10.14,-0,20.76,81.81,19.25,43.75,0,224.98,6.82,5.78,28.77,100.27,0,26.69,13.76,0,26.69,0,115.46,130.23,10.33,12.66

24,05:45-06:00,0.59,40.34,0,0,0,1,8.33,0,0,0,13.45,0,0,0,0,13.45,0,0,10,1.1,134.99,15.26,0,86.82,270.7,10.14,-0,20.76,81.81,19.25,43.75,0,224.98,6.82,5.78,28.26,100.27,0,26.69,13.76,0,26.69,0,115.46,130.23,10.33,12.66

25,06:00-06:15,1.78,37.16,0,1,0,1,8.33,1,0,1,12.39,0.25,0,0,8.08,12.39,4.46,1.27,10,2.2,134.99,15.26,0,86.82,270.7,10.36,-0,20.76,81.81,19.25,43.75,0,224.98,6.82,5.6,27.26,100.27,0,26.69,13.76,0,26.69,0,115.46,130.23,10.33,12.66

26,06:15-06:30,2.97,35.56,0,2,0,3,8.33,2,1,2,11.85,0.89,0,0,12.27,11.85,7.11,4.42,10,4.57,134.99,15.26,0,86.82,270.7,10.36,-0,20.76,81.81,19.25,43.75,0,224.98,6.82,5.6,27.26,100.27,0,26.69,13.76,0,26.69,0,115.46,130.23,10.33,12.66

27,06:30-06:45,4.15,34.34,0,3,0,5,8.33,3,2,3,11.44,1.37,0,3,17.66,11.44,10.55,6.84,10,6.84,134.99,15.26,0,86.82,270.7,10.36,-0,20.76,81.81,19.25,43.75,0,224.98,6.82,5.6,26.75,100.27,0.53,26.69,13.76,0.53,26.69,0.41,115.46,130.23,10.33,12.66

28,06:45-07:00,5.34,33.43,0,7,0,7,8.67,6,3,4,11.15,2.5,0,6,23.61,11.15,14.82,12.5,10,9.34,134.99,15.26,0,86.82,270.7,10.36,-0,20.76,81.81,19.25,43.75,0,224.98,6.82,5.6,27.76,100.27,0.95,26.69,13.76,0.95,26.69,0.74,115.46,130.23,10.33,12.66

