Column1,Block,NR/2024/21971/A/33830,NR/2024/21966/A/33608,NR/2024/21814/A/33832,NR/2024/21933/A/33576,NR/2024/21968/A/33828,NR/2024/22498/A/33884,NR/2024/21970/A/33829,NR/2024/22279/A/33558,NR/2024/22763/C,NR/2024/22623/A/33609,NR/2024/22014/A/33562,NR/2024/21961/A/33814,NR/2024/21938/A/33816,NR/2024/21860/A/33807,NR/2024/21954/A/33849,NR/2024/21940/A/33851,NR/2024/21911/A/33802,NR/2024/22010/A/33889,NR/2024/22042/A/33561,NR/2024/22751/C,NR/2024/21943/A/33847,NR/2024/22750/C,NR/2024/21918/A/33871,NR/2024/21956/A/33856,NR/2024/22610/A/33620,NR/01102023/14082046/L_NR_2021_16,NR/2024/22611/A/33619,NR/2024/22749/C,NR/01102023/02012046/L_NR_2021_17,SR/2024/13994/C,NR/2024/22756/C,NR/2024/22742/C,NR/2024/21974/A/33831,NR/2024/21658/A/33565,NR/2024/21983/A/33575,NR/30092023/31122025/SH-07,GNA/NR/2024/08/24/6404,NR/01082024/31082024/SKS-Raigarh,GNA/NR/2024/08/24/7149,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),Total
,,NVVNL,INSTINCT,NVVNL,TPTCL,NVVNL,MANIKARAN,NVVNL,IEXL,IEXL,DIAPL,IEXL,PTC,PTC,TPDDL,APPCPL,APPCPL,AEL,MANIKARAN,IEXL,NVVNL,APPCPL,NVVNL,MANIKARAN,APPCPL,SJVNL,SECI_Trader,SJVNL,NVVNL,SECI_Trader,IEXL,HPXL,TPDDL,NVVNL,ITCLH,TPTCL,BAWANA_GAS,HPXL,DELHI,PXIL,MANIKARAN,APPCPL,DELHI,TPTCL,JITPL,INSTINCT,DELHI,APL_Raigarh_TPP,PUNJAB,TPTCL,
,,NA,NA,NA,NA,NA,MP_State,NA,KARNATAKA_STATE,NA,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,NA,Manipur_State,UTTARAKHAND_STATE,NA,GOA_State,MSEB_State,NA,MSEB_State,NA,MSEB_State,KERALA_State,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,NA,NA,MP_State,Arunachal_State,MSEB_State,NA,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,
,,RKM_POWER,JPL2,JPNIGRIE_JNSTPP,ACBIL,JPL2,BLAPOWER_MP,TRN_ENERGY,NSLSUGAR,SKS_Raigarh,GBHHPL,NHCPL_HP,HP,HP,JPL2,Manipur_Ben,UTTARAKHAND,APL_Raigarh_TPP,GOA_Beneficiary,A_A_Energy_MH_Bio,SORANG_HEP,AEML,Kameng,AEML,KSEB,RSRPL_BKN,SBSRPC11PL_BKN,TPSL_BKN2,SOLAPUR_SOLAR,SBSRPC11PL_BKN,BYPL,SKS_Raigarh,JHAJJAR,RKM_POWER,ITCWIND,SIMHAPURI,BAWANA_GAS,DBPL,SKS_Raigarh,SKS_Raigarh,BLAPOWER_MP,Arunachal_Ben,MSEB_Beneficiary,ACBIL,JITPL,JPL2,CHANJUII,APL_Raigarh_TPP,BAWANA_GAS,SIMHAPURI,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,
,,NDMC,BRPL,TPDDL,BRPL,NDMC,BRPL,NDMC,MES_Delhi,BRPL,DIAPL,MES_Delhi,BRPL,BYPL,TPDDL,BRPL,BYPL,BRPL,BRPL,MES_Delhi,TPDDL,BRPL,TPDDL,BYPL,BYPL,NDMC,TPDDL,NDMC,MES_Delhi,BYPL,TANGEDCO,BRPL,TPDDL,NDMC,ITCLH,BRPL,HARYANA,BRPL,NDMC,BRPL,BRPL,BRPL,TPDDL,BRPL,NDMC,BRPL,TPDDL,BRPL,PUNJAB,BRPL,
,,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-East-West-North,West-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,North-North,West-North,West-North,West-North,North-North,West-North,North East-East-North,West-North,South-West-North,North-North,North-North,North-North,West-North,North-North,North-West-South,West-North,North-North,West-North,South-West-North,South-East-North,North-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,East-North,West-North,North-North,West-North,North-North,South-West-North,
1,00:00-00:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.63,0,32,0,12.44,125.54,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,32,48.28,1641.6200000000001

2,00:15-00:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.63,0,32,0,12.44,125.54,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,32,48.28,1641.6200000000001

