Block,Time,FSTPP I & II,TALA,KHSTPP-II,BRBCL,SASAN,KHSTPP-I,UNCHAHAR3,KISHANGANGA,DADRI_LF,RIHAND1,CHAMERA1,DADRT2,ANTA_RF,DHAULIGNGA,TEHRI,SINGRAULI_HYDRO,CHAMERA3,DULHASTI,ANTA_GF,SALAL,CHAMERA2,TANAKPUR,KOTESHWR,TANDA2,AURY_CRF,UNCHAHAR2,DADRI_GF,URI2,DADRI_RF,JHAJJAR,DADRI_CRF,AURY_GF,SEWA2,BSIUL,NAPP,UNCHAHAR1,ANTA_LF,KOLDAM,URI,NJPC,ANTA_CRF,RAMPUR,RIHAND2,RAPPC,UNCHAHAR4,AURY_RF,SINGRAULI,RAPPB,PARBATI3,RIHAND3,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,20.092800,0.852012,143.257800,19.319988,402.097500,42.803460,26.607794,8.057069,0.000000,93.756041,40.715045,664.720005,0.000000,42.055908,0.000000,1.129740,33.646990,57.163439,0.000000,80.819424,46.850834,11.755737,0.000000,5.175914,0.000000,42.411361,0.000000,36.602241,47.220452,408.077040,0.000000,0.000000,18.161396,6.299093,44.651802,21.188051,0.000000,9.887081,35.193312,173.843731,48.475530,6.516168,120.151080,65.192679,2.984940,74.941237,144.889326,0.000000,16.212588,126.140377,0.000000,0,0,0,0,0

2,00:15-00:30,20.092800,0.852012,143.257800,18.733563,402.097500,42.803460,26.607794,8.057069,0.000000,93.756041,40.715045,664.720005,0.000000,42.055908,0.000000,1.129740,33.646990,57.163439,0.000000,80.819424,46.850834,11.755737,0.000000,5.175914,0.000000,42.411361,0.000000,36.602241,47.220452,408.077040,0.000000,0.000000,18.161396,6.299093,44.651802,21.188051,0.000000,9.887081,35.193312,173.843731,39.626691,6.516168,120.151080,65.192679,2.984940,74.941237,144.889326,0.000000,16.212588,126.140377,0.000000,0,0,0,0,0

3,00:30-00:45,20.092800,4.260060,143.257800,17.033180,402.097500,42.803460,26.607794,8.057069,0.000000,93.756041,40.715045,664.720005,0.000000,42.055908,0.000000,1.129740,33.646990,57.163439,0.000000,80.819424,46.850834,11.755737,0.000000,5.175914,0.000000,42.411361,0.000000,36.602241,36.540882,408.077040,0.000000,0.000000,18.161396,6.299093,44.651802,21.188051,0.000000,9.887081,35.193312,173.843731,29.966691,6.516168,120.151080,65.192679,2.984940,37.470618,144.889326,0.000000,16.212588,126.140377,0.000000,0,0,0,0,0

4,00:45-01:00,20.092800,4.260060,143.257800,15.586023,402.097500,42.803460,26.607794,8.057069,0.000000,93.756041,40.715045,664.720005,0.000000,42.055908,0.000000,1.129740,33.646990,57.163439,0.000000,80.819424,46.850834,11.755737,0.000000,5.175914,0.000000,42.411361,0.000000,36.602241,26.880882,408.077040,0.000000,0.000000,18.161396,6.299093,44.651802,21.188051,0.000000,9.887081,35.193312,173.843731,21.637917,6.516168,120.151080,65.192679,2.984940,28.328143,144.889326,0.000000,16.212588,126.140377,0.000000,0,0,0,0,0

5,01:00-01:15,20.092800,4.260060,143.257800,17.218737,402.097500,42.803460,26.607794,8.057069,0.000000,93.756041,40.715045,664.720005,0.000000,42.055908,0.000000,1.129740,33.646990,57.163439,0.000000,80.819424,46.850834,11.755737,0.000000,5.175914,0.000000,42.411361,0.000000,36.602241,17.220882,408.077040,0.000000,0.000000,18.161396,6.299093,44.651802,21.188051,0.000000,9.887081,35.193312,173.843731,11.977917,6.516168,120.151080,65.192679,2.984940,18.668143,144.889326,0.000000,16.212588,126.140377,0.000000,0,0,0,0,0

6,01:15-01:30,20.092800,4.260060,143.257800,14.496168,402.097500,42.803460,26.607794,8.057069,0.000000,93.756041,40.715045,664.720005,0.000000,42.055908,0.000000,1.129740,33.646990,57.163439,0.000000,80.819424,46.850834,11.755737,0.000000,5.175914,0.000000,42.411361,0.000000,36.602241,17.220882,408.077040,0.000000,0.000000,18.161396,6.299093,44.651802,21.188051,0.000000,9.887081,35.193312,173.843731,11.977917,6.516168,120.151080,65.192679,2.984940,18.668143,144.889326,0.000000,16.212588,126.140377,0.000000,0,0,0,0,0

7,01:30-01:45,20.092800,6.816096,143.257800,14.333805,402.097500,42.803460,26.607794,8.057069,0.000000,93.756041,40.715045,664.720005,0.000000,42.055908,0.000000,1.129740,33.646990,57.163439,0.000000,80.819424,46.850834,11.755737,0.000000,5.175914,0.000000,42.411361,0.000000,36.602241,3.654722,408.077040,0.000000,0.000000,18.161396,6.299093,44.651802,21.188051,0.000000,9.887081,35.193312,173.843731,1.856502,6.516168,120.151080,65.192679,2.984940,2.733073,144.889326,0.000000,0.000000,126.140377,0.000000,0,0,0,0,0

